amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Boxing+Shorts,B07L8QZW92,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"Muay Thai Shorts for Men and Women, High Grade MMA Gym Boxing Kickboxing Shorts.",422,35.99,Boxing Shorts,nan,4.3,https://www.amazon.com/NAMAZU-Kickboxing-Training-Grappling-Clothing/dp/B07L8QZW92
https://www.amazon.com/s?k=Boxing+Shorts,B01BKZEY5U,$,-16.0,https://m.media-amazon.com/images/I/71VOz5WxMuL._AC_UL1500_.jpg,,Satin Boxing Trunks,270,37.99,Boxing Shorts,nan,4.6,https://www.amazon.com/Ringside-Cleto-Boxing-Trunks-Medium/dp/B01BKZEY5U
https://www.amazon.com/s?k=Boxing+Shorts,B07SH7ZW51,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,Men Boxing Shorts for Boxing Training Fitness Gym Cage Fight MMA Mauy Thai Kickboxing Trunks Clothing,301,18.99,Boxing Shorts,nan,4.3,https://www.amazon.com/Boxing-Training-Fitness-Kickboxing-Clothing/dp/B07SH7ZW51
https://www.amazon.com/s?k=Boxing+Shorts,B07LG3QQC2,$,,https://m.media-amazon.com/images/I/61C-Gft0o4L._AC_UL1500_.jpg,,"Muay Thai Fight Shorts,MMA Shorts Clothing Training Cage Fighting Grappling Martial Arts Kickboxing Shorts Clothing",528,28.99,Boxing Shorts,nan,4.3,https://www.amazon.com/FLUORY-Clothing-Training-Grappling-Kickboxing/dp/B07LG3QQC2
https://www.amazon.com/s?k=Boxing+Shorts,B09V4YC5VM,$,,https://m.media-amazon.com/images/I/71g6JsW2PKS._AC_UL1500_.jpg,,Muay Thai Shorts Boxing Shorts Traditional Styles MMA Workout Kickboxing,21,35.99,Boxing Shorts,nan,4.7,https://www.amazon.com/Tuff-Sport-Traditional-Kickboxing-TUF-MS652-ORG/dp/B09V4YC5VM
https://www.amazon.com/s?k=Boxing+Shorts,B09PZHWZ7R,$,,https://m.media-amazon.com/images/I/61TKGBU2ESL._AC_UL1500_.jpg,,Pro Boxing Shorts,7,69.0,Boxing Shorts,nan,5.0,https://www.amazon.com/Hayabusa-Pro-Boxing-Shorts-Medium/dp/B09PZHWZ7R
https://www.amazon.com/s?k=Boxing+Shorts,B07M7M69X1,$,,https://m.media-amazon.com/images/I/6148uM+yk5L._AC_UL1500_.jpg,,Tuff Sport Muay Thai Shorts Boxing Shorts Trunks Kick Martial Arts Training Gym Clothing,25,35.99,Boxing Shorts,nan,4.8,https://www.amazon.com/Boxing-Martial-Training-Clothing-Tuf-ms632-pnk/dp/B07M7M69X1
https://www.amazon.com/s?k=Boxing+Shorts,B07QZDLL27,$,,https://m.media-amazon.com/images/I/61l5aJlaFrL._AC_UL1500_.jpg,,"Muay Thai Shorts for Men and Women, High Grade MMA Gym Boxing Kickboxing Shorts.",214,26.99,Boxing Shorts,nan,4.4,https://www.amazon.com/NAMAZU-Kickboxing-Training-Grappling-Clothing/dp/B07QZDLL27
https://www.amazon.com/s?k=Boxing+Shorts,B01CCL2EUI,$,-17.0,https://m.media-amazon.com/images/I/61NrkI4ZTtL._AC_UL1500_.jpg,,Pro-Style Kickboxing Muay Thai MMA Training Gym Clothing Shorts Boxing Trunks,64,24.99,Boxing Shorts,nan,4.1,https://www.amazon.com/Ringside-Pro-Style-Boxing-Trunks-Medium/dp/B01CCL2EUI
https://www.amazon.com/s?k=Boxing+Shorts,B07QKSNCYS,$,-40.0,https://m.media-amazon.com/images/I/61jDutuKWsL._AC_UL1500_.jpg,,Boxing Shorts for Men Training Fight Shorts Men MMA BJJ Shorts No Gi,1106,24.0,Boxing Shorts,nan,4.4,https://www.amazon.com/SOTF-Boxing-Shorts-Stretch-Training/dp/B07QKSNCYS
