amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B07C4F498L,$,,https://m.media-amazon.com/images/I/61ibXqJztiL._AC_UL1500_.jpg,,"New Elite High Top Boxing Shoes - Black, Blue, Red",625,99.79,Everlast Boxing Shoes,nan,4.7,https://www.amazon.com/Everlast-Elite-High-Boxing-Shoes/dp/B07C4F498L
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B07JQ3G5QC,$,,https://m.media-amazon.com/images/I/61QoFsYOMVL._AC_UL1500_.jpg,,PIVT Low Top Boxing Shoes,223,89.99,Everlast Boxing Shoes,nan,4.6,https://www.amazon.com/Everlast-PIVT-Low-Boxing-Shoes/dp/B07JQ3G5QC
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B09HPTPYPF,$,,https://m.media-amazon.com/images/I/71BusY+DpEL._AC_UL1500_.jpg,,Muhammad Ali Autographed White Everlast Boxing Shoe - PSA/DNA - Autographed Boxing Equipment,,3499.99,Everlast Boxing Shoes,nan,,https://www.amazon.com/Muhammad-Autographed-White-Everlast-Boxing/dp/B09HPTPYPF
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B07BRPWHDH,$,,https://m.media-amazon.com/images/I/51sTn8rmbmL._AC_UL1500_.jpg,,P00001305 Contender Backpack Black Each,66,79.95,Everlast Boxing Shoes,nan,4.6,https://www.amazon.com/Everlast-New-Contender-Sport-Backpack/dp/B07BRPWHDH
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B08G9M3KS7,$,,https://m.media-amazon.com/images/I/31gC4VAqp1L._AC_UL1500_.jpg,,Total Balance Boxing Shoe,253,119.99,Everlast Boxing Shoes,nan,4.7,https://www.amazon.com/Title-Boxing-Total-Balance-Black/dp/B08G9M3KS7
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B082QJ81SL,$,,https://m.media-amazon.com/images/I/81SpHr1cQ4L._AC_UL1500_.jpg,,Unisex-Adult Speedex 18 Boxing Shoe,282,150.0,Everlast Boxing Shoes,nan,4.6,https://www.amazon.com/adidas-Speedex-Boxing-Signal-Copper/dp/B082QJ81SL
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B07ZGVHDXN,$,,https://m.media-amazon.com/images/I/91XFB7ZCgoL._AC_UL1500_.jpg,,Men's Tech Fall 2.0 Wrestling Shoe,416,109.99,Everlast Boxing Shoes,nan,4.6,https://www.amazon.com/adidas-Wrestling-Signal-Black-Copper/dp/B07ZGVHDXN
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B06XX63Z19,$,,https://m.media-amazon.com/images/I/81O4c+VwDbL._AC_UL1500_.jpg,,Unisex-Adult Combat Speed.5,721,99.99,Everlast Boxing Shoes,nan,4.6,https://www.amazon.com/adidas-Combat-Speed-5-Silver-Metallic/dp/B06XX63Z19
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B096FG7SM2,$,,https://m.media-amazon.com/images/I/613O1FBybDS._AC_UL1500_.jpg,,JB Elite V,288,124.95,Everlast Boxing Shoes,nan,4.8,https://www.amazon.com/ASICS-Elite-Wrestling-Shoes-Black/dp/B096FG7SM2
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B083QSDSSD,$,,https://m.media-amazon.com/images/I/61vofQ4UMuS._AC_UL1500_.jpg,,Men's Aggressor 4 Wrestling Shoes,1150,139.95,Everlast Boxing Shoes,nan,4.6,https://www.amazon.com/ASICS-Aggressor-Wrestling-Shoes-Silver/dp/B083QSDSSD
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B07NQR41VG,$,,https://m.media-amazon.com/images/I/71q8CxIWLTL._AC_UL1500_.jpg,,Men's Mat Hog 2.0 Wrestling Shoe,38,89.95,Everlast Boxing Shoes,nan,4.6,https://www.amazon.com/adidas-Mens-Wrestling-Shoes-Black/dp/B07NQR41VG
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B01BKZEYIM,$,-16.0,https://m.media-amazon.com/images/I/71VOz5WxMuL._AC_UL1500_.jpg,,Satin Boxing Trunks,270,37.99,Everlast Boxing Shoes,nan,4.6,https://www.amazon.com/Ringside-Cleto-Reyes-Boxing-Trunks/dp/B01BKZEYIM
https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B09VQ418C2,$,,https://m.media-amazon.com/images/I/71Wny4PoUjL._AC_UL1500_.jpg,,Unisex-Adult Elite Boxing Shoes,508,159.99,Everlast Boxing Shoes,nan,4.6,https://www.amazon.com/Venum-Sports-Outdoors-Boxing-Burgundy/dp/B09VQ418C2
