amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B07C4F498L,$,,https://m.media-amazon.com/images/I/61ibXqJztiL._AC_UL1500_.jpg,,"New Elite High Top Boxing Shoes - Black, Blue, Red",625,99.79,High Top Boxing Shoes,nan,4.7,https://www.amazon.com/Everlast-Elite-High-Boxing-Shoes/dp/B07C4F498L
https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B007YJYJT8,$,-17.0,https://m.media-amazon.com/images/I/813w4b48n-L._AC_UL1500_.jpg,,Undefeated Wrestling Boxing Shoes,410,66.05,High Top Boxing Shoes,nan,4.5,https://www.amazon.com/Ringside-High-Boxing-Shoe-Black/dp/B007YJYJT8
https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B01N6KOR8C,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,Title Speed-Flex Encore Tall Boxing Shoes Size 10 Black,37,54.99,High Top Boxing Shoes,nan,4.7,https://www.amazon.com/TITLE-Speed-Flex-Encore-Boxing-Shoes/dp/B01N6KOR8C
https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B01MY22HQD,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,Title Speed-Flex Encore Tall Boxing Shoes Size 7 Black,10,54.99,High Top Boxing Shoes,nan,3.9,https://www.amazon.com/TITLE-Speed-Flex-Encore-Boxing-Shoes/dp/B01MY22HQD
https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B09DG1J9H5,$,,https://m.media-amazon.com/images/I/71HEB9csE+L._AC_UL1500_.jpg,,FISTRAGE Leather Kick Boxing Shoes Fighting Sports Master Training Mesh Unisex Pro Men's and Youth Genuine Boot Light Weight | Black Color Boxing Shoes for Adults,198,43.99,High Top Boxing Shoes,nan,4.2,https://www.amazon.com/FISTRAGE-Leather-Fighting-Training-High-Top/dp/B09DG1J9H5
https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B09TW57678,$,,https://m.media-amazon.com/images/I/71HEB9csE+L._AC_UL1500_.jpg,,FISTRAGE Leather High Top Kick Boxing Shoes Fighting Sports Training Mesh Unisex Pro Men's and Youth Light Weight | Black Color Boxing Shoes for Adults,19,44.99,High Top Boxing Shoes,nan,4.1,https://www.amazon.com/FISTRAGE-Leather-Fighting-Training-High-Top/dp/B09TW57678
https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B09BQPDZW2,$,,https://m.media-amazon.com/images/I/716p86i1SFS._AC_UL1500_.jpg,,Youth Sports Boxing Shoes Breathable Men‘s Wrestling Shoes Fitness Sanda Shoes Ankle Guard Squat Shoes Non-Slip Fighting Shoes High-top Training Competition Shoes for Men Bodybuilding Boots,9,54.99,High Top Boxing Shoes,nan,4.8,https://www.amazon.com/HUANLE-Breathable-Wrestling-Competition-Bodybuilding/dp/B09BQPDZW2
https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B07YFMSTVS,$,,https://m.media-amazon.com/images/I/61BPYodMQhL._AC_UL1500_.jpg,,High Top Boxing Shoes Boxer Boots for Men Women Kids Red,2,55.0,High Top Boxing Shoes,nan,4.4,https://www.amazon.com/Sport-Pioneer-Boxing-Shoes-Boxer/dp/B07YFMSTVS
https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,Diablo Wrestling Boxing Shoes,219,69.99,High Top Boxing Shoes,nan,4.1,https://www.amazon.com/Ringside-Top-Boxing-Shoe-Black/dp/B007YJYNY4
https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B07N33NRM8,$,,https://m.media-amazon.com/images/I/61io3HZ3gDL._AC_UL1500_.jpg,,Apex Elite Boxing Shoes,56,114.99,High Top Boxing Shoes,nan,4.0,https://www.amazon.com/Ringside-Elite-Boxing-Shoes/dp/B07N33NRM8
