amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B07JPKCFBF,$,,https://m.media-amazon.com/images/I/61vE-25vLKL._AC_UL1500_.jpg,,PIVT Low Top Boxing Shoes,223,89.79,Low Top Boxing Shoes,nan,4.6,https://www.amazon.com/Everlast-PIVT-Low-Boxing-Shoes/dp/B07JPKCFBF
https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,Diablo Wrestling Boxing Shoes,219,69.99,Low Top Boxing Shoes,nan,4.1,https://www.amazon.com/Ringside-Top-Boxing-Shoe-Black/dp/B007YJYNY4
https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B09DFYL1CK,$,,https://m.media-amazon.com/images/I/71N3urU993L._AC_UL1500_.jpg,,FISTRAGE Leather Kick Boxing Shoes Fighting Sports Master Training Mesh Unisex Pro Men's and Youth Genuine Boot Light Weight | Black Color Boxing Shoes for Adults,198,41.99,Low Top Boxing Shoes,nan,4.2,https://www.amazon.com/FISTRAGE-Leather-Fighting-Training-Genuine/dp/B09DFYL1CK
https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B072JGTM91,$,,https://m.media-amazon.com/images/I/51+M+so6FqL._AC_UL1500_.jpg,,Unisex's Low-Top Adi-Kick I Martial Arts Taekwondo Karate Training Shoes Trainers,1172,79.95,Low Top Boxing Shoes,nan,4.5,https://www.amazon.com/adidas-Adi-Kick-Martial-Shoes-Sneaker/dp/B072JGTM91
https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B07TBFQ9DM,$,,https://m.media-amazon.com/images/I/61CMqt2VVkL._AC_UL1500_.jpg,,"Wrestling Shoes for Men, Women and Youth, Low Top Breathable Wrestling Shoes",18,55.63,Low Top Boxing Shoes,nan,3.8,https://www.amazon.com/Day-Key-Wrestling-Shoes-Breathable/dp/B07TBFQ9DM
https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B0B1ZKF7YG,$,,https://m.media-amazon.com/images/I/71y0C7kpydL._AC_UL1500_.jpg,,Mens Casual Shoes Comfortable PU Leather Fashion Sneakers Breathable Low-Top Walking Shoes,283,41.99,Low Top Boxing Shoes,nan,4.4,https://www.amazon.com/AX-BOXING-Comfortable-Sneakers-Breathable/dp/B0B1ZKF7YG
https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B07T89D18J,$,,https://m.media-amazon.com/images/I/51jautzte4L._AC_UL1500_.jpg,,"Low Top Wrestling Shoes for Men, Women and Youth, Big Kids",30,49.68,Low Top Boxing Shoes,nan,4.0,https://www.amazon.com/Day-Key-Wrestling-Shoes-Children/dp/B07T89D18J
https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B08PNX95MY,$,,https://m.media-amazon.com/images/I/71Nka3EPj8L._AC_UL1500_.jpg,,"Mens Fashion Sneakers Low Top Casual Shoes Leather Breathable Walking Shoes(DK.Gray, Numeric_11.5)",11,41.99,Low Top Boxing Shoes,nan,4.6,https://www.amazon.com/AX-BOXING-Sneakers-Breathable-Numeric_11-5/dp/B08PNX95MY
https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B07NQRMG86,$,,https://m.media-amazon.com/images/I/619HfNfqfVL._AC_UL1500_.jpg,,Men's Mat Hog 2.0 Wrestling Shoe,7,79.86,Low Top Boxing Shoes,nan,4.1,https://www.amazon.com/adidas-Mens-Wrestling-Shoes-Navy/dp/B07NQRMG86
https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B08MQZLFF3,$,,https://m.media-amazon.com/images/I/816+RjLAzmL._AC_UL1500_.jpg,,Pro Boxing Shoe for Men & Women,631,119.0,Low Top Boxing Shoes,nan,4.5,https://www.amazon.com/Hayabusa-Pro-Boxing-Shoe-Women/dp/B08MQZLFF3
