amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B07L5GGGXJ,$,,https://m.media-amazon.com/images/I/71Ozsy-lpjL._AC_UL1500_.jpg,,Mizuno Men's TC-01 Cross Trainer,83,80.0,Mizuno Boxing Shoes,nan,4.0,https://www.amazon.com/Mizuno-Training-Sneakers-Exercise-Black-Grey/dp/B07L5GGGXJ
https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B087V697R8,$,-25.0,https://m.media-amazon.com/images/I/71gTjYAWCzL._AC_UL1500_.jpg,,Mizuno Men's Tc-11 Cross Trainer,62,108.75,Mizuno Boxing Shoes,nan,4.0,https://www.amazon.com/Mizuno-Mens-TC-11-Training-Shadow-Black/dp/B087V697R8
https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B086Z7WX6M,$,-76.0,https://m.media-amazon.com/images/I/41h6Rxo2wXL._AC_UL1500_.jpg,,Mizuno Alpha Quest Trainer,12,18.35,Mizuno Boxing Shoes,nan,4.5,https://www.amazon.com/Mizuno-Alpha-Quest-Trainer-X-Small/dp/B086Z7WX6M
https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B078283C91,$,,https://m.media-amazon.com/images/I/814kzgcKecL._AC_UL1500_.jpg,,Mizuno unisex-adult Wave Bolt 7 Volleyball Shoes,1,99.95,Mizuno Boxing Shoes,nan,5.0,https://www.amazon.com/Mizuno-Volleyball-Shoes-White-Womens/dp/B078283C91
https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B078278YND,,,https://m.media-amazon.com/images/I/81cNTv+eKvL._AC_UL1500_.jpg,,Wave Supersonic Womens,482,,Mizuno Boxing Shoes,nan,4.5,https://www.amazon.com/SUPERSONIC-WOMENS-BLACK-SILVER-Black-Silver/dp/B078278YND
https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B07HDCD6NW,$,,https://m.media-amazon.com/images/I/81z32udCpRL._AC_UL1500_.jpg,,Mizuno Men's Wave Momentum Indoor Court Shoe,2,140.64,Mizuno Boxing Shoes,nan,3.9,https://www.amazon.com/Mizuno-Mens-Momentum-Volleyball-red-grey/dp/B07HDCD6NW
https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B08JZGLYDL,$,-9.0,https://m.media-amazon.com/images/I/81Q6AmmQThL._AC_UL1500_.jpg,,Mizuno Women's Wave Rider 25 Running Shoe,473,127.35,Mizuno Boxing Shoes,nan,4.5,https://www.amazon.com/Mizuno-Womens-WAVEKNIT-Running-Cayenne-Phlox/dp/B08JZGLYDL
https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B087V757D4,$,,https://m.media-amazon.com/images/I/81H9XzxG-1L._AC_UL1500_.jpg,,Mizuno Men's Tf-02 Cross Trainer,94,95.0,Mizuno Boxing Shoes,nan,3.6,https://www.amazon.com/Mizuno-520009-1090-19-1300-Mens-TF-02-Training/dp/B087V757D4
https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B091Z9QFGQ,$,-20.0,https://m.media-amazon.com/images/I/71loLmtImGL._AC_UL1500_.jpg,,adidas Unisex-Adult Hog 3 Boxing Shoe,30,80.17,Mizuno Boxing Shoes,nan,4.5,https://www.amazon.com/adidas-Unisex-Boxing-White-Shadow/dp/B091Z9QFGQ
https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B087V5LZLD,$,,https://m.media-amazon.com/images/I/71Jn++IuRdL._AC_UL1500_.jpg,,Mizuno Women's Tf-02 Cross Trainer,37,48.67,Mizuno Boxing Shoes,nan,3.7,https://www.amazon.com/Mizuno-520010-9091-12-0950-Womens-TF-02-Training/dp/B087V5LZLD
