amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Usa+Boxing+Shorts,B001GJQQY8,$,-5.0,https://m.media-amazon.com/images/I/815LROh32kS._AC_UL1500_.jpg,,Balboa Mens Apollo Movie Boxing American Flag Shorts,595,20.95,Usa Boxing Shorts,nan,4.3,https://www.amazon.com/Rocky-Balboa-Apollo-Boxing-American/dp/B001GJQQY8
https://www.amazon.com/s?k=Usa+Boxing+Shorts,B082XJDW7Y,$,,https://m.media-amazon.com/images/I/51XkkG1xw0L._AC_UL1500_.jpg,,USA Stock Boxing Trunks,10,39.99,Usa Boxing Shorts,nan,4.3,https://www.amazon.com/Title-Boxing-Stock-Trunks-Small/dp/B082XJDW7Y
https://www.amazon.com/s?k=Usa+Boxing+Shorts,B01BKZF22O,$,-9.0,https://m.media-amazon.com/images/I/616M2RZ8PTL._AC_UL1500_.jpg,,Satin Boxing Trunks,270,40.79,Usa Boxing Shorts,nan,4.6,https://www.amazon.com/Ringside-Cleto-Boxing-Trunks-Medium/dp/B01BKZF22O
https://www.amazon.com/s?k=Usa+Boxing+Shorts,B007XVFLB2,$,,https://m.media-amazon.com/images/I/61hUSkko1DL._AC_UL1500_.jpg,,Muay Thai Tiger Shorts,4,34.99,Usa Boxing Shorts,nan,3.7,https://www.amazon.com/Woldorf-USA-Grappling-Kickboxing-Equipments/dp/B007XVFLB2
https://www.amazon.com/s?k=Usa+Boxing+Shorts,B01DAPNGPC,$,,https://m.media-amazon.com/images/I/71k6xBpjX0L._AC_UL1500_.jpg,,"Title American Flag Boxing Trunks, Youth",29,39.99,Usa Boxing Shorts,nan,4.6,https://www.amazon.com/Title-Boxing-American-Trunks-Medium/dp/B01DAPNGPC
https://www.amazon.com/s?k=Usa+Boxing+Shorts,B07CG97S5M,$,,https://m.media-amazon.com/images/I/71DeEwxdc-L._AC_UL1500_.jpg,,Title Mini Boxing Trunks,17,12.99,Usa Boxing Shorts,nan,3.4,https://www.amazon.com/TITLE-Mini-Boxing-Trunks-USA/dp/B07CG97S5M
https://www.amazon.com/s?k=Usa+Boxing+Shorts,B01INDB1F8,$,,https://m.media-amazon.com/images/I/611AkE+G7lL._AC_UL1500_.jpg,,Creed Rocky Men's Apollo Johnson Movie Boxing American Flag Shorts Trunks Boxers,78,23.9,Usa Boxing Shorts,nan,3.8,https://www.amazon.com/Apollo-Johnson-Boxing-American-Shorts/dp/B01INDB1F8
https://www.amazon.com/s?k=Usa+Boxing+Shorts,B078R84219,$,,https://m.media-amazon.com/images/I/71I8FaaLISL._AC_UL1500_.jpg,,US Army Fight Shorts U.S. Military Digital Camouflage Camo Combat Tarn Muay Thai Boxing Trunks Veteran Gift USA Cloth,4,49.9,Usa Boxing Shorts,nan,5.0,https://www.amazon.com/Shorts-Military-Camouflage-Muay-Thai/dp/B078R84219
https://www.amazon.com/s?k=Usa+Boxing+Shorts,B0B4JM688N,$,,https://m.media-amazon.com/images/I/61mdoHM7pDL._AC_UL1500_.jpg,,Unisex American Flag Traditional Styles Muay Thai Shorts for Men Women Training,,28.99,Usa Boxing Shorts,nan,,https://www.amazon.com/O2TEE-Classic-Premium-American-Flag-Pattern/dp/B0B4JM688N
https://www.amazon.com/s?k=Usa+Boxing+Shorts,B09FJXPSXL,,,https://m.media-amazon.com/images/I/61LD-MlV1vL._AC_UL1500_.jpg,,Men USA Flag Printing Shorts Stripe and Star Fire Fighter Flags Shorts for MMA BJJ Fitness Training,15,,Usa Boxing Shorts,nan,3.8,https://www.amazon.com/Huatu-Kickboxing-Pattern-Fitness-X-Large/dp/B09FJXPSXL
