amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=White+Boxing+Shorts,B01BKZF7F6,$,,https://m.media-amazon.com/images/I/51q3WlZkkCL._AC_UL1500_.jpg,,Satin Boxing Trunks,270,37.99,White Boxing Shorts,nan,4.6,https://www.amazon.com/Ringside-Cleto-Reyes-Boxing-Trunks/dp/B01BKZF7F6
https://www.amazon.com/s?k=White+Boxing+Shorts,B01C2GSIJ4,$,-15.0,https://m.media-amazon.com/images/I/81jiRXKNKLL._AC_UL1500_.jpg,,Men's Bangkok Inferno Muay Thai Shorts,273,42.52,White Boxing Shorts,nan,4.2,https://www.amazon.com/Venum-Bangkok-Inferno-Shorts-X-Large/dp/B01C2GSIJ4
https://www.amazon.com/s?k=White+Boxing+Shorts,B07WHT74FB,$,,https://m.media-amazon.com/images/I/71KCczlGk2L._AC_UL1500_.jpg,,Muay Thai Shorts Classic,227,39.99,White Boxing Shorts,nan,4.3,https://www.amazon.com/Venum-Muay-Thai-Shorts-Classic/dp/B07WHT74FB
https://www.amazon.com/s?k=White+Boxing+Shorts,B07L8QZW92,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"Muay Thai Shorts for Men and Women, High Grade MMA Gym Boxing Kickboxing Shorts.",422,35.99,White Boxing Shorts,nan,4.3,https://www.amazon.com/NAMAZU-Kickboxing-Training-Grappling-Clothing/dp/B07L8QZW92
https://www.amazon.com/s?k=White+Boxing+Shorts,B01CCL2JB2,$,,https://m.media-amazon.com/images/I/61SGq-7WOtL._AC_UL1500_.jpg,,Pro-Style Kickboxing Muay Thai MMA Training Gym Clothing Shorts Boxing Trunks,64,25.99,White Boxing Shorts,nan,4.1,https://www.amazon.com/Ringside-Pro-Style-Boxing-Trunks-Medium/dp/B01CCL2JB2
https://www.amazon.com/s?k=White+Boxing+Shorts,B09CYPY4F7,$,,https://m.media-amazon.com/images/I/41x5rmkDu4L._AC_UL1500_.jpg,,Mens MMA Cross Training Boxing Shorts Trunks Fight Wear with Drawstring and Pocket-QJK01,1601,21.99,White Boxing Shorts,nan,4.5,https://www.amazon.com/LAFROI-Training-Boxing-Drawstring-Pocket-QJK01/dp/B09CYPY4F7
https://www.amazon.com/s?k=White+Boxing+Shorts,B09XL4KXR9,$,-10.0,https://m.media-amazon.com/images/I/41kAuEgmhrL._AC_UL1500_.jpg,,Women's Pro 365 5 Inch Shorts,90,36.01,White Boxing Shorts,nan,4.5,https://www.amazon.com/Nike-Womens-Shorts-Large-White/dp/B09XL4KXR9
https://www.amazon.com/s?k=White+Boxing+Shorts,B089M86Z5N,$,,https://m.media-amazon.com/images/I/715XkojWMKL._AC_UL1500_.jpg,,Roar Muay Thai Shorts MMA Gym Boxing Fighting UFC Trunks Kick Martial Arts Gear,100,19.99,White Boxing Shorts,nan,4.1,https://www.amazon.com/Shorts-Boxing-Fighting-Trunks-Martial/dp/B089M86Z5N
https://www.amazon.com/s?k=White+Boxing+Shorts,B095CM1DB5,$,,https://m.media-amazon.com/images/I/81F-Tt0SYcS._AC_UL1500_.jpg,,Muay Thai Boxing Shorts,160,79.0,White Boxing Shorts,nan,4.7,https://www.amazon.com/YOKKAO-Vertical-White-Boxing-Shorts/dp/B095CM1DB5
https://www.amazon.com/s?k=White+Boxing+Shorts,B07QZDLL27,$,,https://m.media-amazon.com/images/I/61l5aJlaFrL._AC_UL1500_.jpg,,"Muay Thai Shorts for Men and Women, High Grade MMA Gym Boxing Kickboxing Shorts.",214,26.99,White Boxing Shorts,nan,4.4,https://www.amazon.com/NAMAZU-Kickboxing-Training-Grappling-Clothing/dp/B07QZDLL27
