,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
172,https://www.amazon.com/Black-Boxing-Shoes/s?k=Black+Boxing+Shoes&page=3&qid=1661366422&ref=sr_pg_2,B08R3WYX8Y,$,,https://m.media-amazon.com/images/I/417eLIleoVL._AC_UL1500_.jpg,,"wrestling shoes for men and women, top combat speed mens weightlifting, powerlifting, workout, mma, boxing boots, lightweight, easy to wear, non slip red and black shoe",96.0,60.0,Black And Gold Boxing Shoes,,4.1,https://www.amazon.com/ninja-viking-weightlifting-powerlifting-lightweight/dp/b08r3wyx8y,4
26,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B09DG1J9H5,$,,https://m.media-amazon.com/images/I/71HEB9csE+L._AC_UL1500_.jpg,,fistrage leather kick boxing shoes fighting sports master training mesh unisex pro mens and youth genuine boot light weight | black color boxing shoes for adults,198.0,43.99,Black And Gold Boxing Shoes,,4.2,https://www.amazon.com/fistrage-leather-fighting-training-high-top/dp/b09dg1j9h5,4
19,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B07BS3R3P1,$,,https://m.media-amazon.com/images/I/61ibXqJztiL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.89,Black And Gold Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07bs3r3p1,3
161,https://www.amazon.com/Black-Boxing-Shoes/s?k=Black+Boxing+Shoes&page=3&qid=1661366422&ref=sr_pg_2,B01NAN0EM3,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title boxing speed flex encore mid boxing shoes, black, 13",25.0,54.99,Black And Gold Boxing Shoes,,4.3,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01nan0em3,3
124,https://www.amazon.com/Black-Boxing-Shoes/s?k=Black+Boxing+Shoes&page=2&qid=1661366401&ref=sr_pg_1,B01N1W6H34,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 11 black,33.0,54.99,Black And Gold Boxing Shoes,,4.4,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n1w6h34,3
121,https://www.amazon.com/Black-Boxing-Shoes/s?k=Black+Boxing+Shoes&page=2&qid=1661366401&ref=sr_pg_1,B08G9M3KS7,$,,https://m.media-amazon.com/images/I/31gC4VAqp1L._AC_UL1500_.jpg,,total balance boxing shoe,253.0,119.99,Black And Gold Boxing Shoes,,4.7,https://www.amazon.com/title-boxing-total-balance-black/dp/b08g9m3ks7,3
7,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Black And Gold Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,3
131,https://www.amazon.com/Black-Boxing-Shoes/s?k=Black+Boxing+Shoes&page=2&qid=1661366401&ref=sr_pg_1,B01N7M1EMU,$,,https://m.media-amazon.com/images/I/71ARTI6iWQL._AC_UL1500_.jpg,,"title boxing speed flex encore mid boxing shoes, red/black, 10",28.0,54.99,Black And Gold Boxing Shoes,,4.6,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n7m1emu,3
16,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,219.0,69.99,Black And Gold Boxing Shoes,,4.1,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyny4,3
96,https://www.amazon.com/Black-Boxing-Shoes/s?k=Black+Boxing+Shoes,B01N6KOR8C,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 10 black,37.0,54.99,Black And Gold Boxing Shoes,,4.7,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n6kor8c,3
