,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
24,https://www.amazon.com/s?k=Boxing+Shorts+Men,B07SJ6WXC9,$,,https://m.media-amazon.com/images/I/71DJICcysQL._AC_UL1500_.jpg,,mrx boxing shorts for men training fighting muay thai shorts boxing mma bjj short kickboxing trunks clothing,183.0,18.99,Boxing Shorts Men,,4.4,https://www.amazon.com/mrx-training-fighting-kickboxing-clothing/dp/b07sj6wxc9,1003
36,https://www.amazon.com/s?k=Boxing+Shorts+Men,B07421LPRC,$,-14.0,https://m.media-amazon.com/images/I/61luMZkeBRL._AC_UL1500_.jpg,,boxing shorts men muay thai fight shorts mma shorts for men bjj,426.0,19.0,Boxing Shorts Men,,4.1,https://www.amazon.com/sotf-sports-pants-boxing-shorts/dp/b07421lprc,3
55,https://www.amazon.com/s?k=Boxing+Shorts+Men&page=2&qid=1661366316&ref=sr_pg_1,B08C2ZWRB4,$,,https://m.media-amazon.com/images/I/611NDrIQtDL._AC_UL1500_.jpg,,men breathable fighting boxing shorts boys fitness running sports shorts,40.0,21.0,Boxing Shorts Men,,4.4,https://www.amazon.com/breathable-fighting-fitness-running-shorts-black-xl/dp/b08c2zwrb4,3
6,https://www.amazon.com/s?k=Boxing+Shorts+Men,B081H1B6F4,$,,https://m.media-amazon.com/images/I/71q5GOSqHyL._AC_UL1500_.jpg,,mens mma cross training boxing shorts trunks fight wear with drawstring and pocket qjk01,1601.0,21.99,Boxing Shorts Men,,4.5,https://www.amazon.com/lafroi-training-boxing-drawstring-pocket-qjk01/dp/b081h1b6f4,3
9,https://www.amazon.com/s?k=Boxing+Shorts+Men,B07L8QR6FR,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",422.0,26.99,Boxing Shorts Men,,4.3,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b07l8qr6fr,3
30,https://www.amazon.com/s?k=Boxing+Shorts+Men,B0895NM2KC,$,,https://m.media-amazon.com/images/I/61omFyg7kgL._AC_UL1500_.jpg,,men breathable running shorts mma boxing fitness sports shorts,306.0,24.0,Boxing Shorts Men,,4.4,https://www.amazon.com/breathable-running-basketball-fitness-shorts-black-l/dp/b0895nm2kc,3
56,https://www.amazon.com/s?k=Boxing+Shorts+Men&page=2&qid=1661366316&ref=sr_pg_1,B096B7Z7P9,$,,https://m.media-amazon.com/images/I/712+tfJbutS._AC_UL1500_.jpg,,muay thai shorts boxing shorts for men women high grade martial arts training gym trunks classic boxing shorts.,86.0,25.99,Boxing Shorts Men,,4.3,https://www.amazon.com/flkky-shorts-kickboxing-shorts-f09-orange/dp/b096b7z7p9,3
1,https://www.amazon.com/s?k=Boxing+Shorts+Men,B07SJ6WXNG,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,men boxing shorts for boxing training fitness gym cage fight mma mauy thai kickboxing trunks clothing,301.0,18.99,Boxing Shorts Men,,4.3,https://www.amazon.com/boxing-training-fitness-kickboxing-clothing/dp/b07sj6wxng,3
3,https://www.amazon.com/s?k=Boxing+Shorts+Men,B07QKSNCYS,$,-40.0,https://m.media-amazon.com/images/I/61jDutuKWsL._AC_UL1500_.jpg,,boxing shorts for men training fight shorts men mma bjj shorts no gi,1106.0,24.0,Boxing Shorts Men,,4.4,https://www.amazon.com/sotf-boxing-shorts-stretch-training/dp/b07qksncys,3
65,https://www.amazon.com/SOTF-Boxing-Shorts-Stretch-Training/dp/B07QKTM9XN,B07QKTM9XN,$,,"https://m.media-amazon.com/images/I/41h1LH0dXQL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/51+9gHMd1qS._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41prrik7PqL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41Th8n-UiwL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/51tJVdfYsfL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41nZN-me+TL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/410fm0JnjsL._AC_UL1500_.jpg",,sotf boxing shorts for men training fight shorts men mma bjj shorts no gi,1106.0,19.5,Boxing Shorts Men,,4.4,https://www.amazon.com/sotf-boxing-shorts-stretch-training/dp/b07qktm9xn,3
