,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
45,https://www.amazon.com/s?k=Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B07SH7HFPB,$,,https://m.media-amazon.com/images/I/71bAELECjhL._AC_UL1500_.jpg,,mrx boxing shorts for men training fighting muay thai shorts boxing mma bjj short kickboxing trunks clothing,183.0,18.99,Boxing Shorts,,4.4,https://www.amazon.com/mrx-training-fighting-kickboxing-clothing/dp/b07sh7hfpb,1002
50,https://www.amazon.com/s?k=Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B096LFK88Z,$,,https://m.media-amazon.com/images/I/41johgh8JDS._AC_UL1500_.jpg,,mens gym workout boxing shorts running short pants fitted training bodybuilding jogger short,2139.0,17.97,Boxing Shorts,,4.2,https://www.amazon.com/everworth-workout-running-training-bodybuilding/dp/b096lfk88z,1002
39,https://www.amazon.com/s?k=Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B07QG5DMFJ,$,,https://m.media-amazon.com/images/I/51UuPWPGsoL._AC_UL1500_.jpg,,mma boxing shorts men fight shorts men bjj no gi shorts,500.0,19.5,Boxing Shorts,,4.1,https://www.amazon.com/sotf-stretch-shorts-grappling-medium/dp/b07qg5dmfj,2
27,https://www.amazon.com/s?k=Boxing+Shorts,B099F2W189,$,,https://m.media-amazon.com/images/I/71qQYhM2N2L._AC_UL1500_.jpg,,muay thai shorts boxing shorts for men women high grade martial arts training gym trunks classic boxing shorts.,86.0,18.99,Boxing Shorts,,4.3,https://www.amazon.com/flkky-shorts-boxing-women-martial/dp/b099f2w189,2
24,https://www.amazon.com/s?k=Boxing+Shorts,B09VY7PV88,$,,https://m.media-amazon.com/images/I/81yc7F7PP+L._AC_UL1500_.jpg,,dragon muay thai shorts for men women boxing kickboxing high grade mma fight clothing training workout trunk,69.0,24.99,Boxing Shorts,,4.4,https://www.amazon.com/siamkick-kickboxing-clothing-training-workout/dp/b09vy7pv88,2
23,https://www.amazon.com/s?k=Boxing+Shorts,B07PZ55FLN,$,,https://m.media-amazon.com/images/I/71dhjrZOB-S._AC_UL1500_.jpg,,classic muay thai & kickboxing shorts,509.0,33.99,Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-kickboxing-shorts/dp/b07pz55fln,2
12,https://www.amazon.com/s?k=Boxing+Shorts,B07NSR96WZ,$,,https://m.media-amazon.com/images/I/718da2wk6jL._AC_UL1500_.jpg,,"mma shorts for training & kickboxing – fighting shorts for martial arts, cage fight, muay thai, bjj, boxing, grappling & combat sports – workout clothing for bodybuilding, gym exercise & running",69.0,34.99,Boxing Shorts,,4.7,https://www.amazon.com/rdx-mma-shorts-training-kickboxing/dp/b07nsr96wz,2
15,https://www.amazon.com/s?k=Boxing+Shorts,B07HPH23SC,$,,https://m.media-amazon.com/images/I/71x4LQTKsfL._AC_UL1500_.jpg,,classic boxing trunks shorts,505.0,35.99,Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-boxing-trunks/dp/b07hph23sc,2
19,https://www.amazon.com/s?k=Boxing+Shorts,B075KL6Q1C,$,,https://m.media-amazon.com/images/I/61+sgxRtKqL._AC_UL1500_.jpg,,"50/50 muay thai shorts   kickboxing, thai boxing",482.0,33.99,Boxing Shorts,,4.7,https://www.amazon.com/anthem-athletics-muay-thai-shorts/dp/b075kl6q1c,2
22,https://www.amazon.com/s?k=Boxing+Shorts,B01GBMKY88,$,,https://m.media-amazon.com/images/I/81sho7YFGgL._AC_UL1500_.jpg,,kids boxing uniform set top & shorts 2 pcs top shorts boxing clothes for kids boys/girls for 03 to 14 years,446.0,19.99,Boxing Shorts,,4.3,https://www.amazon.com/prime-sports-boxing-shorts-fabric/dp/b01gbmky88,2
