,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
18,https://www.amazon.com/boxing-shorts-kids/s?k=boxing+shorts+for+kids,B07R71TWSX,$,,https://m.media-amazon.com/images/I/61OLQjbWrDL._AC_UL1500_.jpg,,classic boxing champion costume boxer role play halloween fancy dress (hooded boxing set / only boxing shorts),201.0,29.8,Champion Boxing Shorts,,4.1,https://www.amazon.com/boxing-champion-costume-halloween-american/dp/b07r71twsx,3
85,https://www.amazon.com/Creed-Champion-Shorts-Wrestling-Kickboxing/dp/B07SMNCZJC,B07SMNCZJC,$,,"https://m.media-amazon.com/images/I/41xZ9LLTyrL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41v+nl3DiPL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41g-IB196QL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/411TRhisXHL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41iRiT-QAnL._AC_UL1500_.jpg",,creed champion fight shorts  mma wrestling kickboxing,46.0,16.99,Champion Boxing Shorts,,4.3,https://www.amazon.com/creed-champion-shorts-wrestling-kickboxing/dp/b07smnczjc,3
9,https://www.amazon.com/s?k=Champion+Boxing+Shorts,B07SFX5D9W,$,,https://m.media-amazon.com/images/I/716lMhf3L7L._AC_UL1500_.jpg,,"mens 9"" lacrosse short, c logo",1730.0,18.0,Champion Boxing Shorts,,4.6,https://www.amazon.com/champion-lacrosse-short-black-medium/dp/b07sfx5d9w,2
13,https://www.amazon.com/s?k=Champion+Boxing+Shorts,B014WBIZ6I,$,,https://m.media-amazon.com/images/I/61cEwgTSxQL._AC_UL1500_.jpg,,3.7 oz. mesh short,1473.0,10.99,Champion Boxing Shorts,,4.2,https://www.amazon.com/champion-men%60s-polyester-short-black/dp/b014wbiz6i,2
5,https://www.amazon.com/s?k=Champion+Boxing+Shorts,B00GYX2ODS,$,-36.0,https://m.media-amazon.com/images/I/71BPdYkTVWL._AC_UL1500_.jpg,,"mens powerflex 6"" compression short, slate grey heather/black",35.0,15.95,Champion Boxing Shorts,,3.5,https://www.amazon.com/champion-powerflex-compression-short-heather/dp/b00gyx2ods,2
40,https://www.amazon.com/boxing-shorts-kids/s?k=boxing+shorts+for+kids,B09H8X1FZG,$,,https://m.media-amazon.com/images/I/71L0FkCZfxL._AC_UL1500_.jpg,,boxing robe and shorts halloween costume cosplay for kids custom satin boxer cloak,41.0,29.95,Champion Boxing Shorts,,4.3,https://www.amazon.com/boxing-halloween-costume-cosplay-american/dp/b09h8x1fzg,2
8,https://www.amazon.com/s?k=Champion+Boxing+Shorts,B0117ER2QW,$,,https://m.media-amazon.com/images/I/71xXRP5q75L._AC_UL1500_.jpg,,mens 9 inch compression short,984.0,16.5,Champion Boxing Shorts,,4.3,https://www.amazon.com/champion-powerflex-compression-stealth-stormy/dp/b0117er2qw,2
23,https://www.amazon.com/boxing-shorts-kids/s?k=boxing+shorts+for+kids,B07Q284RBT,$,,https://m.media-amazon.com/images/I/71EDHLiu4gL._AC_UL1500_.jpg,,kids boxing costume rocky balboa american flag shorts italian stallion boys wrestle sports trunks,99.0,16.0,Champion Boxing Shorts,,4.0,https://www.amazon.com/costume-american-italian-stallion-wrestle/dp/b07q284rbt,2
61,https://www.amazon.com/boxing-shorts-kids/s?k=boxing+shorts+for+kids&page=2&qid=1661366340&ref=sr_pg_1,B07R63TJVX,$,,https://m.media-amazon.com/images/I/61oCc3sTLGL._AC_UL1500_.jpg,,short tracksuit with hood sleeveless boxing ring jacket trunks outfit fight wear sport suit,43.0,25.99,Champion Boxing Shorts,,3.9,https://www.amazon.com/tracksuit-sleeveless-boxing-jacket-adult-m/dp/b07r63tjvx,2
17,https://www.amazon.com/boxing-shorts-kids/s?k=boxing+shorts+for+kids,B01GBMKY88,$,,https://m.media-amazon.com/images/I/81sho7YFGgL._AC_UL1500_.jpg,,kids boxing uniform set top & shorts 2 pcs top shorts boxing clothes for kids boys/girls for 03 to 14 years,446.0,19.99,Champion Boxing Shorts,,4.3,https://www.amazon.com/prime-sports-boxing-shorts-fabric/dp/b01gbmky88,2
