,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
108,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=3&qid=1661366380&ref=sr_pg_2,B01LXOMYIQ,$,,https://m.media-amazon.com/images/I/81uiVcl2i7L._AC_UL1500_.jpg,,muay thai kick boxing shorts pink ladies female training trunks mma,33.0,19.99,Ladies Boxing Shorts,,4.1,https://www.amazon.com/farabi-boxing-shorts-ladies-training/dp/b01lxomyiq,3
67,https://www.amazon.com/Farabi-Boxing-Shorts-Ladies-Training/dp/B01LZB50MV,B01LZB50MV,$,,"https://m.media-amazon.com/images/I/51bgtTkN9wL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/51OEox6XevL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/51mcIjc4zpL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41LdO9cPmzL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/51OEox6XevL._AC_UL1500_.jpg",,farabi muay thai kick boxing shorts pink ladies female training trunks mma,33.0,35.99,Ladies Boxing Shorts,,4.1,https://www.amazon.com/farabi-boxing-shorts-ladies-training/dp/b01lzb50mv,3
9,https://www.amazon.com/s?k=Ladies+Boxing+Shorts,B07L8QR6FR,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",422.0,26.99,Ladies Boxing Shorts,,4.3,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b07l8qr6fr,2
72,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=2,B01GBMKY6K,$,,https://m.media-amazon.com/images/I/81sho7YFGgL._AC_UL1500_.jpg,,kids boxing uniform set top & shorts 2 pcs top shorts boxing clothes for kids boys/girls for 03 to 14 years,446.0,19.99,Ladies Boxing Shorts,,4.3,https://www.amazon.com/prime-sports-boxing-shorts-fabric/dp/b01gbmky6k,2
89,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=2,B08RD85ZFC,$,,https://m.media-amazon.com/images/I/611lWYAn-DL._AC_UL1500_.jpg,,design your own muay thai shorts combat fight mma boxer boxing trunks,52.0,21.99,Ladies Boxing Shorts,,4.0,https://www.amazon.com/o2tee-custom-shorts-training-kickboxing/dp/b08rd85zfc,2
98,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=3&qid=1661366380&ref=sr_pg_2,B07HPC8JDV,$,,https://m.media-amazon.com/images/I/71EJ6vYJAbL._AC_UL1500_.jpg,,classic boxing trunks shorts,505.0,35.99,Ladies Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-boxing-trunks/dp/b07hpc8jdv,2
12,https://www.amazon.com/s?k=Ladies+Boxing+Shorts,B07NS1VTRT,$,,https://m.media-amazon.com/images/I/71hB+y4jc3L._AC_UL1500_.jpg,,"muay thai shorts size:xs s m l xl 2xl 3xl 4xl, boxing shorts for men/women/kids with many colors",380.0,26.99,Ladies Boxing Shorts,,4.4,https://www.amazon.com/fluory-muay-thai-shorts-size/dp/b07ns1vtrt,2
21,https://www.amazon.com/s?k=Ladies+Boxing+Shorts,B07MFX9CKX,$,,https://m.media-amazon.com/images/I/61lTxp8p1PL._AC_UL1500_.jpg,,tuff sport muay thai shorts boxing shorts trunks kick martial arts training gym clothing,556.0,35.99,Ladies Boxing Shorts,,4.6,https://www.amazon.com/tuff-boxing-shorts-trunks-tuf-ms633-pnk/dp/b07mfx9ckx,2
111,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=3&qid=1661366380&ref=sr_pg_2,B006CV3QZW,$,-13.0,https://m.media-amazon.com/images/I/61NrkI4ZTtL._AC_UL1500_.jpg,,pro style kickboxing muay thai mma training gym clothing shorts boxing trunks,53.0,25.99,Ladies Boxing Shorts,,4.3,https://www.amazon.com/ringside-pro-style-boxing-trunks-black/dp/b006cv3qzw,2
78,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=2,B0019CEOY6,$,,https://m.media-amazon.com/images/I/815LROh32kS._AC_UL1500_.jpg,,balboa mens apollo movie boxing american flag shorts,595.0,21.95,Ladies Boxing Shorts,,4.3,https://www.amazon.com/rocky-balboa-apollo-boxing-american/dp/b0019ceoy6,2
8,https://www.amazon.com/s?k=Ladies+Boxing+Shorts,B085ZXF6N1,$,,https://m.media-amazon.com/images/I/41RXKUNVDQL._AC_UL1500_.jpg,,unisex boxing vest top and shorts set for kickboxing/exercise/sports/sparring/fighting/training/fitness boxers,61.0,24.0,Ladies Boxing Shorts,,4.3,https://www.amazon.com/pro-impact-boxing-options-different/dp/b085zxf6n1,2
95,https://www.amazon.com/Womens-Boxing-Clothing/b?ie=UTF8&node=2419352011,B08BLT5C7P,$,-40.0,https://m.media-amazon.com/images/I/71bVdbP5dhS._AC_UL1500_.jpg,,womens ashley ladies performance quick drying short,64.0,29.95,Ladies Boxing Shorts,,3.9,https://www.amazon.com/huk-deckhand-short-performance-quick-drying/dp/b08blt5c7p,2
24,https://www.amazon.com/s?k=Ladies+Boxing+Shorts,B08HZGQ1M5,$,,https://m.media-amazon.com/images/I/71fwBwtJm+L._AC_UL1500_.jpg,,"roar womens mma fight shorts, ufc, bjj, muay thai, wod, nogi, kickboxing, wrestling, mma, workout shorts",65.0,19.99,Ladies Boxing Shorts,,3.9,https://www.amazon.com/womens-shorts-kickboxing-wrestling-simple-black/dp/b08hzgq1m5,2
68,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=2,B0933BDN8Y,$,,https://m.media-amazon.com/images/I/718PLdvbmSS._AC_UL1500_.jpg,,classic muay thai shorts black white red camo blue kick boxing mma combat sport sparring trunks,34.0,29.95,Ladies Boxing Shorts,,4.1,https://www.amazon.com/hardcore-training-classic-shorts-sparring/dp/b0933bdn8y,2
112,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=3&qid=1661366380&ref=sr_pg_2,B00LN0D3VE,$,,https://m.media-amazon.com/images/I/81mKdWwkajL._AC_UL1500_.jpg,,muay thai boxing shorts traditional styles,33.0,59.98,Ladies Boxing Shorts,,4.2,https://www.amazon.com/fairtex-boxing-shorts-black-superstitious/dp/b00ln0d3ve,2
42,https://www.amazon.com/s?k=Ladies+Boxing+Shorts&page=2&qid=1661366322&ref=sr_pg_1,B09VY7PV88,$,,https://m.media-amazon.com/images/I/81yc7F7PP+L._AC_UL1500_.jpg,,dragon muay thai shorts for men women boxing kickboxing high grade mma fight clothing training workout trunk,69.0,24.99,Ladies Boxing Shorts,,4.4,https://www.amazon.com/siamkick-kickboxing-clothing-training-workout/dp/b09vy7pv88,2
17,https://www.amazon.com/s?k=Ladies+Boxing+Shorts,B075RG3HM6,$,-10.0,https://m.media-amazon.com/images/I/61ZGe7kvl+L._AC_UL1500_.jpg,,c5 ladies cycling shorts with seat insert,40.0,72.0,Ladies Boxing Shorts,,4.0,https://www.amazon.com/gore-wear-ladies-cycling-shorts/dp/b075rg3hm6,2
70,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=2,B08K97WKWX,$,-33.0,https://m.media-amazon.com/images/I/81KoE8pB+xS._AC_UL1500_.jpg,,"resolute muay thai shorts   kickboxing, thai boxing",421.0,29.99,Ladies Boxing Shorts,,4.4,https://www.amazon.com/anthem-athletics-resolute-muay-shorts/dp/b08k97wkwx,2
73,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=2,B07FD8VZYL,$,,https://m.media-amazon.com/images/I/71PhUea+ZNL._AC_UL1500_.jpg,,"muay thai fight shorts,mma shorts clothing training cage fighting grappling martial arts kickboxing shorts clothing",1280.0,26.99,Ladies Boxing Shorts,,4.4,https://www.amazon.com/fluory-clothing-training-grappling-kickboxing/dp/b07fd8vzyl,2
