,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
5,https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B0B1ZKF7YG,$,,https://m.media-amazon.com/images/I/71y0C7kpydL._AC_UL1500_.jpg,,mens casual shoes comfortable pu leather fashion sneakers breathable low top walking shoes,283.0,41.99,Low Top Boxing Shoes,,4.4,https://www.amazon.com/ax-boxing-comfortable-sneakers-breathable/dp/b0b1zkf7yg,4
1,https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B07JPKCFBF,$,,https://m.media-amazon.com/images/I/61vE-25vLKL._AC_UL1500_.jpg,,pivt low top boxing shoes,223.0,89.79,Low Top Boxing Shoes,,4.6,https://www.amazon.com/everlast-pivt-low-boxing-shoes/dp/b07jpkcfbf,4
22,https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B08BZVYL4M,$,,https://m.media-amazon.com/images/I/81jrqipNvoS._AC_UL1500_.jpg,,all pro boxing shoes   classic crusader series – mid tops   genuine leather   state of the art quality boxing footwear,20.0,79.99,Low Top Boxing Shoes,,4.6,https://www.amazon.com/stallion-new-york-boxing-state/dp/b08bzvyl4m,3
6,https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B07T89D18J,$,,https://m.media-amazon.com/images/I/51jautzte4L._AC_UL1500_.jpg,,"low top wrestling shoes for men, women and youth, big kids",30.0,49.68,Low Top Boxing Shoes,,4.0,https://www.amazon.com/day-key-wrestling-shoes-children/dp/b07t89d18j,3
20,https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B08GYQM6J5,$,-23.0,https://m.media-amazon.com/images/I/71qOGzXG4ZL._AC_UL1500_.jpg,,men’s low top canvas walking shoes lace up fashion sneakers casual,1684.0,23.99,Low Top Boxing Shoes,,4.3,https://www.amazon.com/yageyan-canvas-lace-up-fashion-sneakers/dp/b08gyqm6j5,3
4,https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B072JGTM91,$,,https://m.media-amazon.com/images/I/51+M+so6FqL._AC_UL1500_.jpg,,unisexs low top adi kick i martial arts taekwondo karate training shoes trainers,1172.0,79.95,Low Top Boxing Shoes,,4.5,https://www.amazon.com/adidas-adi-kick-martial-shoes-sneaker/dp/b072jgtm91,3
2,https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,219.0,69.99,Low Top Boxing Shoes,,4.1,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyny4,3
11,https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B07C9LG958,$,,https://m.media-amazon.com/images/I/71sGwokyEHL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.69,Low Top Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07c9lg958,3
13,https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Low Top Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,2
3,https://www.amazon.com/s?k=Low+Top+Boxing+Shoes,B09DFYL1CK,$,,https://m.media-amazon.com/images/I/71N3urU993L._AC_UL1500_.jpg,,fistrage leather kick boxing shoes fighting sports master training mesh unisex pro mens and youth genuine boot light weight | black color boxing shoes for adults,198.0,41.99,Low Top Boxing Shoes,,4.2,https://www.amazon.com/fistrage-leather-fighting-training-genuine/dp/b09dfyl1ck,2
26,https://www.amazon.com/Ringside-Diablo-Wrestling-Boxing-Shoes/dp/B00M1UAQG0,B00M1UAQG0,$,,"https://m.media-amazon.com/images/I/51drK3B8awL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/51gq5sVqDqL._AC_UL1500_.jpg",,ringside diablo wrestling boxing shoes,271.0,51.16,Low Top Boxing Shoes,,4.1,https://www.amazon.com/ringside-diablo-wrestling-boxing-shoes/dp/b00m1uaqg0,2
