,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
14,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B08MQZLFF3,$,,https://m.media-amazon.com/images/I/816+RjLAzmL._AC_UL1500_.jpg,,pro boxing shoe for men & women,631.0,119.0,Mens Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-pro-boxing-shoe-women/dp/b08mqzlff3,1003
70,https://www.amazon.com/Hayabusa-Pro-Boxing-Shoe-Women/dp/B08MWQSZC5,B08MWQSZC5,$,,"https://m.media-amazon.com/images/I/41FaTbVQGNS._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41mb7ShP2bL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41O8pBio38L._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41LQN2onp6L._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/413k2fa64AS._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41VogMDm2PL._AC_UL1500_.jpg",,hayabusa pro boxing shoe for men & women,631.0,36.47,Mens Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-pro-boxing-shoe-women/dp/b08mwqszc5,1003
99,https://www.amazon.com/boxing-shoes-men-Clothing-Jewelry/s?k=boxing+shoes+men&i=fashion&rh=n%3A7141123011&page=2&qid=1661366343&ref=sr_pg_1,B018BALIQA,$,,https://m.media-amazon.com/images/I/71zj363f-OL._AC_UL1500_.jpg,,mens warrior bodybuilding boxing weightlifting mma shoes,427.0,89.0,Mens Boxing Shoes,,4.6,https://www.amazon.com/otomix-warrior-bodybuilding-boxing-weightlifting/dp/b018baliqa,3
17,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B08PW1FZ63,$,,https://m.media-amazon.com/images/I/81SDU8gruOL._AC_UL1500_.jpg,,mens training gymnastics shoe,628.0,87.15,Mens Boxing Shoes,,4.5,https://www.amazon.com/adidas-hog-2-boxing-shoes-black/dp/b08pw1fz63,3
102,https://www.amazon.com/boxing-shoes-men-Clothing-Jewelry/s?k=boxing+shoes+men&i=fashion&rh=n%3A7141123011&page=2&qid=1661366343&ref=sr_pg_1,B08LKRGDRQ,$,,https://m.media-amazon.com/images/I/718-dQYAAFS._AC_UL1500_.jpg,,mens casual shoes fashion sneakers breathable comfort walking shoes for male,2925.0,44.99,Mens Boxing Shoes,,4.3,https://www.amazon.com/ax-boxing-sneakers-breathable-numeric_11_point_5/dp/b08lkrgdrq,3
10,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B09DG1J9H5,$,,https://m.media-amazon.com/images/I/71HEB9csE+L._AC_UL1500_.jpg,,fistrage leather kick boxing shoes fighting sports master training mesh unisex pro mens and youth genuine boot light weight | black color boxing shoes for adults,198.0,43.99,Mens Boxing Shoes,,4.2,https://www.amazon.com/fistrage-leather-fighting-training-high-top/dp/b09dg1j9h5,3
83,https://www.amazon.com/s?k=Mens+Boxing+Shoes&page=3&qid=1661366333&ref=sr_pg_2,B07ZGV7XT7,$,,https://m.media-amazon.com/images/I/81Toeo4NztL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, royal blue/yellow/black, 10",48.0,62.23,Mens Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-royal-yellow-black/dp/b07zgv7xt7,2
41,https://www.amazon.com/s?k=Mens+Boxing+Shoes&page=2&qid=1661366323&ref=sr_pg_1,B01BPL5XRM,$,-13.0,https://m.media-amazon.com/images/I/61TaebYLZyL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 13",216.0,52.48,Mens Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5xrm,2
8,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,219.0,69.99,Mens Boxing Shoes,,4.1,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyny4,2
5,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B07JPH3PBV,$,,https://m.media-amazon.com/images/I/61vE-25vLKL._AC_UL1500_.jpg,,pivt low top boxing shoes,223.0,89.79,Mens Boxing Shoes,,4.6,https://www.amazon.com/everlast-pivt-low-boxing-shoes/dp/b07jph3pbv,2
25,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B074F3KPGK,$,-14.0,https://m.media-amazon.com/images/I/41snevjvoWL._AC_UL1500_.jpg,,mens varner wrestling shoe,233.0,102.95,Mens Boxing Shoes,,4.7,https://www.amazon.com/adidas-adizero-varner-wrestling-shoes/dp/b074f3kpgk,2
28,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B004BUSU0M,$,-7.0,https://m.media-amazon.com/images/I/51VUOxW155L._AC_UL1500_.jpg,,mens speedsweep vii wrestling shoes,250.0,70.45,Mens Boxing Shoes,,4.4,https://www.amazon.com/nike-o0057flkus884497166018-nike-speedsweep-vii/dp/b004busu0m,2
12,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B01BPL5WF0,$,-13.0,https://m.media-amazon.com/images/I/61vUTY5yA0L._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 12",271.0,52.49,Mens Boxing Shoes,,4.5,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5wf0,2
4,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B08N8PK8TR,$,-27.0,https://m.media-amazon.com/images/I/817gz5oFM0S._AC_UL1500_.jpg,,unisex adult speedex 18 boxing shoe,282.0,109.69,Mens Boxing Shoes,,4.6,https://www.amazon.com/adidas-unisex-speedex-metallic-collegiate/dp/b08n8pk8tr,2
22,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B01NCPYQO5,$,,https://m.media-amazon.com/images/I/711BDTxAPnL._AC_UL1500_.jpg,,"title boxing speed flex encore mid boxing shoes, black/white, 10",21.0,54.99,Mens Boxing Shoes,,4.5,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpyqo5,2
18,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B091ZCF4Y2,$,-18.0,https://m.media-amazon.com/images/I/81J+GMAv1VL._AC_UL1500_.jpg,,unisex adult hog 3 boxing shoe,45.0,81.72,Mens Boxing Shoes,,4.7,https://www.amazon.com/adidas-unisex-boxing-shadow-white/dp/b091zcf4y2,2
108,https://www.amazon.com/boxing-shoes-men-Clothing-Jewelry/s?k=boxing+shoes+men&i=fashion&rh=n%3A7141123011&page=3&qid=1661366365&ref=sr_pg_2,B07BHZLTPV,$,,https://m.media-amazon.com/images/I/81b-hi9i4eL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, grey/grey/grey, 6.5",44.0,64.95,Mens Boxing Shoes,,4.2,https://www.amazon.com/adidas-wrestling-ankle-strap-light/dp/b07bhzltpv,2
30,https://www.amazon.com/s?k=Mens+Boxing+Shoes,B01BPL5VBK,$,,https://m.media-amazon.com/images/I/61TaebYLZyL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 11",346.0,68.94,Mens Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5vbk,2
65,https://www.amazon.com/s?k=Mens+Boxing+Shoes&page=2&qid=1661366323&ref=sr_pg_1,B07ZGTLSL4,$,,https://m.media-amazon.com/images/I/81Toeo4NztL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, royal blue/yellow/black, 9.5",44.0,59.14,Mens Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-royal-yellow-black/dp/b07zgtlsl4,2
103,https://www.amazon.com/boxing-shoes-men-Clothing-Jewelry/s?k=boxing+shoes+men&i=fashion&rh=n%3A7141123011&page=2&qid=1661366343&ref=sr_pg_1,B07NQQ2B2Z,$,-5.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 12",41.0,56.94,Mens Boxing Shoes,,4.3,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqq2b2z,2
