,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
1,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B096B7Z7P9,$,,https://m.media-amazon.com/images/I/712+tfJbutS._AC_UL1500_.jpg,,muay thai shorts boxing shorts for men women high grade martial arts training gym trunks classic boxing shorts.,86.0,25.99,Orange Boxing Shorts,,4.3,https://www.amazon.com/flkky-shorts-kickboxing-shorts-f09-orange/dp/b096b7z7p9,3
32,https://www.amazon.com/Boys-Boxing-Trunks/b?ie=UTF8&node=2420045011,B07FLTP3RZ,$,,https://m.media-amazon.com/images/I/912UrV7A9tL._AC_UL1500_.jpg,,kid muay thai boxing shorts 2 years old   10 years old,180.0,23.9,Orange Boxing Shorts,,4.6,https://www.amazon.com/nakarad-muay-boxing-shorts-years/dp/b07fltp3rz,2
18,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B07LG54YB1,$,,https://m.media-amazon.com/images/I/61C-Gft0o4L._AC_UL1500_.jpg,,"muay thai fight shorts,mma shorts clothing training cage fighting grappling martial arts kickboxing shorts clothing",528.0,28.99,Orange Boxing Shorts,,4.3,https://www.amazon.com/fluory-clothing-training-grappling-kickboxing/dp/b07lg54yb1,2
14,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B00661YBR0,$,,https://m.media-amazon.com/images/I/71BMu+oodPL._AC_UL1500_.jpg,,womens white sugar short,24.0,55.0,Orange Boxing Shorts,,3.5,https://www.amazon.com/pearl-izumi-womens-safety-orange/dp/b00661ybr0,2
8,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B078Y4PB28,$,,https://m.media-amazon.com/images/I/71BPSkDigfL._AC_UL1500_.jpg,,jeet kune do jkd wing chun tsun kung fu dragon boxing trunks kickboxing thaiboxing mma,29.0,49.9,Orange Boxing Shorts,,4.4,https://www.amazon.com/muay-thai-shorts-kickboxing-thaiboxing/dp/b078y4pb28,2
7,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B07SQZ4YZJ,$,,https://m.media-amazon.com/images/I/71RvtejiXPL._AC_UL1500_.jpg,,tuff sport muay thai shorts boxing shorts trunks kick martial arts training gym clothing,32.0,35.99,Orange Boxing Shorts,,4.4,https://www.amazon.com/boxing-martial-training-clothing-tuf-ms637-red/dp/b07sqz4yzj,2
28,https://www.amazon.com/Boys-Boxing-Trunks/b?ie=UTF8&node=2420045011,B078M4W5WW,$,,https://m.media-amazon.com/images/I/51tlW88zP0L._AC_UL1500_.jpg,,kids muay thai boxing shorts kick boxing trunks satin,32.0,19.99,Orange Boxing Shorts,,4.5,https://www.amazon.com/asmanjune-boxing-shorts-trunks-satin/dp/b078m4w5ww,2
12,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B08K279MNG,$,,https://m.media-amazon.com/images/I/815MWK2pN9L._AC_UL1500_.jpg,,muay thai logo shorts   blue/orange,41.0,29.99,Orange Boxing Shorts,,4.2,https://www.amazon.com/paosing-muaythai-muay-thai-shorts/dp/b08k279mng,2
36,https://www.amazon.com/Boys-Boxing-Trunks/b?ie=UTF8&node=2420045011,B00OQQMWHI,$,,https://m.media-amazon.com/images/I/71jBrdYxT4L._AC_UL1500_.jpg,,pro mma shorts fight ufc grappling short kick gel boxing muay thai cage pants,43.0,22.49,Orange Boxing Shorts,,3.9,https://www.amazon.com/shorts-fight-grappling-boxing-x-large/dp/b00oqqmwhi,2
29,https://www.amazon.com/Boys-Boxing-Trunks/b?ie=UTF8&node=2420045011,B09B1TR5B2,$,,https://m.media-amazon.com/images/I/71UTdvoQIwL._AC_UL1500_.jpg,,youth muay thai shorts for kids (4 years   10 years) boxing kickboxing mma training trunk for boys and girls,78.0,19.99,Orange Boxing Shorts,,4.6,https://www.amazon.com/siamkick-youth-muay-shorts-years/dp/b09b1tr5b2,2
5,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B01JYO30T0,$,,https://m.media-amazon.com/images/I/71Bhlxt+MNL._AC_UL1500_.jpg,,kid muay thai boxing shorts kick boxing trunks satin size 2xs m,158.0,19.9,Orange Boxing Shorts,,4.2,https://www.amazon.com/lofbaz-muay-boxing-shorts-green/dp/b01jyo30t0,2
35,https://www.amazon.com/Boys-Boxing-Trunks/b?ie=UTF8&node=2420045011,B00RXTFGX2,$,,https://m.media-amazon.com/images/I/81iXNBCcaqL._AC_UL1500_.jpg,,muay thai boxing kick boxing martial arts shorts pink black shorts,229.0,21.99,Orange Boxing Shorts,,4.4,https://www.amazon.com/boxing-martial-shorts-black-medium/dp/b00rxtfgx2,2
30,https://www.amazon.com/Boys-Boxing-Trunks/b?ie=UTF8&node=2420045011,B003LD8PEQ,$,,https://m.media-amazon.com/images/I/81cac681BeL._AC_UL1500_.jpg,,muay thai shorts kick boxing training satin black gold short tiger embroidery,316.0,29.99,Orange Boxing Shorts,,4.4,https://www.amazon.com/muay-boxing-short-tiger-large/dp/b003ld8peq,2
20,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B01GBMKY4W,$,,https://m.media-amazon.com/images/I/81sho7YFGgL._AC_UL1500_.jpg,,kids boxing uniform set top & shorts 2 pcs top shorts boxing clothes for kids boys/girls for 03 to 14 years,446.0,21.99,Orange Boxing Shorts,,4.3,https://www.amazon.com/prime-sports-boxing-shorts-fabric/dp/b01gbmky4w,2
34,https://www.amazon.com/Boys-Boxing-Trunks/b?ie=UTF8&node=2420045011,B00P4Y396O,$,,https://m.media-amazon.com/images/I/71rwcrJz4hL._AC_UL1500_.jpg,,muay thai shorts kickboxing shorts mma boxing training,473.0,24.99,Orange Boxing Shorts,,4.4,https://www.amazon.com/shorts-kickboxing-short-boxing-training/dp/b00p4y396o,2
15,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B09Z2GFXN6,$,,https://m.media-amazon.com/images/I/81CZYvDvDlL._AC_UL1500_.jpg,,muay thai shorts boxing shorts traditional styles mma workout kickboxing,21.0,35.99,Orange Boxing Shorts,,4.7,https://www.amazon.com/tuff-sport-traditional-kickboxing-tuf-ms672-red/dp/b09z2gfxn6,2
2,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B01MU7M0DN,$,,https://m.media-amazon.com/images/I/613RRq2OhNL._AC_UL1500_.jpg,,"infinity muay thai shorts   kickboxing, thai boxing, striking",933.0,33.99,Orange Boxing Shorts,,4.5,https://www.amazon.com/anthem-athletics-infinity-muay-shorts/dp/b01mu7m0dn,2
43,https://www.amazon.com/s?k=Orange+Boxing+Shorts&page=2&qid=1661366324&ref=sr_pg_1,B084ZFP86L,$,,https://m.media-amazon.com/images/I/61kN9Dp+6-L._AC_UL1500_.jpg,,mens gym workout boxing shorts running short pants fitted training bodybuilding jogger short,2139.0,17.97,Orange Boxing Shorts,,4.2,https://www.amazon.com/everworth-workout-running-training-bodybuilding/dp/b084zfp86l,2
47,https://www.amazon.com/s?k=Orange+Boxing+Shorts&page=2&qid=1661366324&ref=sr_pg_1,B09FGQ9CFS,$,,https://m.media-amazon.com/images/I/717CYKXRyML._AC_UL1500_.jpg,,mens mma cross training boxing shorts trunks fight wear with drawstring and pocket qjk01,1601.0,21.99,Orange Boxing Shorts,,4.5,https://www.amazon.com/lafroi-training-drawstring-pocket-qjk01-warrior/dp/b09fgq9cfs,2
25,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B08RYXRCWD,$,,https://m.media-amazon.com/images/I/61CLf2HPFgL._AC_UL1500_.jpg,,"womens 8"" / 3"" high waist yoga shorts with pockets workout running compression athletic tummy control short",588.0,16.99,Orange Boxing Shorts,,4.5,https://www.amazon.com/jnvni-pockets-workout-compression-athletic/dp/b08ryxrcwd,1
3,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B074589665,$,,https://m.media-amazon.com/images/I/81kFvQD5bFL._AC_UL1500_.jpg,,unisex child squadra 17 shorts,1454.0,28.77,Orange Boxing Shorts,,4.4,https://www.amazon.com/adidas-squadra-short%e2%9d%97%ef%b8%8fships-directly-adidas%e2%9d%97%ef%b8%8f/dp/b074589665,1
37,https://www.amazon.com/Mens-Boxer-Shorts-Oranges-Underwear/s?keywords=Men%27s+Boxer+Shorts&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343358011&c=ts&ts_id=1045710,B07H9P58C2,$,,https://m.media-amazon.com/images/I/81wYU7DIOeL._AC_UL1500_.jpg,,mens woven plaid boxers underwear 100% cotton premium quality shorts,3064.0,27.99,Orange Boxing Shorts,,4.5,https://www.amazon.com/5-pack-underwear-premium-quality-t4-xlarge/dp/b07h9p58c2,1
22,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B08LNZ7ZVH,$,,https://m.media-amazon.com/images/I/512YaHFU6qL._AC_UL1500_.jpg,,mens heatgear compression shorts,2507.0,30.0,Orange Boxing Shorts,,4.7,https://www.amazon.com/under-armour-heatgear-compression-shorts/dp/b08lnz7zvh,1
4,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B072MHZQ19,$,,https://m.media-amazon.com/images/I/614luR-NMjL._AC_UL1500_.jpg,,women`s pro sliding shorts,30.0,57.3,Orange Boxing Shorts,,4.5,https://www.amazon.com/nike-womens-slider-softball-shorts/dp/b072mhzq19,1
46,https://www.amazon.com/s?k=Orange+Boxing+Shorts&page=2&qid=1661366324&ref=sr_pg_1,B07NJNW4QL,$,,https://m.media-amazon.com/images/I/71hpiKgm6QL._AC_UL1500_.jpg,,mens sportswear club short basketball graphic,1962.0,40.0,Orange Boxing Shorts,,4.7,https://www.amazon.com/nike-sportswear-short-basketball-graphic/dp/b07njnw4ql,1
52,https://www.amazon.com/Mens-Boxer-Shorts-Oranges-Underwear/s?k=Men%27s+Boxer+Shorts&i=fashion-mens-clothing&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343358011&page=3&c=ts&qid=1661366397&ts_id=1045710&ref=sr_pg_2,B07Q696YPL,$,,https://m.media-amazon.com/images/I/71oC6RA+UbL._AC_UL1500_.jpg,,mens soft trunk 401367,34.0,35.0,Orange Boxing Shorts,,4.4,https://www.amazon.com/hom-401367-soft-boxer-orange/dp/b07q696ypl,1
6,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B09237LVH7,$,,https://m.media-amazon.com/images/I/61pBtmKb6pL._AC_UL1500_.jpg,,mens compression hockey short w/cup,35.0,44.99,Orange Boxing Shorts,,4.7,https://www.amazon.com/compression-hockey-short-bioflex-black/dp/b09237lvh7,1
38,https://www.amazon.com/Mens-Boxer-Shorts-Oranges-Underwear/s?keywords=Men%27s+Boxer+Shorts&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343358011&c=ts&ts_id=1045710,B0986WNR6L,$,,https://m.media-amazon.com/images/I/71G-Jt3VuSL._AC_UL1500_.jpg,,mens sexy boxer shorts loose large split side casual cooling tapered trunks underwear,43.0,16.99,Orange Boxing Shorts,,4.3,https://www.amazon.com/shorts-cooling-lightweight-casual-underwear/dp/b0986wnr6l,1
10,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B07WTXBYM4,$,,https://m.media-amazon.com/images/I/71y3iMY4+YL._AC_UL1500_.jpg,,"womens 3"" stretch booty shorts   fitness, wod, yoga, running,",1489.0,19.99,Orange Boxing Shorts,,4.4,https://www.amazon.com/epic-mma-gear-womens-stretch/dp/b07wtxbym4,1
13,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B00340ZML0,$,,https://m.media-amazon.com/images/I/61gBlklGg3L._AC_UL1500_.jpg,,aero tech mens high performance exercise short   compression for fitness activities,58.0,39.99,Orange Boxing Shorts,,4.0,https://www.amazon.com/aero-tech-designs-performance-exercise/dp/b00340zml0,1
23,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B082BGLC4G,$,,https://m.media-amazon.com/images/I/81oOlyBnY0L._AC_UL1500_.jpg,,triathlon shorts mens – triathlete shorts   4 pocket frt 8 inch swim bike tri shorts for men,65.0,64.9,Orange Boxing Shorts,,4.4,https://www.amazon.com/sls3-tri-short-tri-shorts-triathlon/dp/b082bglc4g,1
31,https://www.amazon.com/Boys-Boxing-Trunks/b?ie=UTF8&node=2420045011,B08R319TJL,$,,https://m.media-amazon.com/images/I/61gLnSk9OBL._AC_UL1500_.jpg,,kids premier mma shorts (youth sizes) martial arts | durable and comfortable | side slit for kicking,77.0,34.99,Orange Boxing Shorts,,4.4,https://www.amazon.com/revgear-premier-martial-durable-comfortable/dp/b08r319tjl,1
39,https://www.amazon.com/Mens-Boxer-Shorts-Oranges-Underwear/s?keywords=Men%27s+Boxer+Shorts&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343358011&c=ts&ts_id=1045710,B09B29D7PL,$,,https://m.media-amazon.com/images/I/81VE2rcBeIL._AC_UL1500_.jpg,,mens mesh shorts sexy lounge hollow boxer underwear,1214.0,19.99,Orange Boxing Shorts,,4.6,https://www.amazon.com/linemoon-shorts-lounge-hollow-underwear/dp/b09b29d7pl,1
17,https://www.amazon.com/s?k=Orange+Boxing+Shorts,B07XJDX2GF,$,-29.0,https://m.media-amazon.com/images/I/71FWnuZNE3L._AC_UL1500_.jpg,,"womens pro 3"" shorts",689.0,39.0,Orange Boxing Shorts,,4.7,https://www.amazon.com/nike-womens-training-shorts-black/dp/b07xjdx2gf,1
42,https://www.amazon.com/Mens-Boxer-Shorts-Oranges-Underwear/s?keywords=Men%27s+Boxer+Shorts&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343358011&c=ts&ts_id=1045710,B08HYLHY26,$,,https://m.media-amazon.com/images/I/81NlG-rquNL._AC_UL1500_.jpg,,mens funny patterned soft cotton novelty boxer shorts underwear s xxl,86.0,18.5,Orange Boxing Shorts,,4.4,https://www.amazon.com/rock-atoll-patterned-novelty-underwear/dp/b08hylhy26,1
45,https://www.amazon.com/s?k=Orange+Boxing+Shorts&page=2&qid=1661366324&ref=sr_pg_1,B07F882JG4,$,,https://m.media-amazon.com/images/I/71DUFVKeX8L._AC_UL1500_.jpg,,c7 mens racing bib shorts with seat insert,95.0,200.0,Orange Boxing Shorts,,4.3,https://www.amazon.com/gore-wear-racing-shorts-insert/dp/b07f882jg4,1
