,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
27,https://www.amazon.com/s?k=Professional+Boxing+Shorts,B07SH7HFPB,$,,https://m.media-amazon.com/images/I/71bAELECjhL._AC_UL1500_.jpg,,mrx boxing shorts for men training fighting muay thai shorts boxing mma bjj short kickboxing trunks clothing,183.0,18.99,Professional Boxing Shorts,,4.4,https://www.amazon.com/mrx-training-fighting-kickboxing-clothing/dp/b07sh7hfpb,2
51,https://www.amazon.com/s?k=Professional+Boxing+Shorts&page=2&qid=1661366324&ref=sr_pg_1,B09WF1WG48,$,,https://m.media-amazon.com/images/I/91VkoJ8+E8L._AC_UL1500_.jpg,,muay thai boxing shorts,160.0,79.99,Professional Boxing Shorts,,4.7,https://www.amazon.com/yokkao-muay-boxing-shorts-snake-carbonfit-black-xl/dp/b09wf1wg48,2
15,https://www.amazon.com/s?k=Professional+Boxing+Shorts,B07PY4C6PH,$,,https://m.media-amazon.com/images/I/718da2wk6jL._AC_UL1500_.jpg,,"mma shorts for training & kickboxing – fighting shorts for martial arts, cage fight, muay thai, bjj, boxing, grappling & combat sports – workout clothing for bodybuilding, gym exercise & running",69.0,34.99,Professional Boxing Shorts,,4.7,https://www.amazon.com/rdx-mma-shorts-training-kickboxing/dp/b07py4c6ph,2
1,https://www.amazon.com/s?k=Professional+Boxing+Shorts,B07SH7ZW51,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,men boxing shorts for boxing training fitness gym cage fight mma mauy thai kickboxing trunks clothing,301.0,18.99,Professional Boxing Shorts,,4.3,https://www.amazon.com/boxing-training-fitness-kickboxing-clothing/dp/b07sh7zw51,2
33,https://www.amazon.com/s?k=Professional+Boxing+Shorts,B08M3G9ZTR,$,,https://m.media-amazon.com/images/I/61c7M3wMRUL._AC_UL1500_.jpg,,mma shorts for men fight shorts men bjj boxing trunks for men grappling,276.0,24.0,Professional Boxing Shorts,,4.3,https://www.amazon.com/suotf-running-trainning-shorts-su0dk2-33-34-6inch/dp/b08m3g9ztr,2
7,https://www.amazon.com/s?k=Professional+Boxing+Shorts,B00LN0D3VE,$,,https://m.media-amazon.com/images/I/81mKdWwkajL._AC_UL1500_.jpg,,muay thai boxing shorts traditional styles,33.0,59.98,Professional Boxing Shorts,,4.2,https://www.amazon.com/fairtex-boxing-shorts-black-superstitious/dp/b00ln0d3ve,2
36,https://www.amazon.com/s?k=Professional+Boxing+Shorts&page=2&qid=1661366324&ref=sr_pg_1,B07VPBK5F5,$,,https://m.media-amazon.com/images/I/61RgtcHxHAL._AC_UL1500_.jpg,,boxing shorts for men training muay thai shorts women kickboxing shorts for kids,250.0,19.0,Professional Boxing Shorts,,4.1,https://www.amazon.com/sotf-shorts-elastic-kickboxing-x-large/dp/b07vpbk5f5,2
66,https://www.amazon.com/s?k=Professional+Boxing+Shorts&page=3&qid=1661366338&ref=sr_pg_2,B09339ZVPM,$,,https://m.media-amazon.com/images/I/71tevLXCERS._AC_UL1500_.jpg,,classic muay thai shorts black white red camo blue kick boxing mma combat sport sparring trunks,34.0,29.95,Professional Boxing Shorts,,4.1,https://www.amazon.com/hardcore-training-classic-shorts-sparring/dp/b09339zvpm,2
53,https://www.amazon.com/s?k=Professional+Boxing+Shorts&page=3&qid=1661366338&ref=sr_pg_2,B004WWTX6O,$,,https://m.media-amazon.com/images/I/8196SeZvmmL._AC_UL1500_.jpg,,"mma compression shorts, lightweight trunks for kick boxing training cage fighting muay thai bjj grappling and combat sports, base layer short for fitness running exercise bodybuilding workout",221.0,27.99,Professional Boxing Shorts,,4.3,https://www.amazon.com/rdx-thermal-compression-training-exercise/dp/b004wwtx6o,2
4,https://www.amazon.com/s?k=Professional+Boxing+Shorts,B07CK12DF8,$,,https://m.media-amazon.com/images/I/71rVwIwtTzL._AC_UL1500_.jpg,,falcon muay thai shorts,210.0,59.0,Professional Boxing Shorts,,4.6,https://www.amazon.com/hayabusa-falcon-kickboxing-shorts-x-large/dp/b07ck12df8,2
