,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
16,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B0019CEOXM,$,,https://m.media-amazon.com/images/I/815LROh32kS._AC_UL1500_.jpg,,balboa mens apollo movie boxing american flag shorts,595.0,21.95,Puerto Rican Boxing Shorts,,4.3,https://www.amazon.com/rocky-balboa-apollo-american-x-large/dp/b0019ceoxm,3
54,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves,B081ZB38J4,$,,https://m.media-amazon.com/images/I/61JhOHFp38L._AC_UL1500_.jpg,,wickedgoodz puerto rican flag boxing gloves vinyl decal   puerto rico bumper sticker,31.0,9.99,Puerto Rican Boxing Shorts,,4.4,https://www.amazon.com/wickedgoodz-puerto-rican-boxing-gloves/dp/b081zb38j4,3
47,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves,B07BHHXHKD,$,,https://m.media-amazon.com/images/I/71hrFCC0ifL._AC_UL1500_.jpg,,papiichulo puerto rican boxing glove pendant and chain set (black&silver),31.0,49.99,Puerto Rican Boxing Shorts,,4.1,https://www.amazon.com/papiichulo-puerto-pendant-stainless-necklace/dp/b07bhhxhkd,3
48,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves,B07Y18GQZN,$,,https://m.media-amazon.com/images/I/715zD0Hgl-L._AC_UL1500_.jpg,,"rainbow trading puerto rican mini flag and mini boxing gloves combo set, car rear view mirror, accessory, home office decor, gift souvenir patriotic present",997.0,15.75,Puerto Rican Boxing Shorts,,4.6,https://www.amazon.com/rainbow-trading-puerto-boxing-rear-view/dp/b07y18gqzn,3
5,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B07SH7ZW51,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,men boxing shorts for boxing training fitness gym cage fight mma mauy thai kickboxing trunks clothing,301.0,18.99,Puerto Rican Boxing Shorts,,4.3,https://www.amazon.com/boxing-training-fitness-kickboxing-clothing/dp/b07sh7zw51,2
64,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves&page=2&qid=1661366372&ref=sr_pg_1,B08CL1C3QC,$,,https://m.media-amazon.com/images/I/81MGLU-6dXS._AC_UL1500_.jpg,,puerto rico flags for cars accessories sticker decals puerto rican pr homes boricua banderas para autos small mini banner hanging window car flags accessory for men women (pr combo 5),55.0,18.98,Puerto Rican Boxing Shorts,,4.8,https://www.amazon.com/accessories-sticker-boricua-banderas-accessory/dp/b08cl1c3qc,2
51,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves,B08V8YVDGP,$,,https://m.media-amazon.com/images/I/71lceBKvOmL._AC_UL1500_.jpg,,merahans funny universal car armrest seat box cover protector puerto rico flag pr puerto rican boricua auto center console pad fit car decor accessories,289.0,9.99,Puerto Rican Boxing Shorts,,4.3,https://www.amazon.com/merahans-universal-armrest-protector-accessories/dp/b08v8yvdgp,2
50,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves,B08DPYH815,$,,https://m.media-amazon.com/images/I/61z64lpKxuL._AC_UL1500_.jpg,,"natco set of puerto rico window hanging car flag, & puerto rico boxing glove",253.0,11.99,Puerto Rican Boxing Shorts,,4.7,https://www.amazon.com/natco-puerto-window-hanging-boxing/dp/b08dpyh815,2
34,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves&page=3,B08W2CB2BR,$,,https://m.media-amazon.com/images/I/510EkZhz0dL._AC_UL1500_.jpg,,puerto rico small table flags decor puerto rican mini desk flag on stand base decoration (puerto rico flag),151.0,10.95,Puerto Rican Boxing Shorts,,4.7,https://www.amazon.com/puerto-small-table-flags-decoration/dp/b08w2cb2br,2
24,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves&page=3,B07K91P9L4,$,,https://m.media-amazon.com/images/I/718bQfN3YmL._AC_UL1500_.jpg,,puerto rico tshirt   nutrition facts puerto rican shirt,142.0,19.99,Puerto Rican Boxing Shorts,,4.5,https://www.amazon.com/puerto-rico-tshirt-nutrition-facts/dp/b07k91p9l4,2
15,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B085ZXF6N1,$,,https://m.media-amazon.com/images/I/41RXKUNVDQL._AC_UL1500_.jpg,,unisex boxing vest top and shorts set for kickboxing/exercise/sports/sparring/fighting/training/fitness boxers,61.0,24.0,Puerto Rican Boxing Shorts,,4.3,https://www.amazon.com/pro-impact-boxing-options-different/dp/b085zxf6n1,2
61,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves,B07DVLT2WC,$,,https://m.media-amazon.com/images/I/61ee6qo+RcL._AC_UL1500_.jpg,,vsl fighting equipment puerto rico pride hand wraps,35.0,14.99,Puerto Rican Boxing Shorts,,4.6,https://www.amazon.com/vsl-fighting-equipment-nations-boxing/dp/b07dvlt2wc,2
12,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B075ZYCXNS,$,,https://m.media-amazon.com/images/I/41itbJ2LKWL._AC_UL1500_.jpg,,flag mma shorts,38.0,19.99,Puerto Rican Boxing Shorts,,4.3,https://www.amazon.com/combatives-gear-shorts-puerto-distressed/dp/b075zycxns,2
8,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B07L8QZW92,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",422.0,35.99,Puerto Rican Boxing Shorts,,4.3,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b07l8qzw92,2
4,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B08B1448JZ,$,,https://m.media-amazon.com/images/I/81X1EDl5HWL._AC_UL1500_.jpg,,kickboxing martial arts combat fight mma ufc boxer boxing trunks unisex,30.0,49.9,Puerto Rican Boxing Shorts,,4.4,https://www.amazon.com/muay-thai-shorts-kickboxing-martial/dp/b08b1448jz,2
6,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B01DAPNGPC,$,,https://m.media-amazon.com/images/I/71k6xBpjX0L._AC_UL1500_.jpg,,"title american flag boxing trunks, youth",29.0,39.99,Puerto Rican Boxing Shorts,,4.6,https://www.amazon.com/title-boxing-american-trunks-medium/dp/b01dapngpc,2
14,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B07ZM54D2M,$,,https://m.media-amazon.com/images/I/71OEJJrviTL._AC_UL1500_.jpg,,fight shorts mens norman viking boxing mma combat bjj grappling fitness muay thai kickboxing no gi,27.0,49.95,Puerto Rican Boxing Shorts,,3.8,https://www.amazon.com/hardcore-training-shorts-norman-grappling/dp/b07zm54d2m,2
1,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B092M6H2J7,$,,https://m.media-amazon.com/images/I/61B31XtaFpL._AC_UL1500_.jpg,,"womens yoga outfit, 2 piece set workout athletic shorts leggings and sports bra set seamless gym clothes",24.0,25.99,Puerto Rican Boxing Shorts,,4.1,https://www.amazon.com/auhomea-puerto-workout-outfit-clothes/dp/b092m6h2j7,2
58,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves,B016N2GC4Q,$,,https://m.media-amazon.com/images/I/715xZvoipiL._AC_UL1500_.jpg,,flagline puerto rico   boxing glove and license plate combo,24.0,12.9,Puerto Rican Boxing Shorts,,4.9,https://www.amazon.com/puerto-rico-boxing-glove-license/dp/b016n2gc4q,2
7,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B07M7M636N,$,,https://m.media-amazon.com/images/I/6148uM+yk5L._AC_UL1500_.jpg,,tuff sport muay thai shorts boxing shorts trunks kick martial arts training gym clothing,23.0,35.99,Puerto Rican Boxing Shorts,,4.3,https://www.amazon.com/tuff-boxing-shorts-trunks-tuf-ms632-pnk/dp/b07m7m636n,2
11,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B07TDFRNCG,$,,https://m.media-amazon.com/images/I/71RlUZVYbnL._AC_UL1500_.jpg,,"muay thai shorts size:xs s m l xl 2xl 3xl 4xl, boxing shorts for men/women/kids with many colors",380.0,26.99,Puerto Rican Boxing Shorts,,4.4,https://www.amazon.com/fluory-clothing-training-grappling-kickboxing/dp/b07tdfrncg,2
18,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B06WD4LTSM,$,,https://m.media-amazon.com/images/I/71pM6e4Vi+L._AC_UL1500_.jpg,,pitbull city fight shorts mens boxing mma combat bjj grappling fitness muay thai kickboxing no gi,21.0,49.95,Puerto Rican Boxing Shorts,,4.9,https://www.amazon.com/hardcore-training-shorts-pitbull-city/dp/b06wd4ltsm,2
81,https://www.amazon.com/puerto-rico-boxing-gloves/s?k=puerto+rico+boxing+gloves&page=2&qid=1661366372&ref=sr_pg_1,B07P165SDK,$,,https://m.media-amazon.com/images/I/71GCX9HgIlL._AC_UL1500_.jpg,,puerto rican flag shirt with towns and cities of puerto rico t shirt,488.0,16.99,Puerto Rican Boxing Shorts,,4.7,https://www.amazon.com/puerto-rican-shirt-towns-cities/dp/b07p165sdk,2
3,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B07FD8VZYL,$,,https://m.media-amazon.com/images/I/71PhUea+ZNL._AC_UL1500_.jpg,,"muay thai fight shorts,mma shorts clothing training cage fighting grappling martial arts kickboxing shorts clothing",1280.0,26.99,Puerto Rican Boxing Shorts,,4.4,https://www.amazon.com/fluory-clothing-training-grappling-kickboxing/dp/b07fd8vzyl,2
9,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B081GZN1BX,$,,https://m.media-amazon.com/images/I/71q5GOSqHyL._AC_UL1500_.jpg,,mens mma cross training boxing shorts trunks fight wear with drawstring and pocket qjk01,1601.0,21.99,Puerto Rican Boxing Shorts,,4.5,https://www.amazon.com/lafroi-training-boxing-drawstring-pocket-qjk01/dp/b081gzn1bx,2
10,https://www.amazon.com/s?k=Puerto+Rican+Boxing+Shorts,B075KNJ2DR,$,,https://m.media-amazon.com/images/I/61+sgxRtKqL._AC_UL1500_.jpg,,"50/50 muay thai shorts   kickboxing, thai boxing",482.0,33.99,Puerto Rican Boxing Shorts,,4.7,https://www.amazon.com/anthem-athletics-muay-thai-shorts/dp/b075knj2dr,2
