,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
38,https://www.amazon.com/s?k=Red+Boxing+Shoes&page=2&qid=1661366326&ref=sr_pg_1,B08R3W9ZNF,$,,https://m.media-amazon.com/images/I/414dP5MAe8L._AC_UL1500_.jpg,,"wrestling shoes for men and women, top combat speed mens weightlifting, powerlifting, workout, mma, boxing boots, lightweight, easy to wear, non slip red and black shoe",96.0,49.99,Red Boxing Shoes,,4.1,https://www.amazon.com/ninja-viking-weightlifting-powerlifting-lightweight/dp/b08r3w9znf,1003
13,https://www.amazon.com/s?k=Red+Boxing+Shoes,B07BS3R3P1,$,,https://m.media-amazon.com/images/I/61ibXqJztiL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.89,Red Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07bs3r3p1,3
4,https://www.amazon.com/s?k=Red+Boxing+Shoes,B01N7M1EMU,$,,https://m.media-amazon.com/images/I/71ARTI6iWQL._AC_UL1500_.jpg,,"title boxing speed flex encore mid boxing shoes, red/black, 10",28.0,54.99,Red Boxing Shoes,,4.6,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n7m1emu,3
52,https://www.amazon.com/s?k=Red+Boxing+Shoes&page=2&qid=1661366326&ref=sr_pg_1,B07N33PK3K,$,-17.0,https://m.media-amazon.com/images/I/61zc8L2p6+L._AC_UL1500_.jpg,,apex elite boxing shoes,56.0,100.02,Red Boxing Shoes,,4.0,https://www.amazon.com/ringside-elite-boxing-shoes/dp/b07n33pk3k,2
7,https://www.amazon.com/s?k=Red+Boxing+Shoes,B07NQLS5XM,$,-6.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 9.5",87.0,56.48,Red Boxing Shoes,,4.4,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqls5xm,2
20,https://www.amazon.com/s?k=Red+Boxing+Shoes,B07NQMZ46N,$,-21.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 11",75.0,47.52,Red Boxing Shoes,,4.5,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqmz46n,2
8,https://www.amazon.com/s?k=Red+Boxing+Shoes,B07NQM4GNN,$,-5.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 9",74.0,56.95,Red Boxing Shoes,,4.4,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqm4gnn,2
43,https://www.amazon.com/s?k=Red+Boxing+Shoes&page=2&qid=1661366326&ref=sr_pg_1,B07NQGLGCG,$,,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 11.5",71.0,56.46,Red Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqglgcg,2
30,https://www.amazon.com/s?k=Red+Boxing+Shoes,B07NQLS87R,$,-5.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 8.5 us",67.0,56.94,Red Boxing Shoes,,4.3,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqls87r,2
9,https://www.amazon.com/s?k=Red+Boxing+Shoes,B07NQLXMFY,$,,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 10",65.0,59.99,Red Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqlxmfy,2
5,https://www.amazon.com/s?k=Red+Boxing+Shoes,B08X1H752W,$,-5.0,https://m.media-amazon.com/images/I/71TLsV3J2OS._AC_UL1500_.jpg,,mens mat hog 2.0 wrestling shoe (red/black/white,61.0,71.99,Red Boxing Shoes,,4.6,https://www.amazon.com/adidas-mat-hog-fz5392_red-black/dp/b08x1h752w,2
3,https://www.amazon.com/s?k=Red+Boxing+Shoes,B07NQLK865,$,,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 8",60.0,50.22,Red Boxing Shoes,,4.5,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqlk865,2
37,https://www.amazon.com/s?k=Red+Boxing+Shoes&page=2&qid=1661366326&ref=sr_pg_1,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Red Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,2
36,https://www.amazon.com/s?k=Red+Boxing+Shoes&page=2&qid=1661366326&ref=sr_pg_1,B07NQNJ3N2,$,-6.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 10.5",83.0,56.68,Red Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqnj3n2,2
48,https://www.amazon.com/s?k=Red+Boxing+Shoes&page=2&qid=1661366326&ref=sr_pg_1,B09DG1J9H5,$,,https://m.media-amazon.com/images/I/71HEB9csE+L._AC_UL1500_.jpg,,fistrage leather kick boxing shoes fighting sports master training mesh unisex pro mens and youth genuine boot light weight | black color boxing shoes for adults,198.0,43.99,Red Boxing Shoes,,4.2,https://www.amazon.com/fistrage-leather-fighting-training-high-top/dp/b09dg1j9h5,2
51,https://www.amazon.com/s?k=Red+Boxing+Shoes&page=2&qid=1661366326&ref=sr_pg_1,B07NQNQHBR,$,,https://m.media-amazon.com/images/I/61oAztaWNmL._AC_UL1500_.jpg,,hvc 2 youth white/red/royal wrestling shoes 2,53.0,49.98,Red Boxing Shoes,,4.6,https://www.amazon.com/adidas-youth-wrestling-ankle-strap/dp/b07nqnqhbr,2
