,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
24,https://www.amazon.com/s?k=Reebok+Boxing+Shoes,B07P6HD6SG,$,-16.0,https://m.media-amazon.com/images/I/81q+RBd0d4L._AC_UL1500_.jpg,,unisex adult sole fury trail running shoe,210.0,92.74,Reebok Boxing Shoes,,4.1,https://www.amazon.com/reebok-trail-running-midnight-fieora/dp/b07p6hd6sg,2
57,https://www.amazon.com/s?k=Reebok+Boxing+Shoes&page=2&qid=1661366327&ref=sr_pg_1,B07SZ73B2T,$,-5.0,https://m.media-amazon.com/images/I/51uPow8qfRL._AC_UL1500_.jpg,,mens work n cushion 4.0 walking shoe,2517.0,57.06,Reebok Boxing Shoes,,4.3,https://www.amazon.com/reebok-mens-cushion-walking-white/dp/b07sz73b2t,2
58,https://www.amazon.com/s?k=Reebok+Boxing+Shoes&page=2&qid=1661366327&ref=sr_pg_1,B00CX5U8KW,$,,https://m.media-amazon.com/images/I/71YeUXNGO0L._AC_UL1500_.jpg,,work mens ketia rb4895 work shoe,190.0,129.99,Reebok Boxing Shoes,,4.0,https://www.amazon.com/reebok-ketia-athletic-oxford-composite/dp/b00cx5u8kw,2
35,https://www.amazon.com/s?k=Reebok+Boxing+Shoes,B07BM59XRH,$,,https://m.media-amazon.com/images/I/81yhlo375FL._AC_UL1500_.jpg,,retail boxing gloves,245.0,24.93,Reebok Boxing Shoes,,3.8,https://www.amazon.com/reebok-boxing-gloves-black-12oz/dp/b07bm59xrh,2
49,https://www.amazon.com/s?k=Reebok+Boxing+Shoes&page=2&qid=1661366327&ref=sr_pg_1,B07ZHYKR5T,$,-23.0,https://m.media-amazon.com/images/I/71lQNKj0s6L._AC_UL1500_.jpg,,mens runner 4.0 4e running shoe,286.0,46.28,Reebok Boxing Shoes,,4.1,https://www.amazon.com/reebok-gkn33-runner-4-0/dp/b07zhykr5t,2
45,https://www.amazon.com/s?k=Reebok+Boxing+Shoes&page=2&qid=1661366327&ref=sr_pg_1,B07ZJ13JC4,$,-5.0,https://m.media-amazon.com/images/I/81fCb74WVFL._AC_UL1500_.jpg,,mens lavante terrain track shoe,296.0,66.65,Reebok Boxing Shoes,,4.4,https://www.amazon.com/reebok-jq319-lavante-terrain/dp/b07zj13jc4,2
36,https://www.amazon.com/s?k=Reebok+Boxing+Shoes,B086N565CZ,$,,https://m.media-amazon.com/images/I/71rDAZuiItL._AC_UL1500_.jpg,,mens floatride run fast 2.0 fitness workout running shoes,346.0,117.0,Reebok Boxing Shoes,,4.3,https://www.amazon.com/reebok-mens-floatride-fast-running/dp/b086n565cz,2
48,https://www.amazon.com/s?k=Reebok+Boxing+Shoes&page=2&qid=1661366327&ref=sr_pg_1,B07ZJ16FLZ,$,,https://m.media-amazon.com/images/I/81AAy69WT-L._AC_UL1500_.jpg,,mens at craze 2.0 running shoe,81.0,99.0,Reebok Boxing Shoes,,4.5,https://www.amazon.com/reebok-fbg91-at-craze-2-0/dp/b07zj16flz,2
4,https://www.amazon.com/s?k=Reebok+Boxing+Shoes,B008JBZJWG,$,,https://m.media-amazon.com/images/I/71hR6tLawKL._AC_UL1500_.jpg,,mens yourflex train 2.0 cross training shoe,79.0,74.04,Reebok Boxing Shoes,,3.8,https://www.amazon.com/reebok-yourflex-train-cross-training-black/dp/b008jbzjwg,2
14,https://www.amazon.com/s?k=Reebok+Boxing+Shoes,B08MVBKQ6F,$,,https://m.media-amazon.com/images/I/61CkxzlxI-L._AC_UL1500_.jpg,,adult resonator mid basketball shoes for men and women,598.0,70.0,Reebok Boxing Shoes,,4.5,https://www.amazon.com/reebok-unisex-resonator-sneaker-vector/dp/b08mvbkq6f,2
