,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
13,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B091Z9QFGQ,$,-20.0,https://m.media-amazon.com/images/I/71loLmtImGL._AC_UL1500_.jpg,,adidas unisex adult hog 3 boxing shoe,30.0,80.17,Rival Boxing Shoes,,4.5,https://www.amazon.com/adidas-unisex-boxing-white-shadow/dp/b091z9qfgq,2
2,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,ringside diablo wrestling boxing shoes,219.0,69.99,Rival Boxing Shoes,,4.1,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyny4,2
22,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B01BL2YJK2,$,,https://m.media-amazon.com/images/I/91w2rBgWC+L._AC_UL1500_.jpg,,rival boxing evolution hook and loop sparring gloves,36.0,149.99,Rival Boxing Shoes,,4.6,https://www.amazon.com/rival-boxing-gloves-rs11v-gold/dp/b01bl2yjk2,2
24,https://www.amazon.com/s?k=Rival+Boxing+Shoes&page=2&qid=1661366331&ref=sr_pg_1,B01DOIZ98C,$,,https://m.media-amazon.com/images/I/7188g3lakDL._AC_UL1500_.jpg,,"rival boxing rhg2 hybrid headgear   ultra thin, super sleek design, compact training style with cheek guards",40.0,64.99,Rival Boxing Shoes,,4.3,https://www.amazon.com/rival-boxing-rhg2-training-headgear/dp/b01doiz98c,2
19,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B00BDC1CX8,$,,https://m.media-amazon.com/images/I/71oFk8ZwD5L._AC_UL1500_.jpg,,"rival boxing rb11 evolution bag gloves, hook and loop closure   1.25” of closed cell foam padding for intense heavy bag use",44.0,139.99,Rival Boxing Shoes,,4.5,https://www.amazon.com/boxing-gloves-rb11-evolution-gloves/dp/b00bdc1cx8,2
4,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B07N33655P,$,,https://m.media-amazon.com/images/I/61io3HZ3gDL._AC_UL1500_.jpg,,ringside apex elite boxing shoes,56.0,115.18,Rival Boxing Shoes,,4.0,https://www.amazon.com/ringside-elite-boxing-shoes/dp/b07n33655p,2
10,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Rival Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,2
7,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B08MQZLFF3,$,,https://m.media-amazon.com/images/I/816+RjLAzmL._AC_UL1500_.jpg,,hayabusa pro boxing shoe for men & women,631.0,119.0,Rival Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-pro-boxing-shoe-women/dp/b08mqzlff3,2
5,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B07BS3R3P1,$,,https://m.media-amazon.com/images/I/61ibXqJztiL._AC_UL1500_.jpg,,"everlast new elite high top boxing shoes   black, blue, red",625.0,99.89,Rival Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07bs3r3p1,2
23,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B08R3YLG2Y,$,,https://m.media-amazon.com/images/I/414dP5MAe8L._AC_UL1500_.jpg,,"ninja viking wrestling shoes for men and women, top combat speed mens weightlifting, powerlifting, workout, mma, boxing boots, lightweight, easy to wear, non slip red and black shoe",96.0,60.0,Rival Boxing Shoes,,4.1,https://www.amazon.com/ninja-viking-weightlifting-powerlifting-lightweight/dp/b08r3ylg2y,2
14,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B082QJ81SL,$,,https://m.media-amazon.com/images/I/81SpHr1cQ4L._AC_UL1500_.jpg,,adidas unisex adult speedex 18 boxing shoe,282.0,150.0,Rival Boxing Shoes,,4.6,https://www.amazon.com/adidas-speedex-boxing-signal-copper/dp/b082qj81sl,2
21,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B01KW45O0E,$,,https://m.media-amazon.com/images/I/71nOnko2b4L._AC_UL1500_.jpg,,rival boxing rb7 fitness plus hook and loop bag gloves   black/gold,114.0,52.99,Rival Boxing Shoes,,4.5,https://www.amazon.com/rival-boxing-fitness-hook-gloves/dp/b01kw45o0e,2
11,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B07JQ4KLJT,$,,https://m.media-amazon.com/images/I/61vE-25vLKL._AC_UL1500_.jpg,,everlast pivt low top boxing shoes,223.0,89.79,Rival Boxing Shoes,,4.6,https://www.amazon.com/everlast-pivt-low-boxing-shoes/dp/b07jq4kljt,2
17,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B07887CC1D,$,,https://m.media-amazon.com/images/I/816zD4gKddL._AC_UL1500_.jpg,,asics mens cael v8.0 wrestling shoe,89.0,87.95,Rival Boxing Shoes,,4.5,https://www.amazon.com/asics-wrestling-shoes-black-white/dp/b07887cc1d,1
6,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B07K9FBV2Q,$,-8.0,https://m.media-amazon.com/images/I/81h8LEsDoTL._AC_UL1500_.jpg,,asics mens matflex 6 wrestling shoes,5595.0,54.99,Rival Boxing Shoes,,4.4,https://www.amazon.com/asics-matflex-wrestling-shoes-silver/dp/b07k9fbv2q,1
8,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B01BPL5US4,$,-9.0,https://m.media-amazon.com/images/I/51ujhsCXuRL._AC_UL1500_.jpg,,adidas wrestling hvc youth laced wrestling shoe (toddler/little kid/big kid),4399.0,54.43,Rival Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5us4,1
16,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B08FB9Q443,$,,https://m.media-amazon.com/images/I/616FPUDxG3L._AC_UL1500_.jpg,,"core wrestling shoes   high traction combat sport footwear   durable shoes for wrestlers, weightlifting training   nordic style combat footwear, athletic equipment, lightweight gym shoes",383.0,69.9,Rival Boxing Shoes,,4.1,https://www.amazon.com/core-wrestling-shoes-weightlifting-lightweight/dp/b08fb9q443,1
15,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B07ZGVHDXN,$,,https://m.media-amazon.com/images/I/91XFB7ZCgoL._AC_UL1500_.jpg,,adidas mens tech fall 2.0 wrestling shoe,416.0,109.99,Rival Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-signal-black-copper/dp/b07zgvhdxn,1
18,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B07JJVC1Y3,$,-18.0,https://m.media-amazon.com/images/I/71HaZGsP9YL._AC_UL1500_.jpg,,asics mens matcontrol wrestling shoes,660.0,69.95,Rival Boxing Shoes,,4.6,https://www.amazon.com/asics-matcontrol-wrestling-performance-black/dp/b07jjvc1y3,1
3,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B07NQP7PRZ,$,,https://m.media-amazon.com/images/I/61BzowbVQfL._AC_UL1500_.jpg,,adidas mens mat hog 2.0 wrestling shoe,1009.0,89.95,Rival Boxing Shoes,,4.5,https://www.amazon.com/adidas-mens-wrestling-shoes-black/dp/b07nqp7prz,1
12,https://www.amazon.com/s?k=Rival+Boxing+Shoes,B078137BZM,$,-8.0,https://m.media-amazon.com/images/I/518xJvZHbhL._AC_UL1500_.jpg,,asics mens aggressor 4 wrestling shoes,1150.0,119.95,Rival Boxing Shoes,,4.6,https://www.amazon.com/asics-aggressor-wrestling-shoes-black/dp/b078137bzm,1
