,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
33,https://www.amazon.com/s?k=Title+Boxing+Shorts&page=3&qid=1661366439&ref=sr_pg_2,B07SDMGMMP,$,,https://m.media-amazon.com/images/I/810fdNV9chL._AC_UL1500_.jpg,,ultimate saiyan vegeta fight shorts  mma wrestling kickboxing,24.0,34.99,Title Boxing Shorts,,4.4,https://www.amazon.com/tri-titans-ultimate-shorts-wrestling-kickboxing/dp/b07sdmgmmp,2
32,https://www.amazon.com/s?k=Title+Boxing+Shorts&page=3&qid=1661366439&ref=sr_pg_2,B01MFADHVL,$,,https://m.media-amazon.com/images/I/81+A2VYwFRL._AC_UL1500_.jpg,,"boxing shorts – boxing trunks for training punching, sparring fitness gym kickboxing shorts men & women",147.0,27.99,Title Boxing Shorts,,4.5,https://www.amazon.com/farabi-training-punching-kickboxing-equipment/dp/b01mfadhvl,2
2,https://www.amazon.com/s?k=Title+Boxing+Shorts,B001G0EXE2,$,,https://m.media-amazon.com/images/I/71c6kE1EBZL._AC_UL1500_.jpg,,title professional boxing trunks,118.0,34.99,Title Boxing Shorts,,4.5,https://www.amazon.com/title-professional-boxing-trunks-white/dp/b001g0exe2,2
6,https://www.amazon.com/s?k=Title+Boxing+Shorts,B07SH83L67,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,men boxing shorts for boxing training fitness gym cage fight mma mauy thai kickboxing trunks clothing,301.0,18.99,Title Boxing Shorts,,4.3,https://www.amazon.com/boxing-training-fitness-kickboxing-clothing/dp/b07sh83l67,2
27,https://www.amazon.com/s?k=Title+Boxing+Shorts&page=2&qid=1661366416&ref=sr_pg_1,B09BZW6ZYW,$,,https://m.media-amazon.com/images/I/81tqalSIPML._AC_UL1500_.jpg,,"muay thai shorts   boxing shorts, mma shorts, ufc shorts, fight shorts, kickboxing shorts, thai shorts retro",98.0,35.97,Title Boxing Shorts,,4.2,https://www.amazon.com/raja-boxing-muay-thai-shorts/dp/b09bzw6zyw,2
13,https://www.amazon.com/s?k=Title+Boxing+Shorts&page=2&qid=1661366416&ref=sr_pg_1,B07Q2MGNR5,$,,https://m.media-amazon.com/images/I/71hB+y4jc3L._AC_UL1500_.jpg,,"muay thai shorts size:xs s m l xl 2xl 3xl 4xl, boxing shorts for men/women/kids with many colors",380.0,26.99,Title Boxing Shorts,,4.4,https://www.amazon.com/fluory-muay-thai-shorts-size/dp/b07q2mgnr5,2
29,https://www.amazon.com/s?k=Title+Boxing+Shorts&page=2&qid=1661366416&ref=sr_pg_1,B09JLWVGJP,$,,https://m.media-amazon.com/images/I/91UABG4wXXL._AC_UL1500_.jpg,,dragon muay thai shorts for men women boxing kickboxing high grade mma fight clothing training workout trunk,68.0,24.99,Title Boxing Shorts,,4.4,https://www.amazon.com/siamkick-kickboxing-clothing-training-workout/dp/b09jlwvgjp,2
10,https://www.amazon.com/s?k=Title+Boxing+Shorts,B07L8QZW92,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",422.0,35.99,Title Boxing Shorts,,4.3,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b07l8qzw92,2
12,https://www.amazon.com/s?k=Title+Boxing+Shorts&page=2&qid=1661366416&ref=sr_pg_1,B01GBMKY88,$,,https://m.media-amazon.com/images/I/81sho7YFGgL._AC_UL1500_.jpg,,kids boxing uniform set top & shorts 2 pcs top shorts boxing clothes for kids boys/girls for 03 to 14 years,446.0,19.99,Title Boxing Shorts,,4.3,https://www.amazon.com/prime-sports-boxing-shorts-fabric/dp/b01gbmky88,2
4,https://www.amazon.com/s?k=Title+Boxing+Shorts,B01CCL2JB2,$,,https://m.media-amazon.com/images/I/61SGq-7WOtL._AC_UL1500_.jpg,,pro style kickboxing muay thai mma training gym clothing shorts boxing trunks,64.0,25.99,Title Boxing Shorts,,4.1,https://www.amazon.com/ringside-pro-style-boxing-trunks-medium/dp/b01ccl2jb2,2
