,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
116,https://www.amazon.com/Shoes-Under-Armour-Men/s?i=fashion-mens-shoes&rh=n%3A679255011%2Cp_89%3AUnder+Armour&page=2&qid=1661366432&ref=sr_pg_1,B0969541C9,$,-26.0,https://m.media-amazon.com/images/I/81O86UX05GL._AC_UL1500_.jpg,,mens charged verssert road running shoe,341.0,51.86,Under Armour Boxing Shoes,,4.5,https://www.amazon.com/under-armour-charged-verssert-running/dp/b0969541c9,3
138,https://www.amazon.com/Shoes-Under-Armour-Men/s?i=fashion-mens-shoes&rh=n%3A679255011%2Cp_89%3AUnder+Armour&page=3&qid=1661366455&ref=sr_pg_2,B095KW6BV3,$,-7.0,https://m.media-amazon.com/images/I/714qGDQy5vL._AC_UL1500_.jpg,,mens mojo 2 road running shoe,767.0,60.42,Under Armour Boxing Shoes,,4.5,https://www.amazon.com/under-armour-running-black-white/dp/b095kw6bv3,3
4,https://www.amazon.com/s?k=Under+Armour+Boxing+Shoes,B087TNR8NF,$,,https://m.media-amazon.com/images/I/81LbK3dKHYL._AC_UL1500_.jpg,,womens hovr highlight ace volleyball shoe,312.0,125.0,Under Armour Boxing Shoes,,4.7,https://www.amazon.com/under-armour-womens-highlight-white/dp/b087tnr8nf,3
125,https://www.amazon.com/Shoes-Under-Armour-Men/s?i=fashion-mens-shoes&rh=n%3A679255011%2Cp_89%3AUnder+Armour&page=2&qid=1661366432&ref=sr_pg_1,B08MV9ZFMX,$,-37.0,https://m.media-amazon.com/images/I/71LlIdLihGS._AC_UL1500_.jpg,,mens charged pursuit 2 bl running shoe,1177.0,44.2,Under Armour Boxing Shoes,,4.5,https://www.amazon.com/under-armour-charged-pursuit-running/dp/b08mv9zfmx,3
79,https://www.amazon.com/Shoes-Under-Armour-Men/s?rh=n%3A679255011%2Cp_89%3AUnder+Armour,B08MV96VCZ,$,-11.0,https://m.media-amazon.com/images/I/71mwp+7OfjL._AC_UL1500_.jpg,,mens charged escape 3 bl running shoe,312.0,79.97,Under Armour Boxing Shoes,,4.7,https://www.amazon.com/under-armour-charged-escape-running/dp/b08mv96vcz,3
70,https://www.amazon.com/Shoes-Under-Armour-Men/s?rh=n%3A679255011%2Cp_89%3AUnder+Armour,B0968ZCL93,$,,https://m.media-amazon.com/images/I/51vN1zPDSKL._AC_UL1500_.jpg,,mens charged rogue 3 running shoe,320.0,80.0,Under Armour Boxing Shoes,,4.6,https://www.amazon.com/under-armour-charged-rogue-running/dp/b0968zcl93,3
135,https://www.amazon.com/Shoes-Under-Armour-Men/s?i=fashion-mens-shoes&rh=n%3A679255011%2Cp_89%3AUnder+Armour&page=3&qid=1661366455&ref=sr_pg_2,B087TCTFHB,$,-30.0,https://m.media-amazon.com/images/I/81iiYkGojHL._AC_UL1500_.jpg,,mens charged pursuit 2 special edition running shoe,1028.0,48.91,Under Armour Boxing Shoes,,4.6,https://www.amazon.com/under-armour-charged-pursuit-special/dp/b087tctfhb,3
142,https://www.amazon.com/Shoes-Under-Armour-Men/s?i=fashion-mens-shoes&rh=n%3A679255011%2Cp_89%3AUnder+Armour&page=3&qid=1661366455&ref=sr_pg_2,B08MV948YN,$,,https://m.media-amazon.com/images/I/81gTHS399wL._AC_UL1500_.jpg,,mens hovr guardian 3 running shoe,77.0,120.0,Under Armour Boxing Shoes,,4.3,https://www.amazon.com/under-armour-guardian-running-radar/dp/b08mv948yn,3
102,https://www.amazon.com/Shoes-Under-Armour-Men/s?i=fashion-mens-shoes&rh=n%3A679255011%2Cp_89%3AUnder+Armour&page=2&qid=1661366432&ref=sr_pg_1,B087TMQ85S,$,-19.0,https://m.media-amazon.com/images/I/91+ml1psJwL._AC_UL1500_.jpg,,mens charged rogue 2.5 running shoe,996.0,64.97,Under Armour Boxing Shoes,,4.6,https://www.amazon.com/under-armour-charged-rogue-circuit/dp/b087tmq85s,3
143,https://www.amazon.com/Shoes-Under-Armour-Men/s?i=fashion-mens-shoes&rh=n%3A679255011%2Cp_89%3AUnder+Armour&page=3&qid=1661366455&ref=sr_pg_2,B07Z7BX8J1,$,,https://m.media-amazon.com/images/I/61Zaxvrr7mL._AC_UL1500_.jpg,,mens c1n mc football shoe,155.0,160.0,Under Armour Boxing Shoes,,4.5,https://www.amazon.com/under-armour-football-black-crown/dp/b07z7bx8j1,3
72,https://www.amazon.com/Shoes-Under-Armour-Men/s?rh=n%3A679255011%2Cp_89%3AUnder+Armour,B08MV9ZH8B,$,,https://m.media-amazon.com/images/I/71HdpYUOjeL._AC_UL1500_.jpg,,mens charged impulse 2 running shoe,931.0,56.25,Under Armour Boxing Shoes,,4.6,https://www.amazon.com/under-armour-charged-impulse-running/dp/b08mv9zh8b,3
