,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
14,https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B07Z8G82CK,$,-30.0,https://m.media-amazon.com/images/I/514xGmyYJxL._AC_UL1500_.jpg,,mens training stretch shorts,646.0,24.49,Under Armour Boxing Shorts,,4.6,https://www.amazon.com/under-armour-training-stretch-shorts/dp/b07z8g82ck,3
20,https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B07L9JJMF3,$,,https://m.media-amazon.com/images/I/51mNIvFxjeL._AC_UL1500_.jpg,,womens maquina 2.0 soccer shorts,591.0,20.29,Under Armour Boxing Shorts,,4.5,https://www.amazon.com/under-armour-maquina-shorts-white/dp/b07l9jjmf3,3
68,https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts&page=2&qid=1661366429&ref=sr_pg_1,B081FWG6YH,$,,https://m.media-amazon.com/images/I/61ajRevovFL._AC_UL1500_.jpg,,womens play up 5 inch shorts,419.0,18.75,Under Armour Boxing Shorts,,4.6,https://www.amazon.com/under-armour-shorts-black-white/dp/b081fwg6yh,3
17,https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B089MQNZ41,$,-54.0,https://m.media-amazon.com/images/I/41rZi1skwRL._AC_UL1500_.jpg,,mens launch stretch woven 9 inch shorts,420.0,16.1,Under Armour Boxing Shorts,,4.5,https://www.amazon.com/under-armour-launch-stretch-reflective/dp/b089mqnz41,3
66,https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts&page=2&qid=1661366429&ref=sr_pg_1,B072LGJSNP,$,,https://m.media-amazon.com/images/I/712D7wCuhnL._AC_UL1500_.jpg,,womens heatgear middy shorts,2546.0,30.0,Under Armour Boxing Shorts,,4.5,https://www.amazon.com/under-armour-womens-heatgear-metallic/dp/b072lgjsnp,3
8,https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B0874VJ7DF,$,,https://m.media-amazon.com/images/I/81Nk0OtNPRL._AC_UL1500_.jpg,,mens heatgear compression shorts,2507.0,30.0,Under Armour Boxing Shorts,,4.7,https://www.amazon.com/under-armour-heatgear-compression-shorts/dp/b0874vj7df,3
11,https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B07PMTKZFR,$,-17.0,https://m.media-amazon.com/images/I/51RfmyAvlHL._AC_UL1500_.jpg,,womens team shorty 4,454.0,24.99,Under Armour Boxing Shorts,,4.6,https://www.amazon.com/under-armour-volleyball-short-black/dp/b07pmtkzfr,3
106,https://www.amazon.com/Boxing-Clothing-Popular-Brands-Sport-Specific/s?k=Boxing+Clothing&i=fashion&rh=n%3A2371049011%2Cp_n_feature_eighteen_browse-bin%3A14630392011&page=3&c=ts&qid=1661366459&ts_id=2371049011&ref=sr_pg_2,B08X6R5Z9N,$,,https://m.media-amazon.com/images/I/81ySqcgZtzS._MCnd_AC_UL1500_.jpg,,"mens standard rashguard, compression fit & flat seams, short sleeve & long sleeve designs",54.0,25.75,Under Armour Boxing Shorts,,3.9,https://www.amazon.com/under-armour-mens-standard-swimwear/dp/b08x6r5z9n,3
5,https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B07XH5FX3M,$,,https://m.media-amazon.com/images/I/61PtfkD0eFL._AC_UL1500_.jpg,,gameday 3 pad short,58.0,65.0,Under Armour Boxing Shorts,,4.5,https://www.amazon.com/under-armour-gameday-3-pad-basketball/dp/b07xh5fx3m,3
19,https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B07L9GWSKH,$,,https://m.media-amazon.com/images/I/513NWDtU5gL._AC_UL1500_.jpg,,boys maquina 2.0 soccer shorts,470.0,22.0,Under Armour Boxing Shorts,,4.5,https://www.amazon.com/under-armour-youth-maquina-shorts/dp/b07l9gwskh,3
