,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
59,https://www.amazon.com/s?k=Usa+Boxing+Shorts&page=3&qid=1661366439&ref=sr_pg_2,B07QMMYSDH,$,,https://m.media-amazon.com/images/I/6197jkzKdNL._AC_UL1500_.jpg,,mens bodybuilding gym shorts boxing running training short pants,884.0,16.99,Usa Boxing Shorts,,4.3,https://www.amazon.com/sunsiom-bodybuilding-shorts-running-training/dp/b07qmmysdh,2
4,https://www.amazon.com/s?k=Usa+Boxing+Shorts,B01INDB1F8,$,,https://m.media-amazon.com/images/I/611AkE+G7lL._AC_UL1500_.jpg,,creed rocky mens apollo johnson movie boxing american flag shorts trunks boxers,78.0,23.9,Usa Boxing Shorts,,3.8,https://www.amazon.com/apollo-johnson-boxing-american-shorts/dp/b01indb1f8,2
52,https://www.amazon.com/s?k=Usa+Boxing+Shorts&page=2&qid=1661366415&ref=sr_pg_1,B008B9D1C6,$,,https://m.media-amazon.com/images/I/51bFHLUT0QL._AC_UL1500_.jpg,,womens spandex exercise compression running yoga workout short made in usa,784.0,39.99,Usa Boxing Shorts,,4.3,https://www.amazon.com/aero-tech-designs-exercise-compression/dp/b008b9d1c6,2
40,https://www.amazon.com/s?k=Usa+Boxing+Shorts&page=2&qid=1661366415&ref=sr_pg_1,B001362D8M,$,,https://m.media-amazon.com/images/I/51WunSGSyxL._AC_UL1500_.jpg,,womens century thick padded bike shorts  butt pillow  made in usa,74.0,69.95,Usa Boxing Shorts,,4.3,https://www.amazon.com/aero-tech-designs-womens-century/dp/b001362d8m,2
1,https://www.amazon.com/s?k=Usa+Boxing+Shorts,B001GJQQY8,$,-5.0,https://m.media-amazon.com/images/I/815LROh32kS._AC_UL1500_.jpg,,balboa mens apollo movie boxing american flag shorts,595.0,20.95,Usa Boxing Shorts,,4.3,https://www.amazon.com/rocky-balboa-apollo-boxing-american/dp/b001gjqqy8,2
26,https://www.amazon.com/s?k=Usa+Boxing+Shorts&page=2&qid=1661366415&ref=sr_pg_1,B07Q1YNPL8,$,,https://m.media-amazon.com/images/I/71chsxQ1ShS._AC_UL1500_.jpg,,classic muay thai & kickboxing shorts,509.0,33.99,Usa Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-kickboxing-shorts/dp/b07q1ynpl8,2
18,https://www.amazon.com/s?k=Usa+Boxing+Shorts,B07HPH23SC,$,,https://m.media-amazon.com/images/I/71x4LQTKsfL._AC_UL1500_.jpg,,classic boxing trunks shorts,505.0,35.99,Usa Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-boxing-trunks/dp/b07hph23sc,2
41,https://www.amazon.com/s?k=Usa+Boxing+Shorts&page=2&qid=1661366415&ref=sr_pg_1,B075KL6Q1C,$,,https://m.media-amazon.com/images/I/61+sgxRtKqL._AC_UL1500_.jpg,,"50/50 muay thai shorts   kickboxing, thai boxing",482.0,33.99,Usa Boxing Shorts,,4.7,https://www.amazon.com/anthem-athletics-muay-thai-shorts/dp/b075kl6q1c,2
53,https://www.amazon.com/s?k=Usa+Boxing+Shorts&page=2&qid=1661366415&ref=sr_pg_1,B07L8S6GW9,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",422.0,26.99,Usa Boxing Shorts,,4.3,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b07l8s6gw9,2
21,https://www.amazon.com/s?k=Usa+Boxing+Shorts,B01N1K7NJV,$,,https://m.media-amazon.com/images/I/81VziYY47TL._AC_UL1500_.jpg,,usa ultimate eagle fight shorts youths & mens  black,72.0,39.99,Usa Boxing Shorts,,4.2,https://www.amazon.com/ultimate-eagle-fight-shorts-youths/dp/b01n1k7njv,2
