,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
2,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B083LYKQCF,$,,https://m.media-amazon.com/images/I/71AIU1DxSFL._AC_UL1500_.jpg,,venum giant low boxing shoes   black/red   44 (us 10),32.0,152.68,Venum Boxing Shoes,,4.3,https://www.amazon.com/venum-giant-low-boxing-shoes/dp/b083lykqcf,3
1,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B09RGS3R5G,$,,https://m.media-amazon.com/images/I/71wDZ0JKFRL._AC_UL1500_.jpg,,unisex adult elite boxing shoes,508.0,154.99,Venum Boxing Shoes,,4.6,https://www.amazon.com/venum-elite-boxing-shoes-bronze/dp/b09rgs3r5g,3
6,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B078Y4FTMN,$,,https://m.media-amazon.com/images/I/71kCRqaQcgL._AC_UL1500_.jpg,,elite boxing gloves,6765.0,79.99,Venum Boxing Shoes,,4.8,https://www.amazon.com/venum-elite-boxing-gloves-white/dp/b078y4ftmn,2
7,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B00D5ZWE1U,$,-13.0,https://m.media-amazon.com/images/I/81bTHaa7LWL._AC_UL1500_.jpg,,challenger 2.0 boxing gloves,4865.0,48.07,Venum Boxing Shoes,,4.7,https://www.amazon.com/venum-challenger-2-0-boxing-gloves/dp/b00d5zwe1u,2
22,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B06Y6K9LY8,$,,https://m.media-amazon.com/images/I/81c+kWTEGuL._AC_UL1500_.jpg,,contender boxing gloves,4773.0,34.99,Venum Boxing Shoes,,4.7,https://www.amazon.com/venum-contender-boxing-gloves-16-ounce/dp/b06y6k9ly8,2
23,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B07D4V41RL,$,,https://m.media-amazon.com/images/I/817GebCKvRL._AC_UL1500_.jpg,,venum boxing gloves contender 2.0,2372.0,44.96,Venum Boxing Shoes,,4.6,https://www.amazon.com/venum-boxing-gloves-contender-turquoise-black/dp/b07d4v41rl,2
20,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B06Y5RVQ2C,$,-10.0,https://m.media-amazon.com/images/I/71DP0NeETxL._AC_UL1500_.jpg,,impact boxing gloves,2138.0,71.99,Venum Boxing Shoes,,4.7,https://www.amazon.com/venum-impact-boxing-gloves-dark/dp/b06y5rvq2c,2
12,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B08L6WWCQX,$,-21.0,https://m.media-amazon.com/images/I/71ECD2Hhu1L._AC_UL1500_.jpg,,skull boxing gloves,58.0,71.21,Venum Boxing Shoes,,4.9,https://www.amazon.com/venum-skull-boxing-gloves-16-ounce/dp/b08l6wwcqx,2
10,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B009DZ31Z4,$,,https://m.media-amazon.com/images/I/71M1TY0yL-L._AC_UL1500_.jpg,,giant 3.0 boxing gloves   nappa leather,890.0,74.95,Venum Boxing Shoes,,4.6,https://www.amazon.com/venum-challenger-headgear-black-white/dp/b009dz31z4,2
3,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B09TV1YF42,$,,https://m.media-amazon.com/images/I/81xtqSgNrqL._AC_UL1500_.jpg,,venum dragons flight boxing gloves,71.0,89.99,Venum Boxing Shoes,,4.7,https://www.amazon.com/venum-dragons-flight-boxing-gloves/dp/b09tv1yf42,2
19,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B074GCYPHH,$,,https://m.media-amazon.com/images/I/81sk0T9u4TL._AC_UL1500_.jpg,,giant kick pads pair,123.0,106.89,Venum Boxing Shoes,,4.5,https://www.amazon.com/venum-giant-kick-pads-black/dp/b074gcyphh,1
13,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B009DZ2UVU,$,-5.0,https://m.media-amazon.com/images/I/81gdXYcDm7L._AC_UL1500_.jpg,,cellular 2.0 punch mitts,75.0,94.95,Venum Boxing Shoes,,4.5,https://www.amazon.com/venum-cellular-punch-mitts-black/dp/b009dz2uvu,1
16,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B078Y4KSFK,$,,https://m.media-amazon.com/images/I/71csPhT9PaL._AC_UL1500_.jpg,,elite headgear,671.0,84.99,Venum Boxing Shoes,,4.7,https://www.amazon.com/venum-elite-headgear-khaki-black/dp/b078y4ksfk,1
11,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B00R0ZD0GY,$,,https://m.media-amazon.com/images/I/71Wcp8rGW4L._AC_UL1500_.jpg,,venum kontact evo,171.0,32.99,Venum Boxing Shoes,,4.2,https://www.amazon.com/venum-kontact-medium-large-black/dp/b00r0zd0gy,1
4,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B084ZWKVZG,$,,https://m.media-amazon.com/images/I/71GvwFgGvhL._AC_UL1500_.jpg,,trainer lite evo sports bags,192.0,74.99,Venum Boxing Shoes,,4.6,https://www.amazon.com/venum-trainer-lite-sports-bags/dp/b084zwkvzg,1
18,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B008TM6LQ8,$,-25.0,https://m.media-amazon.com/images/I/71anVe0be+L._AC_UL1500_.jpg,,kontact shin guards,5082.0,21.8,Venum Boxing Shoes,,4.5,https://www.amazon.com/venum-kontact-instep-guards-black/dp/b008tm6lq8,1
17,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B00BX87IQM,$,-12.0,https://m.media-amazon.com/images/I/91fxHepdDWL._AC_UL1500_.jpg,,challenger standup shinguards,1979.0,61.26,Venum Boxing Shoes,,4.7,https://www.amazon.com/venum-challenger-standup-shinguards-medium/dp/b00bx87iqm,1
8,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B00BFLGABG,$,,https://m.media-amazon.com/images/I/91HM6ayeAdL._AC_UL1500_.jpg,,challenger mma gloves,2153.0,48.07,Venum Boxing Shoes,,4.7,https://www.amazon.com/venum-challenger-gloves-black-x-large/dp/b00bflgabg,1
14,https://www.amazon.com/s?k=Venum+Boxing+Shoes,B075B1M3MZ,$,,https://m.media-amazon.com/images/I/81HEqJYh07L._AC_UL1500_.jpg,,challenger foot gear,28.0,28.31,Venum Boxing Shoes,,4.4,https://www.amazon.com/venum-challenger-foot-gear-x-large/dp/b075b1m3mz,1
