,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
9,https://www.amazon.com/s?k=White+Boxing+Shorts,B095CM1DB5,$,,https://m.media-amazon.com/images/I/81F-Tt0SYcS._AC_UL1500_.jpg,,muay thai boxing shorts,160.0,79.0,White Boxing Shorts,,4.7,https://www.amazon.com/yokkao-vertical-white-boxing-shorts/dp/b095cm1db5,3
121,https://www.amazon.com/s?k=White+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B01JYO7G3G,$,,https://m.media-amazon.com/images/I/71q1GLf1eOL._AC_UL1500_.jpg,,kid muay thai boxing shorts kick boxing trunks satin size 2xs m,158.0,19.9,White Boxing Shorts,,4.2,https://www.amazon.com/lofbaz-muay-boxing-shorts-white/dp/b01jyo7g3g,3
19,https://www.amazon.com/s?k=White+Boxing+Shorts,B09339Y5GH,$,,https://m.media-amazon.com/images/I/61dNbGJim+S._AC_UL1500_.jpg,,classic muay thai shorts black white red camo blue kick boxing mma combat sport sparring trunks,34.0,29.95,White Boxing Shorts,,4.1,https://www.amazon.com/hardcore-training-classic-shorts-sparring/dp/b09339y5gh,3
68,https://www.amazon.com/s?k=White+Boxing+Shorts&page=2&qid=1661366444&ref=sr_pg_1,B078LCD4DJ,$,-33.0,https://m.media-amazon.com/images/I/71iZ44sDP+L._AC_UL1500_.jpg,,adidas boys regista 18 short,161.0,14.8,White Boxing Shorts,,4.5,https://www.amazon.com/adidas-regista-shorts-white-large/dp/b078lcd4dj,2
20,https://www.amazon.com/s?k=White+Boxing+Shorts,B078L7RN8L,$,-9.0,https://m.media-amazon.com/images/I/71iZ44sDP+L._AC_UL1500_.jpg,,boys regista 18 short,161.0,19.99,White Boxing Shorts,,4.5,https://www.amazon.com/adidas-regista-shorts-white-x-small/dp/b078l7rn8l,2
12,https://www.amazon.com/s?k=White+Boxing+Shorts,B001G0EXE2,$,,https://m.media-amazon.com/images/I/71c6kE1EBZL._AC_UL1500_.jpg,,title professional boxing trunks,118.0,34.99,White Boxing Shorts,,4.5,https://www.amazon.com/title-professional-boxing-trunks-white/dp/b001g0exe2,2
17,https://www.amazon.com/s?k=White+Boxing+Shorts,B07RZBGKSV,$,,https://m.media-amazon.com/images/I/5194jX555CL._AC_UL1500_.jpg,,womens alphaskin training short tights,117.0,28.95,White Boxing Shorts,,4.6,https://www.amazon.com/adidas-originals-short-black-white/dp/b07rzbgksv,2
89,https://www.amazon.com/Mens-Boxer-Shorts-White-Underwear/s?k=Men%27s+Boxer+Shorts&i=fashion-mens-clothing&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343363011&page=2&c=ts&qid=1661366453&ts_id=1045710&ref=sr_pg_1,B01KOUDORG,$,,https://m.media-amazon.com/images/I/71KgAmqA1uL._AC_UL1500_.jpg,,mens mesh long boxer shorts 2 pack   white,52.0,20.99,White Boxing Shorts,,4.0,https://www.amazon.com/casual-nights-mens-boxer-shorts/dp/b01koudorg,2
30,https://www.amazon.com/s?k=White+Boxing+Shorts,B08NYJTVNL,$,,https://m.media-amazon.com/images/I/81EKAit4XVL._AC_UL1500_.jpg,,"womens pro 365 3"" shorts",1474.0,42.02,White Boxing Shorts,,4.6,https://www.amazon.com/nike-womens-shorts-black-white/dp/b08nyjtvnl,2
13,https://www.amazon.com/s?k=White+Boxing+Shorts,B07SH7ZW51,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,men boxing shorts for boxing training fitness gym cage fight mma mauy thai kickboxing trunks clothing,301.0,18.99,White Boxing Shorts,,4.3,https://www.amazon.com/boxing-training-fitness-kickboxing-clothing/dp/b07sh7zw51,2
65,https://www.amazon.com/s?k=White+Boxing+Shorts&page=2&qid=1661366444&ref=sr_pg_1,B07FD8VZYL,$,,https://m.media-amazon.com/images/I/71PhUea+ZNL._AC_UL1500_.jpg,,"fluory muay thai fight shorts,mma shorts clothing training cage fighting grappling martial arts kickboxing shorts clothing",1280.0,26.99,White Boxing Shorts,,4.4,https://www.amazon.com/fluory-clothing-training-grappling-kickboxing/dp/b07fd8vzyl,2
116,https://www.amazon.com/s?k=White+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B07FD8VZYL,$,,https://m.media-amazon.com/images/I/71PhUea+ZNL._AC_UL1500_.jpg,,"muay thai fight shorts,mma shorts clothing training cage fighting grappling martial arts kickboxing shorts clothing",1280.0,26.99,White Boxing Shorts,,4.4,https://www.amazon.com/fluory-clothing-training-grappling-kickboxing/dp/b07fd8vzyl,2
5,https://www.amazon.com/s?k=White+Boxing+Shorts,B01CCL2JB2,$,,https://m.media-amazon.com/images/I/61SGq-7WOtL._AC_UL1500_.jpg,,pro style kickboxing muay thai mma training gym clothing shorts boxing trunks,64.0,25.99,White Boxing Shorts,,4.1,https://www.amazon.com/ringside-pro-style-boxing-trunks-medium/dp/b01ccl2jb2,2
29,https://www.amazon.com/s?k=White+Boxing+Shorts,B07L2LH17B,$,,https://m.media-amazon.com/images/I/61OL8yBAgxL._AC_UL1500_.jpg,,mma shorts muay thai boxing trunks comfortable kickboxing fight wear,313.0,19.0,White Boxing Shorts,,4.2,https://www.amazon.com/sotf-shorts-boxing-comfortable-kickboxing/dp/b07l2lh17b,2
39,https://www.amazon.com/mens-white-boxer-shorts/s?k=mens+white+boxer+shorts,B07NDF9FKD,$,,https://m.media-amazon.com/images/I/61H-wk7qjpL._AC_UL1500_.jpg,,mens white boxers underwear boxer shorts 8 pack,47.0,29.91,White Boxing Shorts,,4.3,https://www.amazon.com/hanes-set-boxer-men-white/dp/b07ndf9fkd,2
125,https://www.amazon.com/s?k=White+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B09JLX1F4W,$,,https://m.media-amazon.com/images/I/71WRb9Svv1L._AC_UL1500_.jpg,,youth muay thai shorts for kids (4 years   10 years) boxing kickboxing mma training trunk for boys and girls,78.0,19.99,White Boxing Shorts,,4.6,https://www.amazon.com/siamkick-youth-muay-shorts-years/dp/b09jlx1f4w,2
26,https://www.amazon.com/s?k=White+Boxing+Shorts,B088XXRW7R,$,,https://m.media-amazon.com/images/I/513Z6paFWiL._AC_UL1500_.jpg,,womens soccer dri fit park iii shorts,632.0,43.27,White Boxing Shorts,,4.5,https://www.amazon.com/nike-womens-park-shorts-white/dp/b088xxrw7r,2
15,https://www.amazon.com/s?k=White+Boxing+Shorts,B07HPFNWPS,$,,https://m.media-amazon.com/images/I/71KWwIazYQL._AC_UL1500_.jpg,,classic boxing trunks shorts,505.0,35.99,White Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-boxing-trunks/dp/b07hpfnwps,2
8,https://www.amazon.com/s?k=White+Boxing+Shorts,B089M86Z5N,$,,https://m.media-amazon.com/images/I/715XkojWMKL._AC_UL1500_.jpg,,roar muay thai shorts mma gym boxing fighting ufc trunks kick martial arts gear,100.0,19.99,White Boxing Shorts,,4.1,https://www.amazon.com/shorts-boxing-fighting-trunks-martial/dp/b089m86z5n,2
31,https://www.amazon.com/s?k=White+Boxing+Shorts,B099F2W189,$,,https://m.media-amazon.com/images/I/71qQYhM2N2L._AC_UL1500_.jpg,,muay thai shorts boxing shorts for men women high grade martial arts training gym trunks classic boxing shorts.,86.0,18.99,White Boxing Shorts,,4.3,https://www.amazon.com/flkky-shorts-boxing-women-martial/dp/b099f2w189,2
27,https://www.amazon.com/s?k=White+Boxing+Shorts,B09R8362SZ,$,-33.0,https://m.media-amazon.com/images/I/71zb+UfvaJL._AC_UL1500_.jpg,,"resolute muay thai shorts   kickboxing, thai boxing",421.0,29.99,White Boxing Shorts,,4.4,https://www.amazon.com/anthem-athletics-resolute-muay-shorts/dp/b09r8362sz,2
7,https://www.amazon.com/s?k=White+Boxing+Shorts,B09XL4KXR9,$,-10.0,https://m.media-amazon.com/images/I/41kAuEgmhrL._AC_UL1500_.jpg,,womens pro 365 5 inch shorts,90.0,36.01,White Boxing Shorts,,4.5,https://www.amazon.com/nike-womens-shorts-large-white/dp/b09xl4kxr9,2
73,https://www.amazon.com/s?k=White+Boxing+Shorts&page=2&qid=1661366444&ref=sr_pg_1,B01GBMKY88,$,,https://m.media-amazon.com/images/I/81sho7YFGgL._AC_UL1500_.jpg,,kids boxing uniform set top & shorts 2 pcs top shorts boxing clothes for kids boys/girls for 03 to 14 years,446.0,19.99,White Boxing Shorts,,4.3,https://www.amazon.com/prime-sports-boxing-shorts-fabric/dp/b01gbmky88,2
4,https://www.amazon.com/s?k=White+Boxing+Shorts,B07L8QZW92,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",422.0,35.99,White Boxing Shorts,,4.3,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b07l8qzw92,2
6,https://www.amazon.com/s?k=White+Boxing+Shorts,B09CYPY4F7,$,,https://m.media-amazon.com/images/I/41x5rmkDu4L._AC_UL1500_.jpg,,mens mma cross training boxing shorts trunks fight wear with drawstring and pocket qjk01,1601.0,21.99,White Boxing Shorts,,4.5,https://www.amazon.com/lafroi-training-boxing-drawstring-pocket-qjk01/dp/b09cypy4f7,2
40,https://www.amazon.com/mens-white-boxer-shorts/s?k=mens+white+boxer+shorts,B08NTRJZBJ,$,,https://m.media-amazon.com/images/I/51XK-q+bfnL._AC_UL1500_.jpg,,mens white boxers underwear boxer shorts 4 pack,119.0,23.99,White Boxing Shorts,,4.4,https://www.amazon.com/hanes-exposed-waistband-x-large-white-4/dp/b08ntrjzbj,2
35,https://www.amazon.com/mens-white-boxer-shorts/s?k=mens+white+boxer+shorts,B086RF6KXH,$,-24.0,https://m.media-amazon.com/images/I/61-V3nWCdbL._AC_UL1500_.jpg,,mens cotton classics multipack knit boxers,1695.0,33.99,White Boxing Shorts,,4.6,https://www.amazon.com/calvin-klein-boxer-short-white/dp/b086rf6kxh,2
105,https://www.amazon.com/Mens-Boxer-Shorts-White-Underwear/s?k=Men%27s+Boxer+Shorts&i=fashion-mens-clothing&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343363011&page=2&c=ts&qid=1661366453&ts_id=1045710&ref=sr_pg_1,B00M8M7HVI,$,,https://m.media-amazon.com/images/I/41d2w0PallL._AC_UL1500_.jpg,,mens knit boxer shorts white 2 pack 100% cotton,20.0,13.22,White Boxing Shorts,,3.5,https://www.amazon.com/boxer-shorts-2-pack-cotton-medium/dp/b00m8m7hvi,2
118,https://www.amazon.com/s?k=White+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B09Z2G1XKL,$,,https://m.media-amazon.com/images/I/8163LCgoUtL._AC_UL1500_.jpg,,muay thai shorts boxing shorts traditional styles mma workout kickboxing,21.0,35.99,White Boxing Shorts,,4.7,https://www.amazon.com/tuff-sport-traditional-kickboxing-tuf-ms671-wht/dp/b09z2g1xkl,2
56,https://www.amazon.com/Mens-Boxer-Shorts-White-Underwear/s?keywords=Men%27s+Boxer+Shorts&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343363011&c=ts&ts_id=1045710,B00B9HIGVS,$,,https://m.media-amazon.com/images/I/614krP1sA3L._AC_UL1500_.jpg,,big mens broadcloth boxer short (2 pack)   white   3x,23.0,12.75,White Boxing Shorts,,3.7,https://www.amazon.com/players-mens-broadcloth-boxer-short-white-3x/dp/b00b9higvs,2
