,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
5,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B01JYO3XS8,$,,https://m.media-amazon.com/images/I/71gmTomBEnL._AC_UL1500_.jpg,,kid muay thai boxing shorts kick boxing trunks satin size 2xs m,158.0,19.9,Yellow Boxing Shorts,,4.2,https://www.amazon.com/lofbaz-muay-boxing-shorts-yellow/dp/b01jyo3xs8,3
18,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B017X3NRII,$,,https://m.media-amazon.com/images/I/71L2EPoMywL._AC_UL1500_.jpg,,mens mesh shorts elastic sports gym performance workout boxing jersey basketball pants,475.0,14.99,Yellow Boxing Shorts,,4.2,https://www.amazon.com/hat-beyond-athletic-basketball-1ih01_yellow/dp/b017x3nrii,3
9,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07FDS74K1,$,,https://m.media-amazon.com/images/I/71apdcl0+tL._AC_UL1500_.jpg,,active stripe track loose fit stretch casual elastic athletic boxing shorts,46.0,24.99,Yellow Boxing Shorts,,4.2,https://www.amazon.com/hat-beyond-stretch-athletic-mx06_yellow/dp/b07fds74k1,3
12,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B096B9Z92Z,$,,https://m.media-amazon.com/images/I/71czPi6qgoS._AC_UL1500_.jpg,,muay thai shorts boxing shorts for men women high grade martial arts training gym trunks classic boxing shorts.,86.0,25.9,Yellow Boxing Shorts,,4.3,https://www.amazon.com/flkky-shorts-kickboxing-shorts-f06-yellow/dp/b096b9z92z,3
6,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B0B69GNCGM,$,,https://m.media-amazon.com/images/I/71k6wajS1ML._AC_UL1500_.jpg,,youth muay thai shorts for kids (4 years   10 years) boxing kickboxing mma training trunk for boys and girls,78.0,19.99,Yellow Boxing Shorts,,4.6,https://www.amazon.com/siamkick-youth-muay-shorts-years/dp/b0b69gncgm,2
26,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07PZ55FLN,$,,https://m.media-amazon.com/images/I/71dhjrZOB-S._AC_UL1500_.jpg,,classic muay thai & kickboxing shorts,509.0,33.99,Yellow Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-kickboxing-shorts/dp/b07pz55fln,2
23,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07LG54YB1,$,,https://m.media-amazon.com/images/I/61C-Gft0o4L._AC_UL1500_.jpg,,"muay thai fight shorts,mma shorts clothing training cage fighting grappling martial arts kickboxing shorts clothing",528.0,28.99,Yellow Boxing Shorts,,4.3,https://www.amazon.com/fluory-clothing-training-grappling-kickboxing/dp/b07lg54yb1,2
49,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B072P5P8XW,$,,https://m.media-amazon.com/images/I/81OfAeg8ihL._AC_UL1500_.jpg,,men bike shorts road cycling bottoms,598.0,33.99,Yellow Boxing Shorts,,4.6,https://www.amazon.com/sponeed-compression-shorts-bicycle-yellow/dp/b072p5p8xw,2
72,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B07NS1VTRT,$,,https://m.media-amazon.com/images/I/71hB+y4jc3L._AC_UL1500_.jpg,,"muay thai shorts size:xs s m l xl 2xl 3xl 4xl, boxing shorts for men/women/kids with many colors",380.0,26.99,Yellow Boxing Shorts,,4.4,https://www.amazon.com/fluory-muay-thai-shorts-size/dp/b07ns1vtrt,2
11,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B00KX7L24I,$,,https://m.media-amazon.com/images/I/41LwLCX3TgL._AC_UL1500_.jpg,,pro t compression short   youth and adult,84.0,60.95,Yellow Boxing Shorts,,4.1,https://www.amazon.com/g-form-pro-t-compression-shorts-yellow-adult-x-large/dp/b00kx7l24i,2
76,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B077NGWZNR,$,,https://m.media-amazon.com/images/I/81cac681BeL._AC_UL1500_.jpg,,muay thai shorts kick boxing training satin black gold short tiger embroidery,316.0,29.99,Yellow Boxing Shorts,,4.4,https://www.amazon.com/farabi-sports-boxing-training-embroidery/dp/b077ngwznr,2
21,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07SH7ZW51,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,men boxing shorts for boxing training fitness gym cage fight mma mauy thai kickboxing trunks clothing,301.0,18.99,Yellow Boxing Shorts,,4.3,https://www.amazon.com/boxing-training-fitness-kickboxing-clothing/dp/b07sh7zw51,2
75,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B089M8B1Q1,$,,https://m.media-amazon.com/images/I/71-bVaRewZL._AC_UL1500_.jpg,,roar muay thai shorts mma gym boxing fighting ufc trunks kick martial arts gear,100.0,19.99,Yellow Boxing Shorts,,4.1,https://www.amazon.com/shorts-boxing-fighting-trunks-martial/dp/b089m8b1q1,2
61,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B09FGQ9CFS,$,,https://m.media-amazon.com/images/I/717CYKXRyML._AC_UL1500_.jpg,,mens mma cross training boxing shorts trunks fight wear with drawstring and pocket qjk01,1601.0,21.99,Yellow Boxing Shorts,,4.5,https://www.amazon.com/lafroi-training-drawstring-pocket-qjk01-warrior/dp/b09fgq9cfs,2
74,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B07SMZ5QM8,$,-14.0,https://m.media-amazon.com/images/I/91wt9X3PxFL._AC_UL1500_.jpg,,men’s casual cotton knit short drawstring elastic jogger gym shorts,1725.0,24.88,Yellow Boxing Shorts,,4.5,https://www.amazon.com/vancoog-casual-classic-elastic-shorts-yellow-xxl/dp/b07smz5qm8,2
2,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B09HBFP9K9,$,,https://m.media-amazon.com/images/I/61Y3CYf9EXL._AC_UL1500_.jpg,,mens gym workout boxing shorts running short pants fitted training bodybuilding jogger short,2139.0,17.97,Yellow Boxing Shorts,,4.2,https://www.amazon.com/everworth-workout-running-training-bodybuilding/dp/b09hbfp9k9,2
13,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07SQZ4YZJ,$,,https://m.media-amazon.com/images/I/71RvtejiXPL._AC_UL1500_.jpg,,tuff sport muay thai shorts boxing shorts trunks kick martial arts training gym clothing,32.0,35.99,Yellow Boxing Shorts,,4.4,https://www.amazon.com/boxing-martial-training-clothing-tuf-ms637-red/dp/b07sqz4yzj,2
4,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B078Y4PB28,$,,https://m.media-amazon.com/images/I/71BPSkDigfL._AC_UL1500_.jpg,,jeet kune do jkd wing chun tsun kung fu dragon boxing trunks kickboxing thaiboxing mma,29.0,49.9,Yellow Boxing Shorts,,4.4,https://www.amazon.com/muay-thai-shorts-kickboxing-thaiboxing/dp/b078y4pb28,2
29,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B01IYGIIIM,$,,https://m.media-amazon.com/images/I/312WlJsTpjL._AC_UL1500_.jpg,,sparx elite men triathlon short tri shorts cycling bike swim run shorts,112.0,26.99,Yellow Boxing Shorts,,4.1,https://www.amazon.com/sparx-triathlon-shorts-cycling-yellow/dp/b01iygiiim,2
7,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B00JS7YH6E,$,,https://m.media-amazon.com/images/I/619e5KC7fyL._AC_UL1500_.jpg,,pro x padded compression shorts   adult and youth,248.0,85.0,Yellow Boxing Shorts,,4.5,https://www.amazon.com/g-form-compression-shorts-yellow-x-large/dp/b00js7yh6e,2
8,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B08CRY4B24,$,,https://m.media-amazon.com/images/I/61mNEiXSodL._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",214.0,26.99,Yellow Boxing Shorts,,4.4,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b08cry4b24,2
56,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B0B1PL8F87,$,,https://m.media-amazon.com/images/I/51sd8JFzWwL._AC_UL1500_.jpg,,workout shorts for women 2 pcs pack cross waist active gym spandex stretchy yoga compression with side pockets,212.0,25.99,Yellow Boxing Shorts,,4.5,https://www.amazon.com/workout-spandex-stretchy-compression-yellow-xs/dp/b0b1pl8f87,2
73,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B084G7CGXS,$,,https://m.media-amazon.com/images/I/71iIxsQrX3L._AC_UL1500_.jpg,,muay thai shorts mens fight shorts mma grapplig kick boxing training fitness trunks martial arts,150.0,19.99,Yellow Boxing Shorts,,4.3,https://www.amazon.com/roar-grapplig-training-fitness-martial/dp/b084g7cgxs,2
58,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B082R9XGKG,$,,https://m.media-amazon.com/images/I/71+QLoRWyOL._AC_UL1500_.jpg,,classic boxing trunks shorts,505.0,35.99,Yellow Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-boxing-trunks/dp/b082r9xgkg,2
40,https://www.amazon.com/Mens-Boxer-Shorts-Yellows-Underwear/s?keywords=Men%27s+Boxer+Shorts&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343364011&c=ts&ts_id=1045710,B082QR8P14,$,,https://m.media-amazon.com/images/I/81P9ULPgeaL._AC_UL1500_.jpg,,mens colorful funny animal all over print cotton boxer shorts s xxl,86.0,18.5,Yellow Boxing Shorts,,4.5,https://www.amazon.com/rock-atoll-colorful-animal-x-large/dp/b082qr8p14,1
37,https://www.amazon.com/Mens-Boxer-Shorts-Yellows-Underwear/s?keywords=Men%27s+Boxer+Shorts&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343364011&c=ts&ts_id=1045710,B09X69T3WW,$,,https://m.media-amazon.com/images/I/61N2H1y-ohL._AC_UL1500_.jpg,,comfortable loose fit boxer shorts (humorous) | silky feel graphic print boxers for men & women,104.0,20.0,Yellow Boxing Shorts,,4.7,https://www.amazon.com/brief-insanity-comfortable-shorts-x-large/dp/b09x69t3ww,1
47,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B097FBCRXS,$,,https://m.media-amazon.com/images/I/812SQopYb4S._AC_UL1500_.jpg,,mens icon fight shorts,114.0,69.0,Yellow Boxing Shorts,,4.7,https://www.amazon.com/hayabusa-mens-icon-fight-shorts/dp/b097fbcrxs,1
71,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B0086K46TM,$,,https://m.media-amazon.com/images/I/71G5zFRzv-L._AC_UL1500_.jpg,,"traditional boxing trunks, blue or red color. kids and adult sizes",80.0,34.95,Yellow Boxing Shorts,,4.3,https://www.amazon.com/traditional-boxing-trunks-color-adult/dp/b0086k46tm,1
24,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B08PP3GVT2,$,,https://m.media-amazon.com/images/I/71Wd-NEGtVL._AC_UL1500_.jpg,,compression shorts men underwear spandex running shorts workout athletic,125.0,21.99,Yellow Boxing Shorts,,4.5,https://www.amazon.com/runhit-compression-underwear-spandex-running/dp/b08pp3gvt2,1
67,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B0036OS6KS,$,-46.0,https://m.media-amazon.com/images/I/611FPYlutLL._AC_UL1500_.jpg,,"mens shorts, mesh shorts, 9"", mens mesh basketball shorts, mens mesh gym shorts",40371.0,15.0,Yellow Boxing Shorts,,4.6,https://www.amazon.com/champion-short-pockets-black-small/dp/b0036os6ks,1
33,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B09MHH1Z42,$,,https://m.media-amazon.com/images/I/71d9bhWf2iL._AC_UL1500_.jpg,,"mens 2 in 1 workout shorts 5"" quick dry gym shorts bodybuilding short shorts compression shorts with zipper pocket",156.0,18.97,Yellow Boxing Shorts,,4.3,https://www.amazon.com/everworth-workout-shorts-bodybuilding-compression/dp/b09mhh1z42,1
70,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B07PTCKSFN,$,,https://m.media-amazon.com/images/I/81TI+glGrbL._AC_UL1500_.jpg,,bangkok inferno kids muay thai shorts,28.0,34.99,Yellow Boxing Shorts,,4.8,https://www.amazon.com/venum-bangkok-inferno-kids-shorts/dp/b07ptcksfn,1
57,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B09DBGSCJ6,$,,https://m.media-amazon.com/images/I/7153Dx1RTiL._AC_UL1500_.jpg,,mens vale tudo shorts 2.0   long,20.0,50.0,Yellow Boxing Shorts,,4.5,https://www.amazon.com/dethrone-mens-vale-tudo-shorts/dp/b09dbgscj6,1
68,https://www.amazon.com/Mens-Boxer-Shorts-Yellows-Underwear/s?k=Men%27s+Boxer+Shorts&i=fashion-mens-clothing&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343364011&page=2&c=ts&qid=1661366458&ts_id=1045710&ref=sr_pg_1,B09LYJFZCM,$,,https://m.media-amazon.com/images/I/61E5Pystp+L._AC_UL1500_.jpg,,"mens boxer underwear, sexy split side boxer shorts briefs trunks style underpants",21.0,12.99,Yellow Boxing Shorts,,4.5,https://www.amazon.com/boxer-shorts-underwear-trunks-lounge/dp/b09lyjfzcm,1
77,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B09Y565GRQ,$,,https://m.media-amazon.com/images/I/81m89cuKsXL._AC_UL1500_.jpg,,"mens workout shorts quick dry gym shorts bodybuilding short shorts, 4"" inseam lightweight mesh yoga running shorts",21.0,17.98,Yellow Boxing Shorts,,3.7,https://www.amazon.com/everworth-workout-bodybuilding-lightweight-running/dp/b09y565grq,1
54,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B0B2JY3KTJ,$,,https://m.media-amazon.com/images/I/61hyJ7YAlBL._AC_UL1500_.jpg,,mens vale tudo shorts 2.0   short,24.0,50.0,Yellow Boxing Shorts,,4.6,https://www.amazon.com/dethrone-mens-vale-tudo-shorts/dp/b0b2jy3ktj,1
55,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B07CVYLGC7,$,,https://m.media-amazon.com/images/I/61KlX3-cHfL._AC_UL1500_.jpg,,roar mma rashguard & bjj grappling shorts ufc cage fight jiu jitsu spats no gi sets,26.0,49.99,Yellow Boxing Shorts,,3.9,https://www.amazon.com/grappling-compression-training-workout-appearel/dp/b07cvylgc7,1
52,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B09Y51YV1X,$,,https://m.media-amazon.com/images/I/61R3RQNcLpL._AC_UL1500_.jpg,,athletic shorts for women high waist quick dry layer workout gmy running sport shorts,27.0,21.99,Yellow Boxing Shorts,,3.9,https://www.amazon.com/boosouly-womens-quick-dry-running-workout/dp/b09y51yv1x,1
79,https://www.amazon.com/Mens-Boxer-Shorts-Yellows-Underwear/s?k=Men%27s+Boxer+Shorts&i=fashion-mens-clothing&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343364011&page=3&c=ts&qid=1661366468&ts_id=1045710&ref=sr_pg_2,B01G3L2SWW,$,,https://m.media-amazon.com/images/I/71jiFXqna0L._AC_UL1500_.jpg,,mens soft mesh see through boxer briefs shorts bulge pouch underwear,32.0,11.49,Yellow Boxing Shorts,,4.1,https://www.amazon.com/feeshow-see-through-briefs-shorts-underwear/dp/b01g3l2sww,1
16,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B00CLVNBTI,$,-15.0,https://m.media-amazon.com/images/I/61p0X+5BLvL._AC_UL1500_.jpg,,womens 7 inch hook slide low rise solid slider shorts,63.0,25.56,Yellow Boxing Shorts,,4.4,https://www.amazon.com/intensity-womens-slider-softball-shorts/dp/b00clvnbti,1
19,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B075RV9C35,$,,https://m.media-amazon.com/images/I/81sfmMnpcIL._AC_UL1500_.jpg,,dont tread on me! mma wrestling jiu jitsu training fight shorts   youths & mens,34.0,36.99,Yellow Boxing Shorts,,4.7,https://www.amazon.com/tread-wrestling-jiu-jitsu-training-shorts/dp/b075rv9c35,1
59,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B01N1V50MV,$,-7.0,https://m.media-amazon.com/images/I/71G57iJCgiS._AC_UL1500_.jpg,,mens 4040 baseball compression slider short,37.0,46.47,Yellow Boxing Shorts,,4.6,https://www.amazon.com/new-balance-baseball-slider-xx-large/dp/b01n1v50mv,1
60,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B07CJSXPN7,$,,https://m.media-amazon.com/images/I/71dCn426gvL._AC_UL1500_.jpg,,sparx men`s activate triathlon shorts printed trishort | 2 easy reach pockets| swim bike run,37.0,34.99,Yellow Boxing Shorts,,3.9,https://www.amazon.com/sparx-activate-triathlon-trishort-swim-bike-run/dp/b07cjsxpn7,1
38,https://www.amazon.com/Mens-Boxer-Shorts-Yellows-Underwear/s?keywords=Men%27s+Boxer+Shorts&rh=n%3A1045710%2Cp_n_size_browse-vebin%3A2343364011&c=ts&ts_id=1045710,B0986CK7P2,$,,https://m.media-amazon.com/images/I/719qg-sdsPL._AC_UL1500_.jpg,,mens sexy boxer shorts loose large split side casual cooling tapered trunks underwear,43.0,16.99,Yellow Boxing Shorts,,4.3,https://www.amazon.com/running-workout-shorts-lightweight-underwear/dp/b0986ck7p2,1
66,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B0B3HZBNJH,$,,https://m.media-amazon.com/images/I/61-xkBA2qjL._AC_UL1500_.jpg,,workout outfits for women 2 piece ribbed seamless high waist shorts with one shoulder crop tops exercise set,45.0,28.99,Yellow Boxing Shorts,,4.0,https://www.amazon.com/oqq-workout-seamless-shoulder-exercise/dp/b0b3hzbnjh,1
32,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B088Y3TBXY,$,,https://m.media-amazon.com/images/I/61p+XnoHg0L._AC_UL1500_.jpg,,womens soccer dri fit park iii shorts,48.0,29.0,Yellow Boxing Shorts,,4.1,https://www.amazon.com/nike-womens-park-shorts-navy/dp/b088y3tbxy,1
78,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=3&qid=1661366462&ref=sr_pg_2,B073WQ4XGM,$,,https://m.media-amazon.com/images/I/31ql9MDckPL._AC_UL1500_.jpg,,mens dri power performance short with pockets,77.0,19.99,Yellow Boxing Shorts,,4.5,https://www.amazon.com/russell-athletic-dri-power-performance-pockets/dp/b073wq4xgm,1
65,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B07MB9ZNTK,$,,https://m.media-amazon.com/images/I/51ZwdpzD+oL._AC_UL1500_.jpg,,womens running shorts,270.0,49.99,Yellow Boxing Shorts,,4.5,https://www.amazon.com/nike-womens-compression-ao9977-thunder/dp/b07mb9zntk,1
44,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B089FZ77PX,$,,https://m.media-amazon.com/images/I/61WAzwk7RrL._AC_UL1500_.jpg,,mens basketball shorts gym & running elastic waistband short pants,173.0,13.49,Yellow Boxing Shorts,,3.7,https://www.amazon.com/sunsiom-basketball-running-elastic-waistband/dp/b089fz77px,1
20,https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07KLNTRGT,$,-26.0,https://m.media-amazon.com/images/I/61RCVqVQuzL._AC_UL1500_.jpg,,mens soft mesh cool dry compression yoga workout tight shorts,1022.0,16.99,Yellow Boxing Shorts,,4.4,https://www.amazon.com/mizok-compression-workout-shorts-31-35inch/dp/b07klntrgt,1
48,https://www.amazon.com/s?k=Yellow+Boxing+Shorts&page=2&qid=1661366445&ref=sr_pg_1,B07DWQJ8Z9,$,,https://m.media-amazon.com/images/I/51ZhqOi-AmL._AC_UL1500_.jpg,,womens tastigo 19 shorts,8554.0,24.68,Yellow Boxing Shorts,,4.6,https://www.amazon.com/adidas-tastigo-shorts-white-xx-small/dp/b07dwqj8z9,1
