,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
10,https://www.amazon.com/s?k=Youth+Boxing+Shoes,B09DFYL1CK,$,,https://m.media-amazon.com/images/I/71N3urU993L._AC_UL1500_.jpg,,fistrage leather kick boxing shoes fighting sports master training mesh unisex pro mens and youth genuine boot light weight | black color boxing shoes for adults,198.0,41.99,Youth Boxing Shoes,,4.2,https://www.amazon.com/fistrage-leather-fighting-training-genuine/dp/b09dfyl1ck,3
45,https://www.amazon.com/kids-boxing-shoes/s?k=kids+boxing+shoes,B07NQNFRRL,$,-9.0,https://m.media-amazon.com/images/I/61oAztaWNmL._AC_UL1500_.jpg,,hvc 2 youth white/red/royal wrestling shoes 11,20.0,49.99,Youth Boxing Shoes,,4.9,https://www.amazon.com/adidas-youth-white-royal-wrestling/dp/b07nqnfrrl,2
13,https://www.amazon.com/s?k=Youth+Boxing+Shoes,B07NQNT7SW,$,-9.0,https://m.media-amazon.com/images/I/61oAztaWNmL._AC_UL1500_.jpg,,hvc 2 youth white/red/royal wrestling shoes 1,48.0,49.99,Youth Boxing Shoes,,4.7,https://www.amazon.com/adidas-youth-wrestling-ankle-strap/dp/b07nqnt7sw,2
11,https://www.amazon.com/s?k=Youth+Boxing+Shoes,B07NQP7RQ3,$,-14.0,https://m.media-amazon.com/images/I/61oAztaWNmL._AC_UL1500_.jpg,,hvc 2 youth white/red/royal wrestling shoes 1.5,40.0,55.95,Youth Boxing Shoes,,4.9,https://www.amazon.com/adidas-youth-wrestling-ankle-strap/dp/b07nqp7rq3,2
12,https://www.amazon.com/s?k=Youth+Boxing+Shoes,B07NQLLW1M,$,-9.0,https://m.media-amazon.com/images/I/61oAztaWNmL._AC_UL1500_.jpg,,hvc 2 youth white/red/royal wrestling shoes 3.5,40.0,49.98,Youth Boxing Shoes,,4.6,https://www.amazon.com/adidas-youth-wrestling-ankle-strap/dp/b07nqllw1m,2
23,https://www.amazon.com/s?k=Youth+Boxing+Shoes,B08MQZLFF3,$,,https://m.media-amazon.com/images/I/816+RjLAzmL._AC_UL1500_.jpg,,pro boxing shoe for men & women,631.0,119.0,Youth Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-pro-boxing-shoe-women/dp/b08mqzlff3,2
94,https://www.amazon.com/boys-boxing-shoes/s?k=boys+boxing+shoes&page=2&qid=1661366451&ref=sr_pg_1,B08PW1FZ63,$,,https://m.media-amazon.com/images/I/81SDU8gruOL._AC_UL1500_.jpg,,mens training gymnastics shoe,628.0,87.15,Youth Boxing Shoes,,4.5,https://www.amazon.com/adidas-hog-2-boxing-shoes-black/dp/b08pw1fz63,2
75,https://www.amazon.com/s?k=Youth+Boxing+Shoes&page=2&qid=1661366446&ref=sr_pg_1,B09JL628ZB,$,,https://m.media-amazon.com/images/I/713VmDiVY0L._AC_UL1500_.jpg,,unisex adult elite boxing shoes,508.0,154.99,Youth Boxing Shoes,,4.6,https://www.amazon.com/venum-elite-boxing-shoes-dark/dp/b09jl628zb,2
22,https://www.amazon.com/s?k=Youth+Boxing+Shoes,B091ZCF4Y2,$,-18.0,https://m.media-amazon.com/images/I/81J+GMAv1VL._AC_UL1500_.jpg,,unisex adult hog 3 boxing shoe,45.0,81.72,Youth Boxing Shoes,,4.7,https://www.amazon.com/adidas-unisex-boxing-shadow-white/dp/b091zcf4y2,2
14,https://www.amazon.com/s?k=Youth+Boxing+Shoes,B07NQNQHBR,$,,https://m.media-amazon.com/images/I/61oAztaWNmL._AC_UL1500_.jpg,,hvc 2 youth white/red/royal wrestling shoes 2,53.0,49.98,Youth Boxing Shoes,,4.6,https://www.amazon.com/adidas-youth-wrestling-ankle-strap/dp/b07nqnqhbr,2
66,https://www.amazon.com/s?k=Youth+Boxing+Shoes&page=2&qid=1661366446&ref=sr_pg_1,B01N6KOR8C,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 10 black,37.0,54.99,Youth Boxing Shoes,,4.7,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n6kor8c,2
34,https://www.amazon.com/boys-boxing-shoes/s?k=boys+boxing+shoes,B07N32Z3NK,$,,https://m.media-amazon.com/images/I/61zc8L2p6+L._AC_UL1500_.jpg,,apex elite boxing shoes,56.0,94.48,Youth Boxing Shoes,,4.0,https://www.amazon.com/ringside-elite-boxing-shoes/dp/b07n32z3nk,2
6,https://www.amazon.com/s?k=Youth+Boxing+Shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Youth Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,2
16,https://www.amazon.com/s?k=Youth+Boxing+Shoes,B082QJH545,$,,https://m.media-amazon.com/images/I/81SpHr1cQ4L._AC_UL1500_.jpg,,unisex adult speedex 18 boxing shoe,282.0,150.0,Youth Boxing Shoes,,4.6,https://www.amazon.com/adidas-speedex-boxing-signal-copper/dp/b082qjh545,2
