amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B089SJ5XH6,$,,https://m.media-amazon.com/images/I/613O1FBybDS._AC_UL1500_.jpg,,JB Elite V,288,124.95,Black And Gold Boxing Shoes,nan,4.8,https://www.amazon.com/ASICS-Elite-Wrestling-Shoes-Black/dp/B089SJ5XH6
https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B07JQ3G5QC,$,,https://m.media-amazon.com/images/I/61QoFsYOMVL._AC_UL1500_.jpg,,PIVT Low Top Boxing Shoes,223,89.99,Black And Gold Boxing Shoes,nan,4.6,https://www.amazon.com/Everlast-PIVT-Low-Boxing-Shoes/dp/B07JQ3G5QC
https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B08MQZLFF3,$,,https://m.media-amazon.com/images/I/816+RjLAzmL._AC_UL1500_.jpg,,Pro Boxing Shoe for Men & Women,631,119.0,Black And Gold Boxing Shoes,nan,4.5,https://www.amazon.com/Hayabusa-Pro-Boxing-Shoe-Women/dp/B08MQZLFF3
https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B08CHLH6R8,$,,https://m.media-amazon.com/images/I/41JDir+ZmVL._AC_UL1500_.jpg,,"Ring Mamba Boxing Shoes, Gold/Black",16,99.99,Black And Gold Boxing Shoes,nan,4.8,https://www.amazon.com/Title-Boxing-Mamba-Shoes-Black/dp/B08CHLH6R8
https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B09HJYCT81,$,,https://m.media-amazon.com/images/I/81en7Qhe9IL._AC_UL1500_.jpg,,Unisex-Adult Speedex 18 Boxing Shoe,282,149.95,Black And Gold Boxing Shoes,nan,4.6,https://www.amazon.com/adidas-Unisex-Speedex-Boxing-Metallic/dp/B09HJYCT81
https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B08BZVYL4M,$,,https://m.media-amazon.com/images/I/81jrqipNvoS._AC_UL1500_.jpg,,All Pro Boxing Shoes - Classic Crusader Series – Mid Tops - Genuine Leather - State-of-The-Art Quality Boxing Footwear,20,79.99,Black And Gold Boxing Shoes,nan,4.6,https://www.amazon.com/STALLION-NEW-YORK-Boxing-State/dp/B08BZVYL4M
https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B08YNF7DQJ,$,,https://m.media-amazon.com/images/I/71x4bT6gXuL._AC_UL1500_.jpg,,Men's Breathable Boxing Shoes Wrestling Shoes High-top Non-Slip Professional Training Shoes Squat Shoes(Chian Size),10,59.99,Black And Gold Boxing Shoes,nan,3.9,https://www.amazon.com/Amoda-Breathable-Wrestling-High-top-Professional/dp/B08YNF7DQJ
https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B07KXBZC42,$,,https://m.media-amazon.com/images/I/71w2lWtbP8L._AC_UL1500_.jpg,,Unisex-Adult Elite Boxing Shoes,508,149.99,Black And Gold Boxing Shoes,nan,4.6,https://www.amazon.com/Venum-Elite-Boxing-Shoes-Black/dp/B07KXBZC42
https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B08T9DJF9M,$,,https://m.media-amazon.com/images/I/71fCZJJ2w3L._AC_UL1500_.jpg,,High Top Mens Wrestling Boxing Shoes Non-Slip Breathable Boxing Wrestling Training Shoes for Men Women Sport Athletic Casual Shoes,10,54.99,Black And Gold Boxing Shoes,nan,4.6,https://www.amazon.com/QIAO-Wrestling-Non-Slip-Breathable-Black-Gold/dp/B08T9DJF9M
https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shoes,B09KP3XTHL,$,-11.0,https://m.media-amazon.com/images/I/81JrHeVEoCL._AC_UL1500_.jpg,,Unisex-Adult Hog 4 Boxing Shoe,1,106.3,Black And Gold Boxing Shoes,nan,5.0,https://www.amazon.com/adidas-Unisex-Boxing-Black-Metallic/dp/B09KP3XTHL
