amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Black+Boxing+Shoes,B09KP3XTHL,$,-11.0,https://m.media-amazon.com/images/I/81JrHeVEoCL._AC_UL1500_.jpg,,Unisex-Adult Hog 4 Boxing Shoe,1,106.3,Black Boxing Shoes,nan,5.0,https://www.amazon.com/adidas-Unisex-Boxing-Black-Metallic/dp/B09KP3XTHL
https://www.amazon.com/s?k=Black+Boxing+Shoes,B07BS3R3P1,$,,https://m.media-amazon.com/images/I/61ibXqJztiL._AC_UL1500_.jpg,,"New Elite High Top Boxing Shoes - Black, Blue, Red",625,99.89,Black Boxing Shoes,nan,4.7,https://www.amazon.com/Everlast-Elite-High-Boxing-Shoes/dp/B07BS3R3P1
https://www.amazon.com/s?k=Black+Boxing+Shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"Title Speed-Flex Encore Mid Boxing Shoes, Black, 8",56,54.99,Black Boxing Shoes,nan,4.2,https://www.amazon.com/Title-Speed-Flex-Encore-Boxing-Shoes/dp/B01NCPZ2VQ
https://www.amazon.com/s?k=Black+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,Diablo Wrestling Boxing Shoes,219,69.99,Black Boxing Shoes,nan,4.1,https://www.amazon.com/Ringside-Top-Boxing-Shoe-Black/dp/B007YJYNY4
https://www.amazon.com/s?k=Black+Boxing+Shoes,B01NGZW4US,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,Title Speed-Flex Encore Tall Boxing Shoes Size 12 Black,26,54.99,Black Boxing Shoes,nan,4.7,https://www.amazon.com/TITLE-Speed-Flex-Encore-Boxing-Shoes/dp/B01NGZW4US
https://www.amazon.com/s?k=Black+Boxing+Shoes,B00Q77R684,$,-28.0,https://m.media-amazon.com/images/I/912QXOb8LSL._AC_UL1500_.jpg,,Men's Cael V6.0 Wrestling Shoe,575,68.05,Black Boxing Shoes,nan,4.7,https://www.amazon.com/ASICS-Cael-Wrestling-Atomic-Yellow/dp/B00Q77R684
https://www.amazon.com/s?k=Black+Boxing+Shoes,B01NCPZ7CX,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,Title Speed-Flex Encore Tall Boxing Shoes Size 9 Black,23,54.99,Black Boxing Shoes,nan,4.4,https://www.amazon.com/TITLE-Speed-Flex-Encore-Boxing-Shoes/dp/B01NCPZ7CX
https://www.amazon.com/s?k=Black+Boxing+Shoes,B004BUM6YI,$,,https://m.media-amazon.com/images/I/51xPNIrv1IL._AC_UL1500_.jpg,,"Men's Training Shoes, Black, US10",5,55.8,Black Boxing Shoes,nan,4.8,https://www.amazon.com/NIKE-Nike-Speedsweep-VII/dp/B004BUM6YI
https://www.amazon.com/s?k=Black+Boxing+Shoes,B09VQ3BG29,$,-5.0,https://m.media-amazon.com/images/I/71Sdi0v0YqL._AC_UL1500_.jpg,,Unisex-Adult Elite Boxing Shoes,508,151.53,Black Boxing Shoes,nan,4.6,https://www.amazon.com/Venum-Sports-Outdoors-Elite-Boxing/dp/B09VQ3BG29
https://www.amazon.com/s?k=Black+Boxing+Shoes,B01N6KOR8C,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,Title Speed-Flex Encore Tall Boxing Shoes Size 10 Black,37,54.99,Black Boxing Shoes,nan,4.7,https://www.amazon.com/TITLE-Speed-Flex-Encore-Boxing-Shoes/dp/B01N6KOR8C
https://www.amazon.com/s?k=Black+Boxing+Shoes,B0009AUDBM,$,,https://m.media-amazon.com/images/I/61nlK+TFKNL._AC_UL1500_.jpg,,Men's Stingray Escape Bodybuilding Weightlifting MMA & Wrestling Shoes,1967,109.0,Black Boxing Shoes,nan,4.6,https://www.amazon.com/Otomix-Stingray-Escape-Bodybuilding-Wrestling/dp/B0009AUDBM
https://www.amazon.com/s?k=Black+Boxing+Shoes,B09TW57QGJ,$,,https://m.media-amazon.com/images/I/71HEB9csE+L._AC_UL1500_.jpg,,FISTRAGE Leather High Top Kick Boxing Shoes Fighting Sports Training Mesh Unisex Pro Men's and Youth Light Weight | Black Color Boxing Shoes for Adults,19,44.99,Black Boxing Shoes,nan,4.1,https://www.amazon.com/FISTRAGE-Leather-Fighting-Training-High-Top/dp/B09TW57QGJ
https://www.amazon.com/s?k=Black+Boxing+Shoes,B007YJYIUI,$,-17.0,https://m.media-amazon.com/images/I/813w4b48n-L._AC_UL1500_.jpg,,Undefeated Wrestling Boxing Shoes,68,66.19,Black Boxing Shoes,nan,4.4,https://www.amazon.com/Ringside-High-Boxing-Shoe-Black/dp/B007YJYIUI
https://www.amazon.com/s?k=Black+Boxing+Shoes,B07BHYTWKW,,,https://m.media-amazon.com/images/I/61kBgbhyhpL._AC_UL1500_.jpg,,Men's Mat Wizard 4 Wrestling Shoe,1190,,Black Boxing Shoes,nan,4.6,https://www.amazon.com/adidas-Wizard-Wrestling-Shoes-Carbon/dp/B07BHYTWKW
https://www.amazon.com/s?k=Black+Boxing+Shoes,B08PVXF4K2,,,https://m.media-amazon.com/images/I/81SDU8gruOL._AC_UL1500_.jpg,,Men's Training Gymnastics Shoe,628,,Black Boxing Shoes,nan,4.5,https://www.amazon.com/adidas-Boxing-Shoes-Black-White/dp/B08PVXF4K2
