amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Nike+Boxing+Shorts,B08NYJTVNL,$,,https://m.media-amazon.com/images/I/81EKAit4XVL._AC_UL1500_.jpg,,"Womens Pro 365 3"" Shorts",1474,42.02,Nike Boxing Shorts,nan,4.6,https://www.amazon.com/Nike-Womens-Shorts-Black-White/dp/B08NYJTVNL
https://www.amazon.com/s?k=Nike+Boxing+Shorts,B072MGX7XP,$,,https://m.media-amazon.com/images/I/41qV8pz+brL._AC_UL1500_.jpg,,"Woven Volleyball Short, Navy, X-Large",1,175.97,Nike Boxing Shorts,nan,5.0,https://www.amazon.com/NIKE-Woven-Volleyball-Short-X-Large/dp/B072MGX7XP
https://www.amazon.com/s?k=Nike+Boxing+Shorts,B088Y9C1RC,$,,https://m.media-amazon.com/images/I/61p+XnoHg0L._AC_UL1500_.jpg,,Women's Soccer Dri-FIT Park III Shorts,53,29.9,Nike Boxing Shorts,nan,4.6,https://www.amazon.com/Nike-Womens-Park-Shorts-Navy/dp/B088Y9C1RC
https://www.amazon.com/s?k=Nike+Boxing+Shorts,B083VR6LC1,$,,https://m.media-amazon.com/images/I/51hws8qUfgL._AC_UL1500_.jpg,,"Women's Pro 3"" Training Shorts (Medium, Black/Black/Thunder Grey)",19,55.95,Nike Boxing Shorts,nan,4.1,https://www.amazon.com/Nike-Womens-Training-Shorts-Thunder/dp/B083VR6LC1
https://www.amazon.com/s?k=Nike+Boxing+Shorts,B00CLVMT46,$,,https://m.media-amazon.com/images/I/7172iQ3-QRL._AC_UL1500_.jpg,,Womens Pro 3'' Power Compression Short,1065,45.0,Nike Boxing Shorts,nan,4.7,https://www.amazon.com/Nike-Womens-Power-Compression-X-Large/dp/B00CLVMT46
https://www.amazon.com/s?k=Nike+Boxing+Shorts,B072MHZQ19,$,,https://m.media-amazon.com/images/I/614luR-NMjL._AC_UL1500_.jpg,,Women`s Pro Sliding Shorts,30,57.3,Nike Boxing Shorts,nan,4.5,https://www.amazon.com/NIKE-Womens-Slider-Softball-Shorts/dp/B072MHZQ19
https://www.amazon.com/s?k=Nike+Boxing+Shorts,B07LB2RFCX,$,,https://m.media-amazon.com/images/I/61NY1bhvGeL._AC_UL1500_.jpg,,"Pro Women's 8"" Shorts",4,89.97,Nike Boxing Shorts,nan,3.6,https://www.amazon.com/Nike-Womens-Shorts-Purple-Lavendermist/dp/B07LB2RFCX
https://www.amazon.com/s?k=Nike+Boxing+Shorts,B071WMTRNS,$,,https://m.media-amazon.com/images/I/71ElFyah6AL._AC_UL1500_.jpg,,Women's Pro Slider Softball Shorts Black/Max Orange Size Large,7,54.8,Nike Boxing Shorts,nan,4.8,https://www.amazon.com/NIKE-Womens-Slider-Softball-Shorts/dp/B071WMTRNS
https://www.amazon.com/s?k=Nike+Boxing+Shorts,B00RBY38JI,$,,https://m.media-amazon.com/images/I/61A1PReOi8L._AC_UL1500_.jpg,,"Pro 3"" Giraffe Short",1,64.99,Nike Boxing Shorts,nan,5.0,https://www.amazon.com/NIKE-Pro-3-Giraffe-Short/dp/B00RBY38JI
https://www.amazon.com/s?k=Nike+Boxing+Shorts,B00CJMATX0,,,https://m.media-amazon.com/images/I/417X4ae2cuL._AC_UL1500_.jpg,,Performance Women's 3.75'' Game Shorts,2883,,Nike Boxing Shorts,nan,4.5,https://www.amazon.com/Nike-Perf-3-75-Game-Shorts/dp/B00CJMATX0
