amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Orange+Boxing+Shorts,B096B7Z7P9,$,,https://m.media-amazon.com/images/I/712+tfJbutS._AC_UL1500_.jpg,,Muay Thai Shorts Boxing Shorts for Men Women High Grade Martial Arts Training Gym Trunks Classic Boxing Shorts.,86,25.99,Orange Boxing Shorts,nan,4.3,https://www.amazon.com/FLKKY-Shorts-Kickboxing-Shorts-F09-Orange/dp/B096B7Z7P9
https://www.amazon.com/s?k=Orange+Boxing+Shorts,B07HWMVNLZ,$,,https://m.media-amazon.com/images/I/91bb0wPHZ9L._AC_UL1500_.jpg,,Slim Cut Muay Thai Boxing Shorts,6,65.95,Orange Boxing Shorts,nan,5.0,https://www.amazon.com/Fairtex-Muay-Thai-Boxing-Shorts/dp/B07HWMVNLZ
https://www.amazon.com/s?k=Orange+Boxing+Shorts,B01G42TQDO,$,,https://m.media-amazon.com/images/I/71aYSv9rn9L._AC_UL1500_.jpg,,Boxing Short,18,24.99,Orange Boxing Shorts,nan,3.6,https://www.amazon.com/adidas-Boxing-Short-Orange-White/dp/B01G42TQDO
https://www.amazon.com/s?k=Orange+Boxing+Shorts,B01MU7M0DN,$,,https://m.media-amazon.com/images/I/613RRq2OhNL._AC_UL1500_.jpg,,"Infinity Muay Thai Shorts - Kickboxing, Thai Boxing, Striking",933,33.99,Orange Boxing Shorts,nan,4.5,https://www.amazon.com/Anthem-Athletics-Infinity-Muay-Shorts/dp/B01MU7M0DN
https://www.amazon.com/s?k=Orange+Boxing+Shorts,B09T5DV515,$,,https://m.media-amazon.com/images/I/61H-HuD2lXL._AC_UL1500_.jpg,,"Men's 2 in 1 Workout Running Shorts 5"" Quick Dry Athletic Shorts Lightweight Gym Training Short for Men with Phone Pockets",5,19.99,Orange Boxing Shorts,nan,4.2,https://www.amazon.com/Workout-Running-Athletic-Lightweight-Training/dp/B09T5DV515
https://www.amazon.com/s?k=Orange+Boxing+Shorts,B074589665,$,,https://m.media-amazon.com/images/I/81kFvQD5bFL._AC_UL1500_.jpg,,Unisex-Child Squadra 17 Shorts,1454,28.77,Orange Boxing Shorts,nan,4.4,https://www.amazon.com/adidas-Squadra-Short%E2%9D%97%EF%B8%8FShips-directly-Adidas%E2%9D%97%EF%B8%8F/dp/B074589665
https://www.amazon.com/s?k=Orange+Boxing+Shorts,B0B6BWRYCR,$,,https://m.media-amazon.com/images/I/71kVhlrr73L._AC_UL1500_.jpg,,Men's Shorts for Men Classic Gym Basketball Mesh Shorts Jogger Gym Active Beach Sweatpants Pockets Women,,19.99,Orange Boxing Shorts,nan,,https://www.amazon.com/Shorts-Classic-Basketball-Sweatpants-Pockets/dp/B0B6BWRYCR
https://www.amazon.com/s?k=Orange+Boxing+Shorts,B079KGDSVS,$,,https://m.media-amazon.com/images/I/71rtSDepicL._AC_UL1500_.jpg,,Kickboxing Martial Arts Combat Fight MMA UFC Boxer Boxing Trunks Unisex,1,49.9,Orange Boxing Shorts,nan,5.0,https://www.amazon.com/Muay-Thai-Shorts-Kickboxing-Martial/dp/B079KGDSVS
https://www.amazon.com/s?k=Orange+Boxing+Shorts,B072MHZQ19,$,,https://m.media-amazon.com/images/I/614luR-NMjL._AC_UL1500_.jpg,,Women`s Pro Sliding Shorts,30,57.3,Orange Boxing Shorts,nan,4.5,https://www.amazon.com/NIKE-Womens-Slider-Softball-Shorts/dp/B072MHZQ19
https://www.amazon.com/s?k=Orange+Boxing+Shorts,B01JYO30T0,$,,https://m.media-amazon.com/images/I/71Bhlxt+MNL._AC_UL1500_.jpg,,Kid Muay Thai Boxing Shorts Kick Boxing Trunks Satin Size 2XS-M,158,19.9,Orange Boxing Shorts,nan,4.2,https://www.amazon.com/Lofbaz-Muay-Boxing-Shorts-Green/dp/B01JYO30T0
