amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Red+Boxing+Shorts,B089M8HMZV,$,,https://m.media-amazon.com/images/I/71tAsW-jkwL._AC_UL1500_.jpg,,Roar Muay Thai Shorts MMA Gym Boxing Fighting UFC Trunks Kick Martial Arts Gear,100,19.99,Red Boxing Shorts,nan,4.1,https://www.amazon.com/Shorts-Boxing-Fighting-Trunks-Martial/dp/B089M8HMZV
https://www.amazon.com/s?k=Red+Boxing+Shorts,B07SH7ZW51,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,Men Boxing Shorts for Boxing Training Fitness Gym Cage Fight MMA Mauy Thai Kickboxing Trunks Clothing,301,18.99,Red Boxing Shorts,nan,4.3,https://www.amazon.com/Boxing-Training-Fitness-Kickboxing-Clothing/dp/B07SH7ZW51
https://www.amazon.com/s?k=Red+Boxing+Shorts,B07MZYTTKH,$,,https://m.media-amazon.com/images/I/61+vUJp3KcL._AC_UL1500_.jpg,,Satin Boxing,4,37.99,Red Boxing Shorts,nan,4.5,https://www.amazon.com/Cleto-Reyes-Satin-Boxing-Trunks/dp/B07MZYTTKH
https://www.amazon.com/s?k=Red+Boxing+Shorts,B07PYFDKB1,$,,https://m.media-amazon.com/images/I/61G4IWFiUgL._AC_UL1500_.jpg,,Sweat Shorts,2,29.99,Red Boxing Shorts,nan,4.5,https://www.amazon.com/Title-Boxing-Sweat-Shorts-XX-Large/dp/B07PYFDKB1
https://www.amazon.com/s?k=Red+Boxing+Shorts,B01CCL2JB2,$,,https://m.media-amazon.com/images/I/61SGq-7WOtL._AC_UL1500_.jpg,,Pro-Style Kickboxing Muay Thai MMA Training Gym Clothing Shorts Boxing Trunks,64,25.99,Red Boxing Shorts,nan,4.1,https://www.amazon.com/Ringside-Pro-Style-Boxing-Trunks-Medium/dp/B01CCL2JB2
https://www.amazon.com/s?k=Red+Boxing+Shorts,B082YDK67Q,$,,https://m.media-amazon.com/images/I/81Y+CB0JObS._AC_UL1500_.jpg,,Classic Muay Thai & Kickboxing Shorts,509,33.99,Red Boxing Shorts,nan,4.6,https://www.amazon.com/Anthem-Athletics-Classic-Kickboxing-Shorts/dp/B082YDK67Q
https://www.amazon.com/s?k=Red+Boxing+Shorts,B07SJ67VZR,$,,https://m.media-amazon.com/images/I/818VQ3QWwHL._AC_UL1500_.jpg,,MRX Boxing Shorts for Men Training Fighting Muay Thai Shorts Boxing MMA BJJ Short Kickboxing Trunks Clothing,183,18.99,Red Boxing Shorts,nan,4.4,https://www.amazon.com/MRX-Training-Fighting-Kickboxing-Clothing/dp/B07SJ67VZR
https://www.amazon.com/s?k=Red+Boxing+Shorts,B01GBMKY88,$,,https://m.media-amazon.com/images/I/81sho7YFGgL._AC_UL1500_.jpg,,Kids Boxing Uniform Set Top & Shorts 2 Pcs Top shorts Boxing Clothes for Kids Boys/Girls For 03 to 14 Years,446,19.99,Red Boxing Shorts,nan,4.3,https://www.amazon.com/Prime-Sports-Boxing-Shorts-Fabric/dp/B01GBMKY88
https://www.amazon.com/s?k=Red+Boxing+Shorts,B07NL7DB9D,$,-38.0,https://m.media-amazon.com/images/I/61Nk0yQeppS._AC_UL1500_.jpg,,Men's Gym Workout Shorts Running Short Pants Fitted Training Weightlifting Bodybuilding Jogger with Pockets,1742,13.57,Red Boxing Shorts,nan,4.3,https://www.amazon.com/COOFANDY-Workout-Running-Training-Bodybuilding/dp/B07NL7DB9D
https://www.amazon.com/s?k=Red+Boxing+Shorts,B09PZJNH72,$,,https://m.media-amazon.com/images/I/61UTkgM6LNL._AC_UL1500_.jpg,,Pro Boxing Shorts,7,69.0,Red Boxing Shorts,nan,5.0,https://www.amazon.com/Hayabusa-Pro-Boxing-Shorts-XX-Large/dp/B09PZJNH72
https://www.amazon.com/s?k=Red+Boxing+Shorts,B09Q358V3D,$,,https://m.media-amazon.com/images/I/81X1hqrk0fL._AC_UL1500_.jpg,,Muay Thai Shorts Boxing Shorts Traditional Styles MMA Workout Kickboxing,21,35.99,Red Boxing Shorts,nan,4.7,https://www.amazon.com/Tuff-Sport-Traditional-Kickboxing-TUF-MS658-RED/dp/B09Q358V3D
https://www.amazon.com/s?k=Red+Boxing+Shorts,B07B2ZF6H7,$,-8.0,https://m.media-amazon.com/images/I/81cukVmOQFL._AC_UL1500_.jpg,,Slim Cut Muay Thai Boxing Shorts,17,55.0,Red Boxing Shorts,nan,3.8,https://www.amazon.com/Fairtex-Muay-Thai-Boxing-Shorts/dp/B07B2ZF6H7
https://www.amazon.com/s?k=Red+Boxing+Shorts,B095S8NN5Q,$,,https://m.media-amazon.com/images/I/71zbFO5jQaS._AC_UL1500_.jpg,,"MMA Fight Shorts, Men Sports Training Boxing Pants",1,26.7,Red Boxing Shorts,nan,5.0,https://www.amazon.com/Red-Plume-Shorts-Sports-Training/dp/B095S8NN5Q
https://www.amazon.com/s?k=Red+Boxing+Shorts,B09C1RJ9T2,$,,https://m.media-amazon.com/images/I/917pKtvsD1L._AC_UL1500_.jpg,,Dragon Muay Thai Shorts for Men Women Boxing Kickboxing High Grade MMA Fight Clothing Training Workout Trunk,68,24.99,Red Boxing Shorts,nan,4.4,https://www.amazon.com/SIAMKICK-Kickboxing-Clothing-Training-Workout/dp/B09C1RJ9T2
https://www.amazon.com/s?k=Red+Boxing+Shorts,B0B4JMMFNG,$,,https://m.media-amazon.com/images/I/616Ik9XFpML._AC_UL1500_.jpg,,Unisex Dragon Tiger Traditional Styles Muay Thai Shorts for Men Women,1,28.99,Red Boxing Shorts,nan,2.0,https://www.amazon.com/O2TEE-Boxing-Shorts-Kickboxing-Running/dp/B0B4JMMFNG
https://www.amazon.com/s?k=Red+Boxing+Shorts,B09GPJBTLZ,$,,https://m.media-amazon.com/images/I/51wwclU9oNL._AC_UL1500_.jpg,,Adult Competition Boxing Shorts,1,47.99,Red Boxing Shorts,nan,3.0,https://www.amazon.com/Everlast-Adult-Competition-Boxing-Shorts/dp/B09GPJBTLZ
https://www.amazon.com/s?k=Red+Boxing+Shorts,B01DAPNGPC,$,,https://m.media-amazon.com/images/I/71k6xBpjX0L._AC_UL1500_.jpg,,"Title American Flag Boxing Trunks, Youth",29,39.99,Red Boxing Shorts,nan,4.6,https://www.amazon.com/Title-Boxing-American-Trunks-Medium/dp/B01DAPNGPC
