amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Rival+Boxing+Shoes,B08N6XL6M8,$,,https://m.media-amazon.com/images/I/618mOwb6uHL._AC_UL1500_.jpg,,RIVAL Boxing RSX-Genesis Lo-Top Boxing Boots,12,60.25,Rival Boxing Shoes,nan,4.3,https://www.amazon.com/RIVAL-Boxing-RSX-Genesis-Lo-Top-Boots/dp/B08N6XL6M8
https://www.amazon.com/s?k=Rival+Boxing+Shoes,B08N6ZRMNS,$,,https://m.media-amazon.com/images/I/71qVRpukRQL._AC_UL1500_.jpg,,RIVAL Boxing RSX-Guerrero Deluxe Mid-Top Boxing Boots,7,89.99,Rival Boxing Shoes,nan,4.2,https://www.amazon.com/RIVAL-Boxing-RSX-Guerrero-Deluxe-Mid-Top/dp/B08N6ZRMNS
https://www.amazon.com/s?k=Rival+Boxing+Shoes,B09LHD2YS6,$,,https://m.media-amazon.com/images/I/71gxMLlmZKL._AC_UL1500_.jpg,,Rival Boxing Youth RSX-Future Boxing Boots - Black/White/Red,,49.5,Rival Boxing Shoes,nan,,https://www.amazon.com/Rival-Boxing-Youth-RSX-Future-Boots/dp/B09LHD2YS6
https://www.amazon.com/s?k=Rival+Boxing+Shoes,B08N6WQD7Z,$,,https://m.media-amazon.com/images/I/71qVRpukRQL._AC_UL1500_.jpg,,RIVAL Boxing RSX-Guerrero Deluxe Mid-Top Boxing Boots - Silver,1,89.99,Rival Boxing Shoes,nan,1.0,https://www.amazon.com/RIVAL-Boxing-RSX-Guerrero-Deluxe-Mid-Top/dp/B08N6WQD7Z
https://www.amazon.com/s?k=Rival+Boxing+Shoes,B09LQS4922,$,,https://m.media-amazon.com/images/I/61n30CK7IGL._AC_UL1500_.jpg,,Rival Boxing RSX-Genesis 2.0 Boxing Boots - Red,,64.99,Rival Boxing Shoes,nan,,https://www.amazon.com/Rival-Boxing-RSX-Genesis-2-0-Boots/dp/B09LQS4922
https://www.amazon.com/s?k=Rival+Boxing+Shoes,B007ZH1Q1I,$,,https://m.media-amazon.com/images/I/71CsZM-xz2L._AC_UL1500_.jpg,,Otomix Men's Stingray Escape Bodybuilding Weightlifting MMA & Wrestling Shoes,1967,129.0,Rival Boxing Shoes,nan,4.6,https://www.amazon.com/Otomix-Stingray-Escape-Bodybuilding-Wrestling/dp/B007ZH1Q1I
https://www.amazon.com/s?k=Rival+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,Ringside Diablo Wrestling Boxing Shoes,219,69.99,Rival Boxing Shoes,nan,4.1,https://www.amazon.com/Ringside-Top-Boxing-Shoe-Black/dp/B007YJYNY4
https://www.amazon.com/s?k=Rival+Boxing+Shoes,B09LQLSV3P,$,,https://m.media-amazon.com/images/I/61S9Pl-5V6L._AC_UL1500_.jpg,,Rival Boxing RSX-Genesis 2.0 Boxing Boots - Black/Black,1,64.99,Rival Boxing Shoes,nan,5.0,https://www.amazon.com/Rival-Boxing-RSX-Genesis-2-0-Boots/dp/B09LQLSV3P
https://www.amazon.com/s?k=Rival+Boxing+Shoes,B07NQP7PRZ,$,,https://m.media-amazon.com/images/I/61BzowbVQfL._AC_UL1500_.jpg,,adidas Men's Mat Hog 2.0 Wrestling Shoe,1009,89.95,Rival Boxing Shoes,nan,4.5,https://www.amazon.com/adidas-Mens-Wrestling-Shoes-Black/dp/B07NQP7PRZ
https://www.amazon.com/s?k=Rival+Boxing+Shoes,B07N33655P,$,,https://m.media-amazon.com/images/I/61io3HZ3gDL._AC_UL1500_.jpg,,Ringside Apex Elite Boxing Shoes,56,115.18,Rival Boxing Shoes,nan,4.0,https://www.amazon.com/Ringside-Elite-Boxing-Shoes/dp/B07N33655P
