amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Title+Boxing+Shorts,B01BKZEYIM,$,-16.0,https://m.media-amazon.com/images/I/71VOz5WxMuL._AC_UL1500_.jpg,,Satin Boxing Trunks,270,37.99,Title Boxing Shorts,nan,4.6,https://www.amazon.com/Ringside-Cleto-Reyes-Boxing-Trunks/dp/B01BKZEYIM
https://www.amazon.com/s?k=Title+Boxing+Shorts,B001F7S3MY,$,,https://m.media-amazon.com/images/I/51nK4h-6gBL._AC_UL1500_.jpg,,"Aerovent Elite Amateur Boxing Set (Original), Black/White, Medium",6,34.99,Title Boxing Shorts,nan,4.7,https://www.amazon.com/Aerovent-Amateur-Boxing-Original-Medium/dp/B001F7S3MY
https://www.amazon.com/s?k=Title+Boxing+Shorts,B0B489RDTV,$,,https://m.media-amazon.com/images/I/51XOkMTed3L._AC_UL1500_.jpg,,Edge Boxing Trunks 2.0 Size Youth Medium Blue/White,,29.99,Title Boxing Shorts,nan,,https://www.amazon.com/Title-Boxing-Trunks-Youth-Medium/dp/B0B489RDTV
https://www.amazon.com/s?k=Title+Boxing+Shorts,B001PB4YH8,$,,https://m.media-amazon.com/images/I/61-+SmlBt0L._AC_UL1500_.jpg,,"Aerovent Elite Amateur Boxing Set 4, Black/Red, Medium",19,34.99,Title Boxing Shorts,nan,4.4,https://www.amazon.com/Title-Aerovent-Amateur-Boxing-Medium/dp/B001PB4YH8
https://www.amazon.com/s?k=Title+Boxing+Shorts,B001G0EXE2,$,,https://m.media-amazon.com/images/I/71c6kE1EBZL._AC_UL1500_.jpg,,Title Professional Boxing Trunks,118,34.99,Title Boxing Shorts,nan,4.5,https://www.amazon.com/TITLE-Professional-Boxing-Trunks-White/dp/B001G0EXE2
https://www.amazon.com/s?k=Title+Boxing+Shorts,B001G0KFXK,$,,https://m.media-amazon.com/images/I/71jt8owRQTL._AC_UL1500_.jpg,,"Title Professional Boxing Trunks, Black/Gold, Large",7,34.99,Title Boxing Shorts,nan,2.8,https://www.amazon.com/TITLE-Professional-Boxing-Trunks-Black/dp/B001G0KFXK
https://www.amazon.com/s?k=Title+Boxing+Shorts,B004AFSS7S,$,,https://m.media-amazon.com/images/I/51j9jmvMX2L._AC_UL1500_.jpg,,Title Aerovent Elite Amateur Boxing Set 1,7,34.99,Title Boxing Shorts,nan,2.5,https://www.amazon.com/TITLE-Aerovent-Elite-Amateur-Boxing/dp/B004AFSS7S
https://www.amazon.com/s?k=Title+Boxing+Shorts,B07PX99D55,$,,https://m.media-amazon.com/images/I/61G4IWFiUgL._AC_UL1500_.jpg,,Sweat Shorts,2,29.99,Title Boxing Shorts,nan,4.5,https://www.amazon.com/Title-Boxing-Sweat-Shorts-Black/dp/B07PX99D55
https://www.amazon.com/s?k=Title+Boxing+Shorts,B01DAPNGPC,$,,https://m.media-amazon.com/images/I/71k6xBpjX0L._AC_UL1500_.jpg,,"Title American Flag Boxing Trunks, Youth",29,39.99,Title Boxing Shorts,nan,4.6,https://www.amazon.com/Title-Boxing-American-Trunks-Medium/dp/B01DAPNGPC
https://www.amazon.com/s?k=Title+Boxing+Shorts,B01CCL2JB2,$,,https://m.media-amazon.com/images/I/61SGq-7WOtL._AC_UL1500_.jpg,,Pro-Style Kickboxing Muay Thai MMA Training Gym Clothing Shorts Boxing Trunks,64,25.99,Title Boxing Shorts,nan,4.1,https://www.amazon.com/Ringside-Pro-Style-Boxing-Trunks-Medium/dp/B01CCL2JB2
