amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B07D17QDRM,$,-20.0,https://m.media-amazon.com/images/I/61oDws9TNAL._AC_UL1500_.jpg,,Men's Tech Mesh Shorts,5356,19.99,Under Armour Boxing Shorts,nan,4.6,https://www.amazon.com/Under-Armour-Shorts-Black-Pitch/dp/B07D17QDRM
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B09LNT2687,$,,https://m.media-amazon.com/images/I/711nBZEDTxL._AC_UL1500_.jpg,,Men's Project Rock Mesh Shorts,2,34.52,Under Armour Boxing Shorts,nan,5.0,https://www.amazon.com/Under-Armour-Project-Shorts-Small/dp/B09LNT2687
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B077XP82NT,$,,https://m.media-amazon.com/images/I/51sfHbqw-iL._AC_UL1500_.jpg,,Men's Tech Graphic Shorts,49415,17.03,Under Armour Boxing Shorts,nan,4.7,https://www.amazon.com/Under-Armour-Graphic-Academy-XX-Large/dp/B077XP82NT
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B09J1RCTLL,$,-7.0,https://m.media-amazon.com/images/I/51fEWAjtTkL._AC_UL1500_.jpg,,Boys' Project Rock Rumble Shorts,11,29.95,Under Armour Boxing Shorts,nan,4.2,https://www.amazon.com/Under-Armour-Project-Rumble-Shorts/dp/B09J1RCTLL
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B06Y93PLCK,$,,https://m.media-amazon.com/images/I/71jZg1qxUIL._AC_UL1500_.jpg,,"Women's On The Court 3"" Shorts",1449,29.99,Under Armour Boxing Shorts,nan,4.6,https://www.amazon.com/Under-Armour-UA-Court-Red/dp/B06Y93PLCK
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B077448D4L,$,-30.0,https://m.media-amazon.com/images/I/51L4mu4ScgL._AC_UL1500_.jpg,,"Women's On The Court 4"" Shorts",742,21.0,Under Armour Boxing Shorts,nan,4.7,https://www.amazon.com/Under-Armour-UA-Court-Red/dp/B077448D4L
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B07CZHJ5H8,,,https://m.media-amazon.com/images/I/61zFaKV3hZL._AC_UL1500_.jpg,,Boys' HeatGear Fitted Shorts,432,,Under Armour Boxing Shorts,nan,4.7,https://www.amazon.com/Under-Armour-Heatgear-Fitted-Shorts/dp/B07CZHJ5H8
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B00P0MLNX6,$,,https://m.media-amazon.com/images/I/51yXvsNel1L._AC_UL1500_.jpg,,Purestrike Hocky Compression Short with Cup - Men's,,54.95,Under Armour Boxing Shorts,nan,,https://www.amazon.com/Under-Armour-Purestrike-Hocky-Compression/dp/B00P0MLNX6
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B07XH5FX3M,$,,https://m.media-amazon.com/images/I/61PtfkD0eFL._AC_UL1500_.jpg,,Gameday 3 Pad Short,58,65.0,Under Armour Boxing Shorts,nan,4.5,https://www.amazon.com/Under-Armour-Gameday-3-Pad-Basketball/dp/B07XH5FX3M
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B00KHTJ0NM,$,,https://m.media-amazon.com/images/I/61qPzW38ItL._AC_UL1500_.jpg,,Men's HeatGear Armour Compression Mid Shorts,1139,34.98,Under Armour Boxing Shorts,nan,4.4,https://www.amazon.com/Under-Armour-HeatGear-Compression-Shorts/dp/B00KHTJ0NM
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B01FLFM2UE,$,,https://m.media-amazon.com/images/I/61FzzLtuClL._AC_UL1500_.jpg,,Men's Hg Armour Cs Comp Shorts,28,35.0,Under Armour Boxing Shorts,nan,4.3,https://www.amazon.com/Under-Armour-HeatGear-CoolSwitch-Compression/dp/B01FLFM2UE
https://www.amazon.com/s?k=Under+Armour+Boxing+Shorts,B072854GB6,,,https://m.media-amazon.com/images/I/71beP6ILpqL._AC_UL1500_.jpg,,Women's HeatGear Armour Leggings,3631,,Under Armour Boxing Shorts,nan,4.7,https://www.amazon.com/Under-Armour-HeatGear-Leggings-Metallic/dp/B072854GB6
