amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B09W9G6JCZ,$,,https://m.media-amazon.com/images/I/61wizP4WyRL._AC_UL1500_.jpg,,Men's Running Athletic Shorts Quick Dry Mesh Basketball Shorts with 2 Zipper Pockets,196,19.98,Yellow Boxing Shorts,nan,4.5,https://www.amazon.com/MAGCOMSEN-Shorts-Athletic-Zipper-Pockets/dp/B09W9G6JCZ
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07HWMVNLZ,$,,https://m.media-amazon.com/images/I/91bb0wPHZ9L._AC_UL1500_.jpg,,Slim Cut Muay Thai Boxing Shorts,6,65.95,Yellow Boxing Shorts,nan,5.0,https://www.amazon.com/Fairtex-Muay-Thai-Boxing-Shorts/dp/B07HWMVNLZ
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B08CR9KX23,$,-11.0,https://m.media-amazon.com/images/I/61pKKGdRj0L._AC_UL1500_.jpg,,Men's Workout Training Shorts Active Running Athletic Sweatpants Joggers with Zipper Pocket,252,16.88,Yellow Boxing Shorts,nan,3.2,https://www.amazon.com/Rela-Bota-Training-Athletic-Sweatpants/dp/B08CR9KX23
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B09HBFP9K9,$,,https://m.media-amazon.com/images/I/61Y3CYf9EXL._AC_UL1500_.jpg,,Men's Gym Workout Boxing Shorts Running Short Pants Fitted Training Bodybuilding Jogger Short,2139,17.97,Yellow Boxing Shorts,nan,4.2,https://www.amazon.com/EVERWORTH-Workout-Running-Training-Bodybuilding/dp/B09HBFP9K9
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B09VPBY572,$,,https://m.media-amazon.com/images/I/71y7UIHBQ6L._AC_UL1500_.jpg,,"Men's 2 in 1 Workout Running Shorts 7"" Quick Dry Athletic Shorts with Liner Gym Training Short for Men with Towel Loop",20,22.99,Yellow Boxing Shorts,nan,4.7,https://www.amazon.com/Workout-Running-Shorts-Athletic-Training/dp/B09VPBY572
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B078Y4PB28,$,,https://m.media-amazon.com/images/I/71BPSkDigfL._AC_UL1500_.jpg,,Jeet Kune Do JKD Wing Chun Tsun Kung Fu Dragon Boxing Trunks Kickboxing Thaiboxing MMA,29,49.9,Yellow Boxing Shorts,nan,4.4,https://www.amazon.com/Muay-Thai-Shorts-Kickboxing-Thaiboxing/dp/B078Y4PB28
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B084ZWFYCS,$,,https://m.media-amazon.com/images/I/71+tqq56vIL._AC_UL1500_.jpg,,Origins Boxing Short Loma Edition,,57.0,Yellow Boxing Shorts,nan,,https://www.amazon.com/Venum-Standard-Boxing-Shorts-Yellow/dp/B084ZWFYCS
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B01JYO3XS8,$,,https://m.media-amazon.com/images/I/71gmTomBEnL._AC_UL1500_.jpg,,Kid Muay Thai Boxing Shorts Kick Boxing Trunks Satin Size 2XS-M,158,19.9,Yellow Boxing Shorts,nan,4.2,https://www.amazon.com/Lofbaz-Muay-Boxing-Shorts-Yellow/dp/B01JYO3XS8
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B0B69GNCGM,$,,https://m.media-amazon.com/images/I/71k6wajS1ML._AC_UL1500_.jpg,,Youth Muay Thai Shorts for Kids (4 Years - 10 Years) Boxing Kickboxing MMA Training Trunk for Boys and Girls,78,19.99,Yellow Boxing Shorts,nan,4.6,https://www.amazon.com/SIAMKICK-Youth-Muay-Shorts-Years/dp/B0B69GNCGM
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B00JS7YH6E,$,,https://m.media-amazon.com/images/I/619e5KC7fyL._AC_UL1500_.jpg,,Pro-X Padded Compression Shorts - Adult and Youth,248,85.0,Yellow Boxing Shorts,nan,4.5,https://www.amazon.com/G-Form-Compression-Shorts-Yellow-X-Large/dp/B00JS7YH6E
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B08CRY4B24,$,,https://m.media-amazon.com/images/I/61mNEiXSodL._AC_UL1500_.jpg,,"Muay Thai Shorts for Men and Women, High Grade MMA Gym Boxing Kickboxing Shorts.",214,26.99,Yellow Boxing Shorts,nan,4.4,https://www.amazon.com/NAMAZU-Kickboxing-Training-Grappling-Clothing/dp/B08CRY4B24
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07FDS74K1,$,,https://m.media-amazon.com/images/I/71apdcl0+tL._AC_UL1500_.jpg,,Active Stripe Track Loose Fit Stretch Casual Elastic Athletic Boxing Shorts,46,24.99,Yellow Boxing Shorts,nan,4.2,https://www.amazon.com/Hat-Beyond-Stretch-Athletic-Mx06_Yellow/dp/B07FDS74K1
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B08VS9DFG9,$,-25.0,https://m.media-amazon.com/images/I/61r7tX88GeL._AC_UL1500_.jpg,,Women's Quick-Dry Running Workout Sports Shorts,731,19.54,Yellow Boxing Shorts,nan,4.0,https://www.amazon.com/Taydey-Womens-Quick-Dry-Running-Workout/dp/B08VS9DFG9
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B00KX7L24I,$,,https://m.media-amazon.com/images/I/41LwLCX3TgL._AC_UL1500_.jpg,,Pro-T Compression Short - Youth and Adult,84,60.95,Yellow Boxing Shorts,nan,4.1,https://www.amazon.com/G-Form-Pro-T-Compression-Shorts-Yellow-Adult-X-Large/dp/B00KX7L24I
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B096B9Z92Z,$,,https://m.media-amazon.com/images/I/71czPi6qgoS._AC_UL1500_.jpg,,Muay Thai Shorts Boxing Shorts for Men Women High Grade Martial Arts Training Gym Trunks Classic Boxing Shorts.,86,25.9,Yellow Boxing Shorts,nan,4.3,https://www.amazon.com/FLKKY-Shorts-Kickboxing-Shorts-F06-Yellow/dp/B096B9Z92Z
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07SQZ4YZJ,$,,https://m.media-amazon.com/images/I/71RvtejiXPL._AC_UL1500_.jpg,,Tuff Sport Muay Thai Shorts Boxing Shorts Trunks Kick Martial Arts Training Gym Clothing,32,35.99,Yellow Boxing Shorts,nan,4.4,https://www.amazon.com/Boxing-Martial-Training-Clothing-Tuf-ms637-red/dp/B07SQZ4YZJ
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B09YQZJSBK,$,,https://m.media-amazon.com/images/I/51LTMlJAMfL._AC_UL1500_.jpg,,Men's Gym Workout Shorts Running Lightweight Athletic Short Pants Bodybuilding Training,2869,17.99,Yellow Boxing Shorts,nan,4.4,https://www.amazon.com/FLYFIREFLY-Lightweight-Athletic-Bodybuilding-Training/dp/B09YQZJSBK
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07WLMPRLM,$,,https://m.media-amazon.com/images/I/81hVGyn3noL._AC_UL1500_.jpg,,Muay Thai Shorts Classic,649,39.99,Yellow Boxing Shorts,nan,4.2,https://www.amazon.com/Venum-Muay-Thai-Shorts-Classic/dp/B07WLMPRLM
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B079K7DP9D,$,,https://m.media-amazon.com/images/I/71BPSkDigfL._AC_UL1500_.jpg,,Kickboxing Martial Arts Combat Fight MMA UFC Boxer Boxing Trunks Unisex,7,49.9,Yellow Boxing Shorts,nan,3.2,https://www.amazon.com/Muay-Thai-Shorts-Kickboxing-Martial/dp/B079K7DP9D
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B007XVFLB2,$,,https://m.media-amazon.com/images/I/61hUSkko1DL._AC_UL1500_.jpg,,Muay Thai Tiger Shorts,4,34.99,Yellow Boxing Shorts,nan,3.7,https://www.amazon.com/Woldorf-USA-Grappling-Kickboxing-Equipments/dp/B007XVFLB2
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B00CLVNBTI,$,-15.0,https://m.media-amazon.com/images/I/61p0X+5BLvL._AC_UL1500_.jpg,,Women's 7-Inch Hook Slide Low Rise Solid Slider Shorts,63,25.56,Yellow Boxing Shorts,nan,4.4,https://www.amazon.com/Intensity-Womens-Slider-Softball-Shorts/dp/B00CLVNBTI
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07TV6WJ13,$,,https://m.media-amazon.com/images/I/81qnlb5ZVuL._AC_UL1500_.jpg,,Fight Shorts UFC Grappling Muay Thai BJJ Training Jiu Jitsu No Gi Wear,1102,29.99,Yellow Boxing Shorts,nan,4.4,https://www.amazon.com/ROAR-MMA-Grappling-Crossfit-Training/dp/B07TV6WJ13
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B017X3NRII,$,,https://m.media-amazon.com/images/I/71L2EPoMywL._AC_UL1500_.jpg,,Mens Mesh Shorts Elastic Sports Gym Performance Workout Boxing Jersey Basketball Pants,475,14.99,Yellow Boxing Shorts,nan,4.2,https://www.amazon.com/Hat-Beyond-Athletic-Basketball-1ih01_Yellow/dp/B017X3NRII
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B075RV9C35,$,,https://m.media-amazon.com/images/I/81sfmMnpcIL._AC_UL1500_.jpg,,Don't Tread on Me! MMA Wrestling Jiu-Jitsu Training Fight Shorts - Youths & Mens,34,36.99,Yellow Boxing Shorts,nan,4.7,https://www.amazon.com/Tread-Wrestling-Jiu-Jitsu-Training-Shorts/dp/B075RV9C35
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07KLNTRGT,$,-26.0,https://m.media-amazon.com/images/I/61RCVqVQuzL._AC_UL1500_.jpg,,Men's Soft Mesh Cool Dry Compression Yoga Workout Tight Shorts,1022,16.99,Yellow Boxing Shorts,nan,4.4,https://www.amazon.com/MIZOK-Compression-Workout-Shorts-31-35inch/dp/B07KLNTRGT
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B001G0KFXK,$,,https://m.media-amazon.com/images/I/71jt8owRQTL._AC_UL1500_.jpg,,"Title Professional Boxing Trunks, Black/Gold, Large",7,34.99,Yellow Boxing Shorts,nan,2.8,https://www.amazon.com/TITLE-Professional-Boxing-Trunks-Black/dp/B001G0KFXK
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07SH7ZW51,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,Men Boxing Shorts for Boxing Training Fitness Gym Cage Fight MMA Mauy Thai Kickboxing Trunks Clothing,301,18.99,Yellow Boxing Shorts,nan,4.3,https://www.amazon.com/Boxing-Training-Fitness-Kickboxing-Clothing/dp/B07SH7ZW51
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B01BKZEYIM,$,-16.0,https://m.media-amazon.com/images/I/71VOz5WxMuL._AC_UL1500_.jpg,,Satin Boxing Trunks,270,37.99,Yellow Boxing Shorts,nan,4.6,https://www.amazon.com/Ringside-Cleto-Reyes-Boxing-Trunks/dp/B01BKZEYIM
https://www.amazon.com/s?k=Yellow+Boxing+Shorts,B07LG54YB1,$,,https://m.media-amazon.com/images/I/61C-Gft0o4L._AC_UL1500_.jpg,,"Muay Thai Fight Shorts,MMA Shorts Clothing Training Cage Fighting Grappling Martial Arts Kickboxing Shorts Clothing",528,28.99,Yellow Boxing Shorts,nan,4.3,https://www.amazon.com/FLUORY-Clothing-Training-Grappling-Kickboxing/dp/B07LG54YB1
