,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
6,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B077NGWZNR,$,,https://m.media-amazon.com/images/I/81cac681BeL._AC_UL1500_.jpg,,muay thai shorts kick boxing training satin black gold short tiger embroidery,316.0,29.99,Black And Gold Boxing Shorts,,4.4,https://www.amazon.com/farabi-sports-boxing-training-embroidery/dp/b077ngwznr,4
70,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=3&qid=1661366327&ref=sr_pg_2,B07ZPX2HHF,$,,https://m.media-amazon.com/images/I/717uEXsyhFL._AC_UL1500_.jpg,,vikings on tour black fight shorts mens boxing mma combat bjj grappling fitness muay thai kickboxing no gi,21.0,49.95,Black And Gold Boxing Shorts,,4.3,https://www.amazon.com/hardcore-training-fight-shorts-vikings/dp/b07zpx2hhf,3
9,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B07L8QZW92,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",422.0,35.99,Black And Gold Boxing Shorts,,4.3,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b07l8qzw92,3
33,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B09FGN78BY,$,,https://m.media-amazon.com/images/I/717CYKXRyML._AC_UL1500_.jpg,,mens mma cross training boxing shorts trunks fight wear with drawstring and pocket qjk01,1601.0,21.99,Black And Gold Boxing Shorts,,4.5,https://www.amazon.com/lafroi-training-drawstring-pocket-qjk01-warrior/dp/b09fgn78by,3
37,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B0861KV3BC,$,-9.0,https://m.media-amazon.com/images/I/71T47GkPMCL._AC_UL1500_.jpg,,g fit compression shorts   black/gold,43.0,40.79,Black And Gold Boxing Shorts,,4.6,https://www.amazon.com/venum-g-fit-compression-shorts-black/dp/b0861kv3bc,3
20,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B07GVPS8DZ,$,,https://m.media-amazon.com/images/I/61Jzd5xcs1S._AC_UL1500_.jpg,,"jiu jitsu shorts   ibjjf approved no gi fight short   for grappling, mma, wrestling, muay thai & boxing",1238.0,34.95,Black And Gold Boxing Shorts,,4.6,https://www.amazon.com/gold-bjj-jiu-jitsu-shorts/dp/b07gvps8dz,3
72,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=3&qid=1661366327&ref=sr_pg_2,B07ZQJZB46,$,,https://m.media-amazon.com/images/I/61MoBuEj4hL._AC_UL1500_.jpg,,ta moko fight shorts mens boxing mma combat bjj grappling fitness muay thai kickboxing no gi,39.0,49.95,Black And Gold Boxing Shorts,,4.0,https://www.amazon.com/hardcore-training-fight-shorts-black/dp/b07zqjzb46,3
15,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B0933BDN8Y,$,,https://m.media-amazon.com/images/I/718PLdvbmSS._AC_UL1500_.jpg,,classic muay thai shorts black white red camo blue kick boxing mma combat sport sparring trunks,34.0,29.95,Black And Gold Boxing Shorts,,4.1,https://www.amazon.com/hardcore-training-classic-shorts-sparring/dp/b0933bdn8y,3
4,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B01N676OLK,$,,https://m.media-amazon.com/images/I/81XAysulxxL._AC_UL1500_.jpg,,"premium muay thai shorts handmade, thai boxing, kickboxing, mma",31.0,29.9,Black And Gold Boxing Shorts,,4.2,https://www.amazon.com/world-mma-gear-handmade-kickboxing/dp/b01n676olk,3
26,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B006CV3FA8,$,-20.0,https://m.media-amazon.com/images/I/61mtcx09pJL._AC_UL1500_.jpg,,mens womens trunks,22.0,23.99,Black And Gold Boxing Shorts,,4.0,https://www.amazon.com/ringside-pro-style-boxing-trunks-black-gold/dp/b006cv3fa8,3
41,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B08K96JD7G,$,-33.0,https://m.media-amazon.com/images/I/81KoE8pB+xS._AC_UL1500_.jpg,,"resolute muay thai shorts   kickboxing, thai boxing",421.0,29.99,Black And Gold Boxing Shorts,,4.4,https://www.amazon.com/anthem-athletics-resolute-muay-shorts/dp/b08k96jd7g,2
66,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=3&qid=1661366327&ref=sr_pg_2,B08BCKC89W,$,-27.0,https://m.media-amazon.com/images/I/61smb0AQp9L._AC_UL1500_.jpg,,mens 2 pack gym workout shorts quick dry bodybuilding weightlifting pants training running jogger with pockets,8262.0,25.59,Black And Gold Boxing Shorts,,4.3,https://www.amazon.com/coofandy-workout-bodybuilding-weightlifting-training/dp/b08bckc89w,2
18,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B08JX2V6PD,$,,https://m.media-amazon.com/images/I/6107JZy7riL._AC_UL1500_.jpg,,pacific short   no gi jiu jitsu fight shorts,344.0,39.95,Black And Gold Boxing Shorts,,4.8,https://www.amazon.com/gold-bjj-pacific-short-shorts/dp/b08jx2v6pd,2
29,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B07LH4DF7M,$,,https://m.media-amazon.com/images/I/71fIZi-GfeL._AC_UL1500_.jpg,,"womens 4"" volleyball short",341.0,20.0,Black And Gold Boxing Shorts,,4.7,https://www.amazon.com/asics-volleyball-short-black-small/dp/b07lh4df7m,2
45,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B075KNJ2DR,$,,https://m.media-amazon.com/images/I/61+sgxRtKqL._AC_UL1500_.jpg,,"50/50 muay thai shorts   kickboxing, thai boxing",482.0,33.99,Black And Gold Boxing Shorts,,4.7,https://www.amazon.com/anthem-athletics-muay-thai-shorts/dp/b075knj2dr,2
52,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B071CQQ355,$,,https://m.media-amazon.com/images/I/51SwbsHmLUL._AC_UL1500_.jpg,,mens mcs run compression shorts,284.0,89.95,Black And Gold Boxing Shorts,,4.6,https://www.amazon.com/2xu-compression-shorts-black-reflective/dp/b071cqq355,2
1,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B013WO2E1I,$,,https://m.media-amazon.com/images/I/81KjGxEWowL._AC_UL1500_.jpg,,mens bangkok inferno muay thai shorts,273.0,49.99,Black And Gold Boxing Shorts,,4.2,https://www.amazon.com/venum-bangkok-inferno-shorts-black/dp/b013wo2e1i,2
7,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B078HHXGXF,$,,https://m.media-amazon.com/images/I/71ILlKfPHzL._AC_UL1500_.jpg,,mens light speed compression shorts for running and active sports,225.0,79.95,Black And Gold Boxing Shorts,,4.6,https://www.amazon.com/2xu-compression-short-reflective-medium/dp/b078hhxgxf,2
8,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B07CK12DF8,$,,https://m.media-amazon.com/images/I/71rVwIwtTzL._AC_UL1500_.jpg,,falcon muay thai shorts,210.0,59.0,Black And Gold Boxing Shorts,,4.6,https://www.amazon.com/hayabusa-falcon-kickboxing-shorts-x-large/dp/b07ck12df8,2
48,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B07JBB49QW,$,,https://m.media-amazon.com/images/I/81npQavBugL._AC_UL1500_.jpg,,"boxing shorts – boxing trunks for training punching, sparring fitness gym kickboxing shorts men & women",147.0,27.99,Black And Gold Boxing Shorts,,4.5,https://www.amazon.com/farabi-training-punching-kickboxing-equipment/dp/b07jbb49qw,2
19,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts,B09G6H6V9S,$,,https://m.media-amazon.com/images/I/71KrcdKYhUL._AC_UL1500_.jpg,,classic muay thai shorts for men women boxing kickboxing high grade mma fight clothing training workout trunk,159.0,23.99,Black And Gold Boxing Shorts,,4.5,https://www.amazon.com/siamkick-kickboxing-clothing-training-xx-large/dp/b09g6h6v9s,2
51,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B01JYO7OLA,$,,https://m.media-amazon.com/images/I/71VNWbnTP6L._AC_UL1500_.jpg,,kid muay thai boxing shorts kick boxing trunks satin size 2xs m,158.0,19.9,Black And Gold Boxing Shorts,,4.2,https://www.amazon.com/lofbaz-muay-boxing-shorts-cream/dp/b01jyo7ola,2
54,https://www.amazon.com/s?k=Black+And+Gold+Boxing+Shorts&page=2&qid=1661366316&ref=sr_pg_1,B084G7CGXS,$,,https://m.media-amazon.com/images/I/71iIxsQrX3L._AC_UL1500_.jpg,,muay thai shorts mens fight shorts mma grapplig kick boxing training fitness trunks martial arts,150.0,19.99,Black And Gold Boxing Shorts,,4.3,https://www.amazon.com/roar-grapplig-training-fitness-martial/dp/b084g7cgxs,2
