,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
10,https://www.amazon.com/s?k=Black+Boxing+Shoes,B007YJYIUI,$,-17.0,https://m.media-amazon.com/images/I/813w4b48n-L._AC_UL1500_.jpg,,undefeated wrestling boxing shoes,68.0,66.19,Black Boxing Shoes,,4.4,https://www.amazon.com/ringside-high-boxing-shoe-black/dp/b007yjyiui,1003
90,https://www.amazon.com/boxing-shoes/s?k=boxing+shoes&page=2,B08R3VVQCM,$,,https://m.media-amazon.com/images/I/417eLIleoVL._AC_UL1500_.jpg,,"wrestling shoes for men and women, top combat speed mens weightlifting, powerlifting, workout, mma, boxing boots, lightweight, easy to wear, non slip red and black shoe",96.0,45.0,Black Boxing Shoes,,4.1,https://www.amazon.com/ninja-viking-weightlifting-powerlifting-lightweight/dp/b08r3vvqcm,1003
3,https://www.amazon.com/s?k=Black+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,219.0,69.99,Black Boxing Shoes,,4.1,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyny4,1003
33,https://www.amazon.com/s?k=Black+Boxing+Shoes,B01N7M1EMU,$,,https://m.media-amazon.com/images/I/71ARTI6iWQL._AC_UL1500_.jpg,,"title boxing speed flex encore mid boxing shoes, red/black, 10",28.0,54.99,Black Boxing Shoes,,4.6,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n7m1emu,3
60,https://www.amazon.com/s?k=Black+Boxing+Shoes&page=2&qid=1661366316&ref=sr_pg_1,B01MS17S6F,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 13 black,24.0,54.99,Black Boxing Shoes,,4.6,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ms17s6f,3
8,https://www.amazon.com/s?k=Black+Boxing+Shoes,B01N6KOR8C,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 10 black,37.0,54.99,Black Boxing Shoes,,4.7,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n6kor8c,3
35,https://www.amazon.com/s?k=Black+Boxing+Shoes,B01N1W6H34,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 11 black,33.0,54.99,Black Boxing Shoes,,4.4,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n1w6h34,3
75,https://www.amazon.com/s?k=Black+Boxing+Shoes&page=3&qid=1661366327&ref=sr_pg_2,B083LYKQCF,$,,https://m.media-amazon.com/images/I/71AIU1DxSFL._AC_UL1500_.jpg,,venum giant low boxing shoes   black/red   44 (us 10),32.0,152.68,Black Boxing Shoes,,4.3,https://www.amazon.com/venum-giant-low-boxing-shoes/dp/b083lykqcf,3
2,https://www.amazon.com/s?k=Black+Boxing+Shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Black Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,3
36,https://www.amazon.com/s?k=Black+Boxing+Shoes,B09DFYL1CK,$,,https://m.media-amazon.com/images/I/71N3urU993L._AC_UL1500_.jpg,,fistrage leather kick boxing shoes fighting sports master training mesh unisex pro mens and youth genuine boot light weight | black color boxing shoes for adults,198.0,41.99,Black Boxing Shoes,,4.2,https://www.amazon.com/fistrage-leather-fighting-training-genuine/dp/b09dfyl1ck,3
4,https://www.amazon.com/s?k=Black+Boxing+Shoes,B01NGZW4US,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 12 black,26.0,54.99,Black Boxing Shoes,,4.7,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ngzw4us,3
73,https://www.amazon.com/s?k=Black+Boxing+Shoes&page=3&qid=1661366327&ref=sr_pg_2,B01NAN0EM3,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title boxing speed flex encore mid boxing shoes, black, 13",25.0,54.99,Black Boxing Shoes,,4.3,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01nan0em3,3
1,https://www.amazon.com/s?k=Black+Boxing+Shoes,B07BS3R3P1,$,,https://m.media-amazon.com/images/I/61ibXqJztiL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.89,Black Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07bs3r3p1,3
144,https://www.amazon.com/Boxing-Boots/s?k=Boxing+Boots&page=3&qid=1661366414&ref=sr_pg_2,B07QGFS4Y6,$,-50.0,https://m.media-amazon.com/images/I/615Gw66Wd0L._AC_UL1500_.jpg,,ring freak boxing shoes,22.0,39.99,Black Boxing Shoes,,4.2,https://www.amazon.com/title-boxing-freak-shoes-black/dp/b07qgfs4y6,3
