,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
116,https://www.amazon.com/usa-boxing-shorts/s?k=usa+boxing+shorts,B01G42SCVG,$,,https://m.media-amazon.com/images/I/61GoxYmatdL._AC_UL1500_.jpg,,boxing thai boxing short camo,22.0,29.99,Black Boxing Shorts,,3.5,https://www.amazon.com/adidas-boxing-thai-short-black/dp/b01g42scvg,1003
195,https://www.amazon.com/usa-boxing-shorts/s?k=usa+boxing+shorts&page=3&qid=1661366433&ref=sr_pg_2,B08F29Y9TK,$,,https://m.media-amazon.com/images/I/71XtDwAO-kL._AC_UL1500_.jpg,,fight shorts recruit black green red purple blue mens boxing mma bjj grappling kickboxing no gi,30.0,49.95,Black Boxing Shorts,,4.2,https://www.amazon.com/hardcore-training-recruit-grappling-kickboxing/dp/b08f29y9tk,3
28,https://www.amazon.com/s?k=Black+Boxing+Shorts,B09339ZVPM,$,,https://m.media-amazon.com/images/I/71tevLXCERS._AC_UL1500_.jpg,,classic muay thai shorts black white red camo blue kick boxing mma combat sport sparring trunks,34.0,29.95,Black Boxing Shorts,,4.1,https://www.amazon.com/hardcore-training-classic-shorts-sparring/dp/b09339zvpm,3
41,https://www.amazon.com/s?k=Black+Boxing+Shorts&page=2&qid=1661366317&ref=sr_pg_1,B0B3FB4SZT,$,,https://m.media-amazon.com/images/I/61pD230Qp9L._AC_UL1500_.jpg,,muay thai boxing shorts,160.0,79.0,Black Boxing Shorts,,4.7,https://www.amazon.com/yokkao-smash-boxing-shorts-black-xl/dp/b0b3fb4szt,3
187,https://www.amazon.com/womens-boxing-shorts/s?k=womens+boxing+shorts&page=3&qid=1661366431&ref=sr_pg_2,B08HZGQ1M5,$,,https://m.media-amazon.com/images/I/71fwBwtJm+L._AC_UL1500_.jpg,,"roar womens mma fight shorts, ufc, bjj, muay thai, wod, nogi, kickboxing, wrestling, mma, workout shorts",65.0,19.99,Black Boxing Shorts,,3.9,https://www.amazon.com/womens-shorts-kickboxing-wrestling-simple-black/dp/b08hzgq1m5,3
72,https://www.amazon.com/s?k=Black+Boxing+Shorts&page=3&qid=1661366329&ref=sr_pg_2,B08C2ZWRB4,$,,https://m.media-amazon.com/images/I/611NDrIQtDL._AC_UL1500_.jpg,,men breathable fighting boxing shorts boys fitness running sports shorts,40.0,21.0,Black Boxing Shorts,,4.4,https://www.amazon.com/breathable-fighting-fitness-running-shorts-black-xl/dp/b08c2zwrb4,3
57,https://www.amazon.com/s?k=Black+Boxing+Shorts&page=2&qid=1661366317&ref=sr_pg_1,B0895PQMK5,$,,https://m.media-amazon.com/images/I/61oZ5eb6OjL._AC_UL1500_.jpg,,men breathable running shorts mma boxing fitness sports shorts,306.0,24.0,Black Boxing Shorts,,4.4,https://www.amazon.com/breathable-running-basketball-fitness-shorts-black/dp/b0895pqmk5,3
117,https://www.amazon.com/usa-boxing-shorts/s?k=usa+boxing+shorts,B084DLB4QC,$,-30.0,https://m.media-amazon.com/images/I/51xm1R3zn0L._AC_UL1500_.jpg,,mens ranger short,480.0,62.97,Black Boxing Shorts,,4.4,https://www.amazon.com/fox-racing-ranger-short-mens-black/dp/b084dlb4qc,2
8,https://www.amazon.com/s?k=Black+Boxing+Shorts,B075KL6Q1C,$,,https://m.media-amazon.com/images/I/61+sgxRtKqL._AC_UL1500_.jpg,,"50/50 muay thai shorts   kickboxing, thai boxing",482.0,33.99,Black Boxing Shorts,,4.7,https://www.amazon.com/anthem-athletics-muay-thai-shorts/dp/b075kl6q1c,2
86,https://www.amazon.com/everlast-boxing-shorts/s?k=everlast+boxing+shorts,B0763LFBCT,$,,https://m.media-amazon.com/images/I/715NpHBWgEL._AC_UL1500_.jpg,,omniflex freestanding adjustable boxing mma core punching heavy bag,491.0,129.79,Black Boxing Shorts,,4.6,https://www.amazon.com/everlast-omniflex-freestanding-heavy-black/dp/b0763lfbct,2
5,https://www.amazon.com/s?k=Black+Boxing+Shorts,B07HPC8JDV,$,,https://m.media-amazon.com/images/I/71EJ6vYJAbL._AC_UL1500_.jpg,,classic boxing trunks shorts,505.0,35.99,Black Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-boxing-trunks/dp/b07hpc8jdv,2
7,https://www.amazon.com/s?k=Black+Boxing+Shorts,B07PZ55FLN,$,,https://m.media-amazon.com/images/I/71dhjrZOB-S._AC_UL1500_.jpg,,classic muay thai & kickboxing shorts,509.0,33.99,Black Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-kickboxing-shorts/dp/b07pz55fln,2
