,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
16,https://www.amazon.com/s?k=Blue+Boxing+Shorts,B085J26R7T,$,,https://m.media-amazon.com/images/I/61jnlHs8krL._AC_UL1500_.jpg,,arrow kickboxing shorts,142.0,49.0,Blue Boxing Shorts,,4.8,https://www.amazon.com/hayabusa-arrow-kickboxing-shorts-blue/dp/b085j26r7t,3
17,https://www.amazon.com/s?k=Blue+Boxing+Shorts,B09339ZVPM,$,,https://m.media-amazon.com/images/I/71tevLXCERS._AC_UL1500_.jpg,,classic muay thai shorts black white red camo blue kick boxing mma combat sport sparring trunks,34.0,29.95,Blue Boxing Shorts,,4.1,https://www.amazon.com/hardcore-training-classic-shorts-sparring/dp/b09339zvpm,3
68,https://www.amazon.com/s?k=Blue+Boxing+Shorts&page=3&qid=1661366329&ref=sr_pg_2,B08XMGBRJW,$,,https://m.media-amazon.com/images/I/A1zxAeb2CSL._AC_UL1500_.jpg,,fight shorts recruit black green red purple blue mens boxing mma bjj grappling kickboxing no gi,30.0,49.95,Blue Boxing Shorts,,4.2,https://www.amazon.com/hardcore-training-recruit-grappling-kickboxing/dp/b08xmgbrjw,3
115,https://www.amazon.com/women-boxing-shorts/s?k=women+boxing+shorts&page=2&qid=1661366402&ref=sr_pg_1,B084G7B7FW,$,,https://m.media-amazon.com/images/I/71l2ME+YWzL._AC_UL1500_.jpg,,muay thai shorts mens fight shorts mma grapplig kick boxing training fitness trunks martial arts,150.0,19.99,Blue Boxing Shorts,,4.3,https://www.amazon.com/roar-grapplig-training-fitness-martial/dp/b084g7b7fw,2
11,https://www.amazon.com/s?k=Blue+Boxing+Shorts,B07LG48LGS,$,,https://m.media-amazon.com/images/I/61WtEEGOfJL._AC_UL1500_.jpg,,"muay thai fight shorts,mma shorts clothing training cage fighting grappling martial arts kickboxing shorts clothing",528.0,28.99,Blue Boxing Shorts,,4.3,https://www.amazon.com/fluory-clothing-training-grappling-kickboxing/dp/b07lg48lgs,2
77,https://www.amazon.com/s?k=Blue+Boxing+Shorts&page=3&qid=1661366329&ref=sr_pg_2,B01N6NT1L2,$,,https://m.media-amazon.com/images/I/61iKVZKI4fL._AC_UL1500_.jpg,,"infinity muay thai shorts   kickboxing, thai boxing, striking",933.0,33.99,Blue Boxing Shorts,,4.5,https://www.amazon.com/anthem-athletics-infinity-muay-shorts/dp/b01n6nt1l2,2
9,https://www.amazon.com/s?k=Blue+Boxing+Shorts,B089M8B1Q1,$,,https://m.media-amazon.com/images/I/71-bVaRewZL._AC_UL1500_.jpg,,roar muay thai shorts mma gym boxing fighting ufc trunks kick martial arts gear,100.0,19.99,Blue Boxing Shorts,,4.1,https://www.amazon.com/shorts-boxing-fighting-trunks-martial/dp/b089m8b1q1,2
4,https://www.amazon.com/s?k=Blue+Boxing+Shorts,B07SH7J3H6,$,,https://m.media-amazon.com/images/I/71eZ+Lw0nHL._AC_UL1500_.jpg,,men boxing shorts for boxing training fitness gym cage fight mma mauy thai kickboxing trunks clothing,301.0,18.99,Blue Boxing Shorts,,4.3,https://www.amazon.com/boxing-training-fitness-kickboxing-clothing/dp/b07sh7j3h6,2
103,https://www.amazon.com/women-boxing-shorts/s?k=women+boxing+shorts&page=2&qid=1661366402&ref=sr_pg_1,B09BRD2LRQ,$,,https://m.media-amazon.com/images/I/810U6aO+D3L._AC_UL1500_.jpg,,"muay thai shorts   boxing shorts, mma shorts, ufc shorts, fight shorts, kickboxing shorts, thai shorts retro",98.0,35.97,Blue Boxing Shorts,,4.2,https://www.amazon.com/raja-boxing-muay-thai-shorts/dp/b09brd2lrq,2
128,https://www.amazon.com/women-boxing-shorts/s?k=women+boxing+shorts&page=3&qid=1661366425&ref=sr_pg_2,B006CV3QZW,$,-13.0,https://m.media-amazon.com/images/I/61NrkI4ZTtL._AC_UL1500_.jpg,,pro style kickboxing muay thai mma training gym clothing shorts boxing trunks,53.0,25.99,Blue Boxing Shorts,,4.3,https://www.amazon.com/ringside-pro-style-boxing-trunks-black/dp/b006cv3qzw,2
