,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
1,https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B07C4F498L,$,,https://m.media-amazon.com/images/I/61ibXqJztiL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.79,Everlast Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07c4f498l,3
2,https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B07JQ3G5QC,$,,https://m.media-amazon.com/images/I/61QoFsYOMVL._AC_UL1500_.jpg,,pivt low top boxing shoes,223.0,89.99,Everlast Boxing Shoes,,4.6,https://www.amazon.com/everlast-pivt-low-boxing-shoes/dp/b07jq3g5qc,3
46,https://www.amazon.com/s?k=Everlast+Boxing+Shoes&page=2&qid=1661366320&ref=sr_pg_1,B007O1B9DU,$,-19.0,https://m.media-amazon.com/images/I/61PypN3dP0L._AC_UL1500_.jpg,,power boxing shoes,127.0,60.37,Everlast Boxing Shoes,,4.2,https://www.amazon.com/ringside-power-wrestling-boxing-shoes/dp/b007o1b9du,2
57,https://www.amazon.com/s?k=Everlast+Boxing+Shoes&page=2&qid=1661366320&ref=sr_pg_1,B07179MY82,$,,https://m.media-amazon.com/images/I/613CenaifvL._AC_UL1500_.jpg,,"stankstix shoe deodorizer shoe odor eliminator, formerly called shoestix. non toxic odor remover for shoes, boots, smelly gym bags, boxing, lacrosse, soccer & hockey gear",958.0,29.99,Everlast Boxing Shoes,,4.3,https://www.amazon.com/stankstix-odor-eliminator-deodorizer-equipment/dp/b07179my82,2
4,https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B08G9M3KS7,$,,https://m.media-amazon.com/images/I/31gC4VAqp1L._AC_UL1500_.jpg,,total balance boxing shoe,253.0,119.99,Everlast Boxing Shoes,,4.7,https://www.amazon.com/title-boxing-total-balance-black/dp/b08g9m3ks7,2
77,https://www.amazon.com/everlast-boxing-shoes/s?k=everlast+boxing+shoes,B007YJYIUI,$,-17.0,https://m.media-amazon.com/images/I/813w4b48n-L._AC_UL1500_.jpg,,undefeated wrestling boxing shoes,68.0,66.19,Everlast Boxing Shoes,,4.4,https://www.amazon.com/ringside-high-boxing-shoe-black/dp/b007yjyiui,2
11,https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B09VQ418C2,$,,https://m.media-amazon.com/images/I/71Wny4PoUjL._AC_UL1500_.jpg,,unisex adult elite boxing shoes,508.0,159.99,Everlast Boxing Shoes,,4.6,https://www.amazon.com/venum-sports-outdoors-boxing-burgundy/dp/b09vq418c2,2
25,https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B08VD1Y2V5,$,,https://m.media-amazon.com/images/I/314gcjv1ewL._AC_UL1500_.jpg,,title charged boxing shoes,65.0,79.99,Everlast Boxing Shoes,,4.4,https://www.amazon.com/title-boxing-charged-shoes/dp/b08vd1y2v5,2
58,https://www.amazon.com/s?k=Everlast+Boxing+Shoes&page=2&qid=1661366320&ref=sr_pg_1,B079CLQF1P,$,,https://m.media-amazon.com/images/I/71zj363f-OL._AC_UL1500_.jpg,,mens warrior bodybuilding boxing weightlifting mma shoes,427.0,107.99,Everlast Boxing Shoes,,4.6,https://www.amazon.com/otomix-warrior-bodybuilding-boxing-weightlifting/dp/b079clqf1p,2
28,https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Everlast Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,2
44,https://www.amazon.com/s?k=Everlast+Boxing+Shoes&page=2&qid=1661366320&ref=sr_pg_1,B01MY580F3,$,,https://m.media-amazon.com/images/I/71LhFKAOC+L._AC_UL1500_.jpg,,"warrior series jiu jitsu bjj gym duffle bag for mma, bjj, boxing gear, duffel athletic gym backpack with shoes compartment.",1001.0,46.99,Everlast Boxing Shoes,,4.7,https://www.amazon.com/elite-sports-warrior-backpack-compartment/dp/b01my580f3,2
27,https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,219.0,69.99,Everlast Boxing Shoes,,4.1,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyny4,2
5,https://www.amazon.com/s?k=Everlast+Boxing+Shoes,B082QJ81SL,$,,https://m.media-amazon.com/images/I/81SpHr1cQ4L._AC_UL1500_.jpg,,unisex adult speedex 18 boxing shoe,282.0,150.0,Everlast Boxing Shoes,,4.6,https://www.amazon.com/adidas-speedex-boxing-signal-copper/dp/b082qj81sl,2
40,https://www.amazon.com/s?k=Everlast+Boxing+Shoes&page=2&qid=1661366320&ref=sr_pg_1,B01N6KOR8C,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 10 black,37.0,54.99,Everlast Boxing Shoes,,4.7,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n6kor8c,2
