,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
6,https://www.amazon.com/s?k=Gold+Boxing+Shorts,B077NGWZNR,$,,https://m.media-amazon.com/images/I/81cac681BeL._AC_UL1500_.jpg,,muay thai shorts kick boxing training satin black gold short tiger embroidery,316.0,29.99,Gold Boxing Shorts,,4.4,https://www.amazon.com/farabi-sports-boxing-training-embroidery/dp/b077ngwznr,1003
1,https://www.amazon.com/s?k=Gold+Boxing+Shorts,B07GVPS8DZ,$,,https://m.media-amazon.com/images/I/61Jzd5xcs1S._AC_UL1500_.jpg,,"jiu jitsu shorts   ibjjf approved no gi fight short   for grappling, mma, wrestling, muay thai & boxing",1238.0,34.95,Gold Boxing Shorts,,4.6,https://www.amazon.com/gold-bjj-jiu-jitsu-shorts/dp/b07gvps8dz,1003
22,https://www.amazon.com/s?k=Gold+Boxing+Shorts,B07S5Y1BQG,$,,https://m.media-amazon.com/images/I/81SpJhZQBsL._AC_UL1500_.jpg,,girls metallic shorts sparkly shiny hot pants gold/silver/pink outfit,340.0,16.99,Gold Boxing Shorts,,4.6,https://www.amazon.com/metallic-shorts-sparkly-gymnastics-outfits/dp/b07s5y1bqg,2
70,https://www.amazon.com/s?k=Gold+Boxing+Shorts&page=3&qid=1661366331&ref=sr_pg_2,B081PTVC43,$,,https://m.media-amazon.com/images/I/71fhFmoihfL._AC_UL1500_.jpg,,boxing muay thai shorts trunks mma martial arts kickboxing fight sport clothing,123.0,25.99,Gold Boxing Shorts,,4.5,https://www.amazon.com/kurop-boxing-martial-kickboxing-clothing/dp/b081ptvc43,2
75,https://www.amazon.com/s?k=Gold+Boxing+Shorts&page=3&qid=1661366331&ref=sr_pg_2,B00CS6RGVK,$,,https://m.media-amazon.com/images/I/71c0+dW7UwL._AC_UL1500_.jpg,,mens new shiny work out dazzle boxing shorts,125.0,18.97,Gold Boxing Shorts,,4.0,https://www.amazon.com/gary-majdell-sport-dazzle-boxing/dp/b00cs6rgvk,2
72,https://www.amazon.com/s?k=Gold+Boxing+Shorts&page=3&qid=1661366331&ref=sr_pg_2,B01JYO7OLA,$,,https://m.media-amazon.com/images/I/71VNWbnTP6L._AC_UL1500_.jpg,,kid muay thai boxing shorts kick boxing trunks satin size 2xs m,158.0,19.9,Gold Boxing Shorts,,4.2,https://www.amazon.com/lofbaz-muay-boxing-shorts-cream/dp/b01jyo7ola,2
35,https://www.amazon.com/s?k=Gold+Boxing+Shorts&page=2&qid=1661366321&ref=sr_pg_1,B0B8NXQMD8,$,,https://m.media-amazon.com/images/I/818hZYkK3BL._AC_UL1500_.jpg,,classic muay thai shorts for men women boxing kickboxing high grade mma fight clothing training workout trunk,159.0,23.99,Gold Boxing Shorts,,4.5,https://www.amazon.com/siamkick-classic-kickboxing-clothing-training/dp/b0b8nxqmd8,2
52,https://www.amazon.com/s?k=Gold+Boxing+Shorts&page=2&qid=1661366321&ref=sr_pg_1,B07CK12DF8,$,,https://m.media-amazon.com/images/I/71rVwIwtTzL._AC_UL1500_.jpg,,falcon muay thai shorts,210.0,59.0,Gold Boxing Shorts,,4.6,https://www.amazon.com/hayabusa-falcon-kickboxing-shorts-x-large/dp/b07ck12df8,2
51,https://www.amazon.com/s?k=Gold+Boxing+Shorts&page=2&qid=1661366321&ref=sr_pg_1,B084H4C5L5,$,,https://m.media-amazon.com/images/I/71-rcVEXT9L._AC_UL1500_.jpg,,jiu jitsu compression shorts   base layer for gi and no gi grappling   martial arts short,217.0,24.95,Gold Boxing Shorts,,4.7,https://www.amazon.com/gold-bjj-jitsu-compression-shorts/dp/b084h4c5l5,2
7,https://www.amazon.com/s?k=Gold+Boxing+Shorts,B08JXD143K,$,,https://m.media-amazon.com/images/I/6107JZy7riL._AC_UL1500_.jpg,,pacific short   no gi jiu jitsu fight shorts,344.0,39.95,Gold Boxing Shorts,,4.8,https://www.amazon.com/gold-bjj-pacific-short-shorts/dp/b08jxd143k,2
