,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
1,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B08MQZLFF3,$,,https://m.media-amazon.com/images/I/816+RjLAzmL._AC_UL1500_.jpg,,pro boxing shoe for men & women,631,119.0,Hayabusa Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-pro-boxing-shoe-women/dp/b08mqzlff3,1003
9,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B08L9H82TS,$,,https://m.media-amazon.com/images/I/916jCRO+9qL._AC_UL1500_.jpg,,marvel hero elite boxing gloves for men and women,338,249.0,Hayabusa Boxing Shoes,,4.9,https://www.amazon.com/hayabusa-marvel-elite-boxing-gloves/dp/b08l9h82ts,2
47,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B09FYFCC56,$,,https://m.media-amazon.com/images/I/817TielIa7L._AC_UL1500_.jpg,,s4 leather boxing gloves for women & men,465,79.0,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/hayabusa-leather-boxing-gloves-women/dp/b09fyfcc56,2
25,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07CJ67QCZ,$,,https://m.media-amazon.com/images/I/91fJ2QevxPL._AC_UL1500_.jpg,,falcon muay thai shorts,210,59.0,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/hayabusa-falcon-kickboxing-shorts-small/dp/b07cj67qcz,2
7,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B091Z8Y3BH,$,-10.0,https://m.media-amazon.com/images/I/71wAF-CZwVL._AC_UL1500_.jpg,,unisex adult speedex 18 boxing shoe,282,135.0,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/adidas-unisex-speedex-boxing-metallic/dp/b091z8y3bh,2
33,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B08JWWCCCL,$,,https://m.media-amazon.com/images/I/91NCHXBqW3L._AC_UL1500_.jpg,,h5 boxing gloves for men and women,309,99.0,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/hayabusa-boxing-gloves-men-women/dp/b08jwwcccl,2
32,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07SNF4GZP,$,,https://m.media-amazon.com/images/I/81nZbbyxdWL._AC_UL1500_.jpg,,t3 kanpeki boxing gloves for men and women,349,189.0,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/hayabusa-boxing-gloves-kanpeki-leather/dp/b07snf4gzp,2
34,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B085J19PF7,$,,https://m.media-amazon.com/images/I/61SfqsLdubL._AC_UL1500_.jpg,,arrow kickboxing shorts,142,49.0,Hayabusa Boxing Shoes,,4.8,https://www.amazon.com/hayabusa-arrow-kickboxing-shorts-grey/dp/b085j19pf7,2
38,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07YCSGNJ6,$,,https://m.media-amazon.com/images/I/71Adlf1rsUS._AC_UL1500_.jpg,,s4 kids boxing gloves for boys and girls,366,49.0,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/hayabusa-s4-youth-boxing-gloves/dp/b07ycsgnj6,2
24,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B077F2MV9B,$,,https://m.media-amazon.com/images/I/81VJRKY0BcL._AC_UL1500_.jpg,,"ashi 3.0 foot grips   mma, muay thai, kickboxing, jiu jitsu, boxing and wrestling",122,35.0,Hayabusa Boxing Shoes,,4.2,https://www.amazon.com/hayabusa-ashi-foot-grips-large/dp/b077f2mv9b,2
42,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B0916L55PW,$,,https://m.media-amazon.com/images/I/81QT3zDlihL._AC_UL1500_.jpg,,t3 boxing headgear adjustable,80,119.0,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/hayabusa-t3-boxing-headgear-adjustable/dp/b0916l55pw,2
58,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B07S95YNV4,$,,https://m.media-amazon.com/images/I/81UMy4GVEuL._AC_UL1500_.jpg,,t3 striking shinguards,416,149.0,Hayabusa Boxing Shoes,,4.8,https://www.amazon.com/hayabusa-guards-kickboxing-women-black/dp/b07s95ynv4,2
2,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07JQ28SPD,$,,https://m.media-amazon.com/images/I/61vE-25vLKL._AC_UL1500_.jpg,,pivt low top boxing shoes,223,89.99,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/everlast-pivt-low-boxing-shoes/dp/b07jq28spd,2
4,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,219,69.99,Hayabusa Boxing Shoes,,4.1,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyny4,2
39,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B007YJYIUI,$,-17.0,https://m.media-amazon.com/images/I/813w4b48n-L._AC_UL1500_.jpg,,undefeated wrestling boxing shoes,68,66.19,Hayabusa Boxing Shoes,,4.4,https://www.amazon.com/ringside-high-boxing-shoe-black/dp/b007yjyiui,2
50,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B07RYQBVDS,$,,https://m.media-amazon.com/images/I/71tsfooSauL._AC_UL1500_.jpg,,"mma/boxing/jiu jitsu backpack for gym, school with shoes pocket",28,55.99,Hayabusa Boxing Shoes,,4.5,https://www.amazon.com/twister-backpack-jitsu-school-60x30x30/dp/b07ryqbvds,2
17,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07X27QG71,$,,https://m.media-amazon.com/images/I/91w+VU6Vm3L._AC_UL1500_.jpg,,"t3 boxing gloves for men and women wrist and knuckle protection, dual x hook and loop closure, splinted wrist support, 5 layer foam knuckle padding",3274,159.0,Hayabusa Boxing Shoes,,4.8,https://www.amazon.com/hayabusa-t3-boxing-gloves-white/dp/b07x27qg71,2
23,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56,54.99,Hayabusa Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,2
5,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B08KJQVYCV,$,,https://m.media-amazon.com/images/I/81BuXeIGCaL._AC_UL1500_.jpg,,t3 lx leather boxing gloves for men and women,799,199.0,Hayabusa Boxing Shoes,,4.8,https://www.amazon.com/hayabusa-italian-leather-boxing-gloves/dp/b08kjqvycv,2
35,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07179MY82,$,,https://m.media-amazon.com/images/I/613CenaifvL._AC_UL1500_.jpg,,"stankstix shoe deodorizer shoe odor eliminator, formerly called shoestix. non toxic odor remover for shoes, boots, smelly gym bags, boxing, lacrosse, soccer & hockey gear",958,29.99,Hayabusa Boxing Shoes,,4.3,https://www.amazon.com/stankstix-odor-eliminator-deodorizer-equipment/dp/b07179my82,2
3,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07R85NVSR,$,,https://m.media-amazon.com/images/I/71sGwokyEHL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625,99.39,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07r85nvsr,2
31,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B01N6KOR8C,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 10 black,37,54.99,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n6kor8c,2
54,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B07RPV3SMV,$,,https://m.media-amazon.com/images/I/71Ukgl1kp4L._AC_UL1500_.jpg,,"boxing gloves   training gloves for punching, sparring, kickboxing and muay thai   men & women   senshi black",173,52.95,Hayabusa Boxing Shoes,,4.5,https://www.amazon.com/steel-sweat-boxing-gloves-kickboxing/dp/b07rpv3smv,1
63,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B07KKMXN8Z,$,,https://m.media-amazon.com/images/I/81VvLj0Uv7S._AC_UL1500_.jpg,,"jiu jitsu bjj jaco expandable gym duffel backpack bag for mma, bjj, jiu jitsu, boxing gear, duffel athletic bag",195,44.99,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/elite-sports-athletic-convertible-training/dp/b07kkmxn8z,1
46,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B081VWYKKP,$,,https://m.media-amazon.com/images/I/919ddFJX7qL._AC_UL1500_.jpg,,"t3 lx leather adjustable mma headgear   brown, one size",30,199.0,Hayabusa Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-italian-leather-adjustable-headgear/dp/b081vwykkp,1
48,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B00KR9CPY8,$,,https://m.media-amazon.com/images/I/51Ulqy5cvgL._AC_UL1500_.jpg,,"ankle guard support protector color black for protection in muay thai, boxing, kickboxing, mma",144,24.99,Hayabusa Boxing Shoes,,4.8,https://www.amazon.com/fairtex-support-protector-protection-kickboxing/dp/b00kr9cpy8,1
30,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B083Z5DRTJ,$,,https://m.media-amazon.com/images/I/714Jug-+FAL._AC_UL1500_.jpg,,geo jiu jitsu compression spats,146,79.0,Hayabusa Boxing Shoes,,4.8,https://www.amazon.com/hayabusa-geo-jitsu-compression-spats/dp/b083z5drtj,1
28,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B074PZMCZK,$,,https://m.media-amazon.com/images/I/91IEYQCS3EL._AC_UL1500_.jpg,,"ryoko duffle bag   black/grey, 50l",52,119.0,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/hayabusa-ryoko-gym-duffel-bag/dp/b074pzmczk,1
71,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B08L6WWCQX,$,-21.0,https://m.media-amazon.com/images/I/71ECD2Hhu1L._AC_UL1500_.jpg,,skull boxing gloves,58,71.21,Hayabusa Boxing Shoes,,4.9,https://www.amazon.com/venum-skull-boxing-gloves-16-ounce/dp/b08l6wwcqx,1
49,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B07ZL537X1,$,,https://m.media-amazon.com/images/I/91JTqkUCguL._AC_UL1500_.jpg,,"marvel hero elite duffle bag   the punisher, 50l",78,149.0,Hayabusa Boxing Shoes,,4.8,https://www.amazon.com/hayabusa-marvel-punisher-duffle-bag/dp/b07zl537x1,1
21,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07NQM4GNN,$,-5.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 9",74,56.95,Hayabusa Boxing Shoes,,4.4,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqm4gnn,1
43,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B08FY2LD7Q,$,,https://m.media-amazon.com/images/I/71Xkc5M81WL._AC_UL1500_.jpg,,mens running shoes walking non slip blade type sneakers,27561,27.59,Hayabusa Boxing Shoes,,4.2,https://www.amazon.com/jsleap-running-walking-athletic-fashion/dp/b08fy2ld7q,1
51,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B074PYWH77,$,,https://m.media-amazon.com/images/I/91FhLkZ4EjL._AC_UL1500_.jpg,,"ryoko mesh gear bag   black/grey, 70l",223,79.0,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/hayabusa-ryoko-mesh-duffel-gear/dp/b074pywh77,1
26,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B08DCC4XNT,$,,https://m.media-amazon.com/images/I/71EsHvFWn0L._AC_UL1500_.jpg,,hexagon mid thigh fight short,422,69.0,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/hayabusa-hexagon-mid-thigh-fight-short/dp/b08dcc4xnt,1
56,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B06Y6J2DZ6,$,,https://m.media-amazon.com/images/I/81c+kWTEGuL._AC_UL1500_.jpg,,contender boxing gloves,4773,34.99,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/venum-contender-boxing-gloves-12-ounce/dp/b06y6j2dz6,1
10,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B00AFYIJKY,$,-29.0,https://m.media-amazon.com/images/I/71rS+TD7RSL._AC_UL1500_.jpg,,mens stingray escape bodybuilding weightlifting mma & wrestling shoes,1967,99.0,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/otomix-stingray-bodybuilding-lifting-wrestling/dp/b00afyijky,1
20,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B083QT7W7R,$,,https://m.media-amazon.com/images/I/61ZS4lSpAqL._AC_UL1500_.jpg,,mens jb elite iv wrestling shoes,1619,100.0,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/asics-elite-classic-red-white/dp/b083qt7w7r,1
8,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07NQP7PRZ,$,,https://m.media-amazon.com/images/I/61BzowbVQfL._AC_UL1500_.jpg,,mens mat hog 2.0 wrestling shoe,1009,89.95,Hayabusa Boxing Shoes,,4.5,https://www.amazon.com/adidas-mens-wrestling-shoes-black/dp/b07nqp7prz,1
65,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B002RDUZM6,$,,https://m.media-amazon.com/images/I/91-V0Q2JPsL._AC_UL1500_.jpg,,boxing gloves   durable knuckle protection w/wrist support for boxing mma muay thai or fighting sports training/sparring use,667,69.0,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/genuine-leather-boxing-pro-impact/dp/b002rduzm6,1
12,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07JWKGN6S,$,,https://m.media-amazon.com/images/I/71HaZGsP9YL._AC_UL1500_.jpg,,mens matcontrol wrestling shoes,660,119.95,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/asics-matcontrol-wrestling-performance-black/dp/b07jwkgn6s,1
27,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B077Z6JFLG,$,,https://m.media-amazon.com/images/I/61nZ84yS+lL._AC_UL1500_.jpg,,hexagon bjj shorts,577,69.0,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/hayabusa-hexagon-workout-shorts-black/dp/b077z6jflg,1
13,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07ZGVHDXN,$,,https://m.media-amazon.com/images/I/91XFB7ZCgoL._AC_UL1500_.jpg,,mens tech fall 2.0 wrestling shoe,416,109.99,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-signal-black-copper/dp/b07zgvhdxn,1
15,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B01BPL5WF0,$,-13.0,https://m.media-amazon.com/images/I/61vUTY5yA0L._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 12",271,52.49,Hayabusa Boxing Shoes,,4.5,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5wf0,1
22,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07J9LT76P,$,,https://m.media-amazon.com/images/I/71zinkW9cTL._AC_UL1500_.jpg,,arctic heavyweight zip up hoodie,397,79.0,Hayabusa Boxing Shoes,,4.4,https://www.amazon.com/hayabusa-hoodie-heavyweight-arctic-large/dp/b07j9lt76p,1
29,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B08FB7335S,$,,https://m.media-amazon.com/images/I/616FPUDxG3L._AC_UL1500_.jpg,,"wrestling shoes   high traction combat sport footwear   durable shoes for wrestlers, weightlifting training   nordic style combat footwear, athletic equipment, lightweight gym shoes",383,69.9,Hayabusa Boxing Shoes,,4.1,https://www.amazon.com/core-wrestling-shoes-weightlifting-lightweight/dp/b08fb7335s,1
18,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B06Y3JH2WX,$,,https://m.media-amazon.com/images/I/81x8YmGTQ2L._AC_UL1500_.jpg,,impact red diggital wrestling shoes (ac7491),360,109.99,Hayabusa Boxing Shoes,,4.5,https://www.amazon.com/adidas-impact-wrestling-shoes-print/dp/b06y3jh2wx,1
19,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B08KN3X69S,$,,https://m.media-amazon.com/images/I/91mhEzYWHmL._AC_UL1500_.jpg,,t3 adjustable mma headgear,360,119.0,Hayabusa Boxing Shoes,,4.7,https://www.amazon.com/hayabusa-t3-adjustable-mma-headgear/dp/b08kn3x69s,1
16,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B01BPL5VBK,$,,https://m.media-amazon.com/images/I/61TaebYLZyL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 11",346,68.94,Hayabusa Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5vbk,1
36,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B07SQQ4GW5,$,,https://m.media-amazon.com/images/I/81+CzsPLB6L._AC_UL1500_.jpg,,mens breathable walking tennis running shoes blade fashion sneakers,17908,48.99,Hayabusa Boxing Shoes,,4.2,https://www.amazon.com/wonesion-fitness-workout-comfortable-sneakers/dp/b07sqq4gw5,1
6,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes,B096FG7SM2,$,,https://m.media-amazon.com/images/I/613O1FBybDS._AC_UL1500_.jpg,,jb elite v,288,124.95,Hayabusa Boxing Shoes,,4.8,https://www.amazon.com/asics-elite-wrestling-shoes-black/dp/b096fg7sm2,1
52,https://www.amazon.com/s?k=Hayabusa+Boxing+Shoes&page=2&qid=1661366324&ref=sr_pg_1,B07LFLDV7W,$,,https://m.media-amazon.com/images/I/61zEMeKB2qL._AC_UL1500_.jpg,,glove air dryer,25,39.99,Hayabusa Boxing Shoes,,4.2,https://www.amazon.com/title-boxing-glove-air-dryer/dp/b07lfldv7w,1
