,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
1,https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B07C4F498L,$,,https://m.media-amazon.com/images/I/61ibXqJztiL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.79,High Top Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07c4f498l,4
37,https://www.amazon.com/s?k=High+Top+Boxing+Shoes&page=2&qid=1661366320&ref=sr_pg_1,B00AFLLOPE,$,,https://m.media-amazon.com/images/I/61X7ZrANxnL._AC_UL1500_.jpg,,leather high top lace up boxing shoes   black,59.0,179.39,High Top Boxing Shoes,,4.1,https://www.amazon.com/cleto-reyes-leather-boxing-shoes/dp/b00afllope,4
63,https://www.amazon.com/Everlast-Elite-High-Boxing-Shoes/dp/B07BS44VZD,B07BS44VZD,$,,https://m.media-amazon.com/images/I/411j0RNnOuL._AC_UL1500_.jpg,,"everlast new elite high top boxing shoes   black, blue, red",625.0,89.49,High Top Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07bs44vzd,4
4,https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B09DG1J9H5,$,,https://m.media-amazon.com/images/I/71HEB9csE+L._AC_UL1500_.jpg,,fistrage leather kick boxing shoes fighting sports master training mesh unisex pro mens and youth genuine boot light weight | black color boxing shoes for adults,198.0,43.99,High Top Boxing Shoes,,4.2,https://www.amazon.com/fistrage-leather-fighting-training-high-top/dp/b09dg1j9h5,4
5,https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,219.0,69.99,High Top Boxing Shoes,,4.1,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyny4,3
33,https://www.amazon.com/s?k=High+Top+Boxing+Shoes&page=2&qid=1661366320&ref=sr_pg_1,B086JFPPVY,$,,https://m.media-amazon.com/images/I/8139fI14AqS._AC_UL1500_.jpg,,high top running shoes for men lightweight breathable mesh walking athletic sneakers,961.0,69.99,High Top Boxing Shoes,,4.4,https://www.amazon.com/soulsfeng-lightweight-breathable-athletic-sneakers/dp/b086jfppvy,3
2,https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B007YJYJT8,$,-17.0,https://m.media-amazon.com/images/I/813w4b48n-L._AC_UL1500_.jpg,,undefeated wrestling boxing shoes,410.0,66.05,High Top Boxing Shoes,,4.5,https://www.amazon.com/ringside-high-boxing-shoe-black/dp/b007yjyjt8,3
34,https://www.amazon.com/s?k=High+Top+Boxing+Shoes&page=2&qid=1661366320&ref=sr_pg_1,B07JQBFHRJ,$,,https://m.media-amazon.com/images/I/61vE-25vLKL._AC_UL1500_.jpg,,pivt low top boxing shoes,223.0,89.99,High Top Boxing Shoes,,4.6,https://www.amazon.com/everlast-pivt-low-boxing-shoes/dp/b07jqbfhrj,3
20,https://www.amazon.com/s?k=High+Top+Boxing+Shoes,B07WMZQBP5,$,-36.0,https://m.media-amazon.com/images/I/61NAHiAJYcL._AC_UL1500_.jpg,,mens fashion sneakers high top walking shoes sport athletic casual shoe vogue stylish men,3756.0,43.99,High Top Boxing Shoes,,4.1,https://www.amazon.com/ahico-fashion-sneakers-walking-athletic/dp/b07wmzqbp5,3
52,https://www.amazon.com/s?k=High+Top+Boxing+Shoes&page=3&qid=1661366330&ref=sr_pg_2,B09NS9PJ1P,$,,https://m.media-amazon.com/images/I/71KcXk5+aKL._AC_UL1500_.jpg,,womens shoes hidden wedges 5.5cm fashion sneakers ankle boots bootie platform heel high top casual sports,4499.0,39.99,High Top Boxing Shoes,,4.3,https://www.amazon.com/ubfen-womens-fashion-sneakers-platform/dp/b09ns9pj1p,3
