,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
30,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B01N1W6H34,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 11 black,33.0,54.99,Hyperko Boxing Shoes,,4.4,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n1w6h34,2
3,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B007YJYLLO,$,-17.0,https://m.media-amazon.com/images/I/61m8w721sUL._AC_UL1500_.jpg,,undefeated wrestling boxing shoes,410.0,66.44,Hyperko Boxing Shoes,,4.5,https://www.amazon.com/ringside-high-boxing-shoe-white/dp/b007yjyllo,2
2,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B07BS3R3P1,$,,https://m.media-amazon.com/images/I/61ibXqJztiL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.89,Hyperko Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07bs3r3p1,2
16,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B08MS9ZBNT,$,,https://m.media-amazon.com/images/I/61yyfv+So6L._AC_UL1500_.jpg,,pro boxing shoe for men & women,631.0,119.0,Hyperko Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-pro-boxing-shoe-women/dp/b08ms9zbnt,2
7,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B091Z9LW8T,$,-10.0,https://m.media-amazon.com/images/I/71wAF-CZwVL._AC_UL1500_.jpg,,unisex adult speedex 18 boxing shoe,282.0,134.49,Hyperko Boxing Shoes,,4.6,https://www.amazon.com/adidas-unisex-speedex-boxing-metallic/dp/b091z9lw8t,2
23,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B07JQ3G5QC,$,,https://m.media-amazon.com/images/I/61QoFsYOMVL._AC_UL1500_.jpg,,pivt low top boxing shoes,223.0,89.99,Hyperko Boxing Shoes,,4.6,https://www.amazon.com/everlast-pivt-low-boxing-shoes/dp/b07jq3g5qc,2
11,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,219.0,69.99,Hyperko Boxing Shoes,,4.1,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyny4,2
10,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Hyperko Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,2
4,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B091Z9MLRZ,$,-20.0,https://m.media-amazon.com/images/I/81J+GMAv1VL._AC_UL1500_.jpg,,unisex adult hog 3 boxing shoe,45.0,79.99,Hyperko Boxing Shoes,,4.7,https://www.amazon.com/adidas-unisex-boxing-shadow-white/dp/b091z9mlrz,2
1,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B01N6KOR8C,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 10 black,37.0,54.99,Hyperko Boxing Shoes,,4.7,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n6kor8c,2
5,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B07YRGF4BS,$,,https://m.media-amazon.com/images/I/61OmZ+o6vjL._AC_UL1500_.jpg,,mens metconsf training shoes,80.0,189.99,Hyperko Boxing Shoes,,4.3,https://www.amazon.com/nike-mens-metconsf-training-shoes/dp/b07yrgf4bs,1
19,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B01BPL5PRK,$,-9.0,https://m.media-amazon.com/images/I/61vUTY5yA0L._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 6.5",193.0,54.76,Hyperko Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5prk,1
12,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B07NQM4GNN,$,-5.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 9",74.0,56.95,Hyperko Boxing Shoes,,4.4,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqm4gnn,1
14,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B074F38118,$,-15.0,https://m.media-amazon.com/images/I/41snevjvoWL._AC_UL1500_.jpg,,mens varner wrestling shoe,233.0,101.99,Hyperko Boxing Shoes,,4.7,https://www.amazon.com/adidas-adizero-varner-wrestling-shoes/dp/b074f38118,1
6,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B004BUSU0M,$,-7.0,https://m.media-amazon.com/images/I/51VUOxW155L._AC_UL1500_.jpg,,mens speedsweep vii wrestling shoes,250.0,70.45,Hyperko Boxing Shoes,,4.4,https://www.amazon.com/nike-o0057flkus884497166018-nike-speedsweep-vii/dp/b004busu0m,1
8,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B01BPL5WF0,$,-13.0,https://m.media-amazon.com/images/I/61vUTY5yA0L._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 12",271.0,52.49,Hyperko Boxing Shoes,,4.5,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5wf0,1
9,https://www.amazon.com/s?k=Hyperko+Boxing+Shoes,B06Y3JH2WX,$,,https://m.media-amazon.com/images/I/81x8YmGTQ2L._AC_UL1500_.jpg,,impact red diggital wrestling shoes (ac7491),360.0,109.99,Hyperko Boxing Shoes,,4.5,https://www.amazon.com/adidas-impact-wrestling-shoes-print/dp/b06y3jh2wx,1
