,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
69,https://www.amazon.com/s?k=Long+Boxing+Shorts&page=3&qid=1661366332&ref=sr_pg_2,B07QG5DMFJ,$,,https://m.media-amazon.com/images/I/51UuPWPGsoL._AC_UL1500_.jpg,,mma boxing shorts men fight shorts men bjj no gi shorts,500.0,19.5,Long Boxing Shorts,,4.1,https://www.amazon.com/sotf-stretch-shorts-grappling-medium/dp/b07qg5dmfj,2
48,https://www.amazon.com/s?k=Long+Boxing+Shorts&page=2&qid=1661366320&ref=sr_pg_1,B07L2LH17B,$,,https://m.media-amazon.com/images/I/61OL8yBAgxL._AC_UL1500_.jpg,,mma shorts muay thai boxing trunks comfortable kickboxing fight wear,313.0,19.0,Long Boxing Shorts,,4.2,https://www.amazon.com/sotf-shorts-boxing-comfortable-kickboxing/dp/b07l2lh17b,2
5,https://www.amazon.com/s?k=Long+Boxing+Shorts,B089T92G64,$,,https://m.media-amazon.com/images/I/51-SxcemPjL._AC_UL1500_.jpg,,mens heatgear long shorts,1329.0,30.0,Long Boxing Shorts,,4.7,https://www.amazon.com/under-armour-heatgear-shorts-midnight/dp/b089t92g64,2
66,https://www.amazon.com/s?k=Long+Boxing+Shorts&page=2&qid=1661366320&ref=sr_pg_1,B07GVSHZZ1,$,,https://m.media-amazon.com/images/I/61Jzd5xcs1S._AC_UL1500_.jpg,,"jiu jitsu shorts   ibjjf approved no gi fight short   for grappling, mma, wrestling, muay thai & boxing",1238.0,34.95,Long Boxing Shorts,,4.6,https://www.amazon.com/gold-bjj-jiu-jitsu-shorts/dp/b07gvshzz1,2
45,https://www.amazon.com/s?k=Long+Boxing+Shorts&page=2&qid=1661366320&ref=sr_pg_1,B07Q191234,$,,https://m.media-amazon.com/images/I/71dhjrZOB-S._AC_UL1500_.jpg,,classic muay thai & kickboxing shorts,509.0,33.99,Long Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-kickboxing-shorts/dp/b07q191234,2
1,https://www.amazon.com/s?k=Long+Boxing+Shorts,B07HPC8JDV,$,,https://m.media-amazon.com/images/I/71EJ6vYJAbL._AC_UL1500_.jpg,,classic boxing trunks shorts,505.0,35.99,Long Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-boxing-trunks/dp/b07hpc8jdv,2
88,https://www.amazon.com/s?k=Long+Boxing+Shorts&page=3&qid=1661366332&ref=sr_pg_2,B075KWZ75S,$,,https://m.media-amazon.com/images/I/61f3HMNm69L._AC_UL1500_.jpg,,"50/50 muay thai shorts   kickboxing, thai boxing",482.0,33.99,Long Boxing Shorts,,4.7,https://www.amazon.com/anthem-athletics-muay-thai-shorts/dp/b075kwz75s,2
4,https://www.amazon.com/s?k=Long+Boxing+Shorts,B01GBMKY56,$,,https://m.media-amazon.com/images/I/81sho7YFGgL._AC_UL1500_.jpg,,kids boxing uniform set top & shorts 2 pcs top shorts boxing clothes for kids boys/girls for 03 to 14 years,446.0,21.99,Long Boxing Shorts,,4.3,https://www.amazon.com/prime-sports-boxing-shorts-fabric/dp/b01gbmky56,2
90,https://www.amazon.com/s?k=Long+Boxing+Shorts&page=3&qid=1661366332&ref=sr_pg_2,B07421LPRC,$,-14.0,https://m.media-amazon.com/images/I/61luMZkeBRL._AC_UL1500_.jpg,,boxing shorts men muay thai fight shorts mma shorts for men bjj,426.0,19.0,Long Boxing Shorts,,4.1,https://www.amazon.com/sotf-sports-pants-boxing-shorts/dp/b07421lprc,2
21,https://www.amazon.com/s?k=Long+Boxing+Shorts,B07L8QZW92,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",422.0,35.99,Long Boxing Shorts,,4.3,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b07l8qzw92,2
