,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
25,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women,B007YJYJJ8,$,,https://m.media-amazon.com/images/I/813w4b48n-L._AC_UL1500_.jpg,,undefeated wrestling boxing shoes,410.0,61.31,Mizuno Boxing Shoes,,4.5,https://www.amazon.com/ringside-high-boxing-shoe-black/dp/b007yjyjj8,2
21,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women,B08N8PK8TR,$,-27.0,https://m.media-amazon.com/images/I/817gz5oFM0S._AC_UL1500_.jpg,,unisex adult speedex 18 boxing shoe,282.0,109.69,Mizuno Boxing Shoes,,4.6,https://www.amazon.com/adidas-unisex-speedex-metallic-collegiate/dp/b08n8pk8tr,2
8,https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B092XD423C,$,,https://m.media-amazon.com/images/I/615YqV9B+XS._AC_UL1500_.jpg,,hayabusa pro boxing shoe for men & women,631.0,119.0,Mizuno Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-pro-boxing-shoe-women/dp/b092xd423c,2
52,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women&page=2&qid=1661366347&ref=sr_pg_1,B07BS4CDQV,$,,https://m.media-amazon.com/images/I/71Cn-ol3nzL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.79,Mizuno Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07bs4cdqv,2
34,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women,B07KX854RP,$,,https://m.media-amazon.com/images/I/71Cgrid50QL._AC_UL1500_.jpg,,unisex adult elite boxing shoes,508.0,149.99,Mizuno Boxing Shoes,,4.6,https://www.amazon.com/venum-elite-boxing-shoes-black/dp/b07kx854rp,2
3,https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B08JZGLYDL,$,-9.0,https://m.media-amazon.com/images/I/81Q6AmmQThL._AC_UL1500_.jpg,,mizuno womens wave rider 25 running shoe,473.0,127.35,Mizuno Boxing Shoes,,4.5,https://www.amazon.com/mizuno-womens-waveknit-running-cayenne-phlox/dp/b08jzglydl,2
53,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women&page=2&qid=1661366347&ref=sr_pg_1,B08JZGLYDL,$,-9.0,https://m.media-amazon.com/images/I/81Q6AmmQThL._AC_UL1500_.jpg,,womens wave rider 25 running shoe,473.0,127.35,Mizuno Boxing Shoes,,4.5,https://www.amazon.com/mizuno-womens-waveknit-running-cayenne-phlox/dp/b08jzglydl,2
13,https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B08JZHDJ55,$,,https://m.media-amazon.com/images/I/816ofMCAV0L._AC_UL1500_.jpg,,mizuno mens wave rider 25 running shoe,431.0,139.95,Mizuno Boxing Shoes,,4.6,https://www.amazon.com/mizuno-mens-rider-running-imperial/dp/b08jzhdj55,2
16,https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B07HDC7NJJ,$,,https://m.media-amazon.com/images/I/81on0Tygo8L._AC_UL1500_.jpg,,mizuno womens lightning z5 volleyball shoe,379.0,119.95,Mizuno Boxing Shoes,,4.5,https://www.amazon.com/mizuno-womens-lightning-volleyball-blacksilver/dp/b07hdc7njj,2
19,https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B076Y92YR3,$,-10.0,https://m.media-amazon.com/images/I/81-47oCghTL._AC_UL1500_.jpg,,mizuno mens wave shadow 2 running shoe,371.0,99.22,Mizuno Boxing Shoes,,4.5,https://www.amazon.com/mizuno-shadow-running-trade-winds/dp/b076y92yr3,2
23,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women,B09DFYX9QP,$,-5.0,https://m.media-amazon.com/images/I/71N3urU993L._AC_UL1500_.jpg,,fistrage leather kick boxing shoes fighting sports master training mesh unisex pro mens and youth genuine boot light weight | black color boxing shoes for adults,198.0,41.99,Mizuno Boxing Shoes,,4.2,https://www.amazon.com/fistrage-leather-fighting-training-genuine/dp/b09dfyx9qp,2
17,https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B07CHSWHF1,$,-44.0,https://m.media-amazon.com/images/I/7178GxFGwFL._AC_UL1500_.jpg,,mizuno mens wave creation 20 knit running shoe,698.0,100.0,Mizuno Boxing Shoes,,4.4,https://www.amazon.com/mizuno-mens-creation-running-white/dp/b07chswhf1,2
20,https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B07XKD435X,$,-34.0,https://m.media-amazon.com/images/I/717AqWug6RL._AC_UL1500_.jpg,,mizuno mens wave lightning z6 mid volleyball shoe,196.0,79.02,Mizuno Boxing Shoes,,4.6,https://www.amazon.com/mizuno-wave-lightning-volleyball-white-navy/dp/b07xkd435x,2
24,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women,B007YJYO3Y,$,-10.0,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,181.0,62.74,Mizuno Boxing Shoes,,4.3,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyo3y,2
70,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women&page=3&qid=1661366373&ref=sr_pg_2,B08R3YLG2Y,$,,https://m.media-amazon.com/images/I/414dP5MAe8L._AC_UL1500_.jpg,,"wrestling shoes for men and women, top combat speed mens weightlifting, powerlifting, workout, mma, boxing boots, lightweight, easy to wear, non slip red and black shoe",96.0,60.0,Mizuno Boxing Shoes,,4.1,https://www.amazon.com/ninja-viking-weightlifting-powerlifting-lightweight/dp/b08r3ylg2y,2
64,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women&page=2&qid=1661366347&ref=sr_pg_1,B00AFLLOPE,$,,https://m.media-amazon.com/images/I/61X7ZrANxnL._AC_UL1500_.jpg,,leather high top lace up boxing shoes   black,59.0,179.39,Mizuno Boxing Shoes,,4.1,https://www.amazon.com/cleto-reyes-leather-boxing-shoes/dp/b00afllope,2
33,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women,B07N33PK3K,$,-17.0,https://m.media-amazon.com/images/I/61zc8L2p6+L._AC_UL1500_.jpg,,apex elite boxing shoes,56.0,100.02,Mizuno Boxing Shoes,,4.0,https://www.amazon.com/ringside-elite-boxing-shoes/dp/b07n33pk3k,2
28,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Mizuno Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,2
5,https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B091Z9QFGQ,$,-20.0,https://m.media-amazon.com/images/I/71loLmtImGL._AC_UL1500_.jpg,,adidas unisex adult hog 3 boxing shoe,30.0,80.17,Mizuno Boxing Shoes,,4.5,https://www.amazon.com/adidas-unisex-boxing-white-shadow/dp/b091z9qfgq,2
61,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women&page=2&qid=1661366347&ref=sr_pg_1,B07W4NYMYQ,$,,https://m.media-amazon.com/images/I/611MhSpbtWL._AC_UL1500_.jpg,,"unisex taekwondo shoes, martial arts sports shoes sports boxing karate martial arts taichi shoes lightweight shoes for kids women men adult with a storage bag",26.0,41.78,Mizuno Boxing Shoes,,3.9,https://www.amazon.com/unisex-taekwondo-martial-lightweight-storage/dp/b07w4nymyq,2
27,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women,B08MQZLFF3,$,,https://m.media-amazon.com/images/I/816+RjLAzmL._AC_UL1500_.jpg,,pro boxing shoe for men & women,631.0,119.0,Mizuno Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-pro-boxing-shoe-women/dp/b08mqzlff3,2
38,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+for+women,B07QGFS4Y6,$,-50.0,https://m.media-amazon.com/images/I/615Gw66Wd0L._AC_UL1500_.jpg,,ring freak boxing shoes,22.0,39.99,Mizuno Boxing Shoes,,4.2,https://www.amazon.com/title-boxing-freak-shoes-black/dp/b07qgfs4y6,2
11,https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B086G687TS,$,,https://m.media-amazon.com/images/I/61S8jiTYatL._AC_UL1500_.jpg,,mizuno mens wave inspire 16 running shoe road,2357.0,89.95,Mizuno Boxing Shoes,,4.6,https://www.amazon.com/mizuno-411306-5353-15-1100-wave-inspire-17/dp/b086g687ts,2
9,https://www.amazon.com/s?k=Mizuno+Boxing+Shoes,B086FKJ3WV,$,,https://m.media-amazon.com/images/I/81hgEjgeJLL._AC_UL1500_.jpg,,mizuno womens wave inspire 17 running shoe,875.0,84.95,Mizuno Boxing Shoes,,4.4,https://www.amazon.com/mizuno-411310-5353-10-0850-wave-inspire-17/dp/b086fkj3wv,2
