,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
91,https://www.amazon.com/Boxing-Equipment-Nike-Other-Sports-Types/s?keywords=Boxing+Equipment&rh=n%3A3400051%2Cp_89%3ANike&c=ts&ts_id=3400051,B07FKFHTFM,$,-12.0,https://m.media-amazon.com/images/I/6165R2HC2vL._AC_UL1500_.jpg,,"nike womens pro 3"" shorts",140.0,39.95,Nike Boxing Shorts,,4.7,https://www.amazon.com/nike-womens-short-gunsmoke-heather/dp/b07fkfhtfm,2
2,https://www.amazon.com/s?k=Nike+Boxing+Shorts,B088Y9C1RC,$,,https://m.media-amazon.com/images/I/61p+XnoHg0L._AC_UL1500_.jpg,,womens soccer dri fit park iii shorts,53.0,29.9,Nike Boxing Shorts,,4.6,https://www.amazon.com/nike-womens-park-shorts-navy/dp/b088y9c1rc,2
5,https://www.amazon.com/s?k=Nike+Boxing+Shorts,B07XJDX2GF,$,-29.0,https://m.media-amazon.com/images/I/71FWnuZNE3L._AC_UL1500_.jpg,,"womens pro 3"" shorts",689.0,39.0,Nike Boxing Shorts,,4.7,https://www.amazon.com/nike-womens-training-shorts-black/dp/b07xjdx2gf,2
31,https://www.amazon.com/Boxing-Clothing/b?ie=UTF8&node=2371049011,B0019CEOXC,$,,https://m.media-amazon.com/images/I/815LROh32kS._AC_UL1500_.jpg,,balboa mens apollo movie boxing american flag shorts,595.0,21.95,Nike Boxing Shorts,,4.3,https://www.amazon.com/rocky-balboa-apollo-boxing-american/dp/b0019ceoxc,2
44,https://www.amazon.com/Boxing-Clothing/b?ie=UTF8&node=2371049011,B07HPH23SC,$,,https://m.media-amazon.com/images/I/71x4LQTKsfL._AC_UL1500_.jpg,,classic boxing trunks shorts,505.0,35.99,Nike Boxing Shorts,,4.6,https://www.amazon.com/anthem-athletics-classic-boxing-trunks/dp/b07hph23sc,2
15,https://www.amazon.com/s?k=Nike+Boxing+Shorts,B07FKMWMS6,$,,https://m.media-amazon.com/images/I/51R9rmR6WqL._AC_UL1500_.jpg,,"challenger shorts 7"" bf",499.0,64.0,Nike Boxing Shorts,,4.4,https://www.amazon.com/nike-challenger-dri-fit-running-shorts/dp/b07fkmwms6,2
56,https://www.amazon.com/s?k=Boxing+Clothing&i=fashion&rh=n%3A2371049011&page=2&c=ts&qid=1661366347&ts_id=2371049011&ref=sr_pg_1,B075KL6Q1C,$,,https://m.media-amazon.com/images/I/61+sgxRtKqL._AC_UL1500_.jpg,,"50/50 muay thai shorts   kickboxing, thai boxing",482.0,33.99,Nike Boxing Shorts,,4.7,https://www.amazon.com/anthem-athletics-muay-thai-shorts/dp/b075kl6q1c,2
14,https://www.amazon.com/s?k=Nike+Boxing+Shorts,B081BTGXNP,$,,https://m.media-amazon.com/images/I/61zsZYLMQEL._AC_UL1500_.jpg,,"womens pro 3"" training shorts (indigo force/black, medium) (royal blue",83.0,52.43,Nike Boxing Shorts,,4.7,https://www.amazon.com/nike-womens-training-shorts-indigo/dp/b081btgxnp,2
52,https://www.amazon.com/s?k=Boxing+Clothing&i=fashion&rh=n%3A2371049011&page=2&c=ts&qid=1661366347&ts_id=2371049011&ref=sr_pg_1,B07SJ6WXNG,$,,https://m.media-amazon.com/images/I/71ZycLIuKHL._AC_UL1500_.jpg,,men boxing shorts for boxing training fitness gym cage fight mma mauy thai kickboxing trunks clothing,301.0,18.99,Nike Boxing Shorts,,4.3,https://www.amazon.com/boxing-training-fitness-kickboxing-clothing/dp/b07sj6wxng,2
21,https://www.amazon.com/s?k=Nike+Boxing+Shorts,B07MB9ZNTK,$,,https://m.media-amazon.com/images/I/51ZwdpzD+oL._AC_UL1500_.jpg,,womens running shorts,270.0,49.99,Nike Boxing Shorts,,4.5,https://www.amazon.com/nike-womens-compression-ao9977-thunder/dp/b07mb9zntk,2
117,https://www.amazon.com/Boxing-Equipment-Nike-Other-Sports-Types/s?k=Boxing+Equipment&i=sports-and-fitness&rh=n%3A3400051%2Cp_89%3ANike&page=2&c=ts&qid=1661366382&ts_id=3400051&ref=sr_pg_1,B09BK9GXRF,$,,https://m.media-amazon.com/images/I/5111NCSf5zL._AC_UL1500_.jpg,,nike womens dri fit stock 3 compression shorts,252.0,34.86,Nike Boxing Shorts,,4.4,https://www.amazon.com/nike-womens-stock-compression-shorts/dp/b09bk9gxrf,2
84,https://www.amazon.com/women-boxing-shorts/s?k=women+boxing+shorts&page=3,B08RD7W1K8,$,,https://m.media-amazon.com/images/I/611lWYAn-DL._AC_UL1500_.jpg,,design your own muay thai shorts combat fight mma boxer boxing trunks,52.0,21.99,Nike Boxing Shorts,,4.0,https://www.amazon.com/o2tee-customized-stretch-clothing-waistband/dp/b08rd7w1k8,2
