,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
74,https://www.amazon.com/PUMA-Womens-Eskiva-HI-Boxing/dp/B01EJBH69I,B01EJBH69I,$,,"https://m.media-amazon.com/images/I/41GPvHsU3rL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41i5uDJrgdL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41BRhsYwyLL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/31scbCnZvvL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41ySSMhclpL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41GTmyqtcLL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/510Va5D-VyL._AC_UL1500_.jpg",,puma womens eskiva very hi wns boxing shoe,43.0,55.53,Puma Boxing Shoes,,4.6,https://www.amazon.com/puma-womens-eskiva-hi-boxing/dp/b01ejbh69i,1003
42,https://www.amazon.com/women-boxing-shoes/s?k=women+boxing+shoes,B09DFYX9QP,$,-5.0,https://m.media-amazon.com/images/I/71N3urU993L._AC_UL1500_.jpg,,fistrage leather kick boxing shoes fighting sports master training mesh unisex pro mens and youth genuine boot light weight | black color boxing shoes for adults,198.0,41.99,Puma Boxing Shoes,,4.2,https://www.amazon.com/fistrage-leather-fighting-training-genuine/dp/b09dfyx9qp,2
33,https://www.amazon.com/s?k=Puma+Boxing+Shoes&page=2&qid=1661366325&ref=sr_pg_1,B08KL7VKBJ,$,-24.0,https://m.media-amazon.com/images/I/81feuOVCNsL._AC_UL1500_.jpg,,mens axelion running shoe,86.0,56.86,Puma Boxing Shoes,,4.7,https://www.amazon.com/puma-mens-axelion-running-black-high/dp/b08kl7vkbj,2
57,https://www.amazon.com/women-boxing-shoes/s?k=women+boxing+shoes,B07N33PK3K,$,-17.0,https://m.media-amazon.com/images/I/61zc8L2p6+L._AC_UL1500_.jpg,,apex elite boxing shoes,56.0,100.02,Puma Boxing Shoes,,4.0,https://www.amazon.com/ringside-elite-boxing-shoes/dp/b07n33pk3k,2
48,https://www.amazon.com/women-boxing-shoes/s?k=women+boxing+shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Puma Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,2
12,https://www.amazon.com/s?k=Puma+Boxing+Shoes,B07693Q2L4,$,,https://m.media-amazon.com/images/I/510d5fpSo8L._AC_UL1500_.jpg,,womens fenty by rihanna suede cleated creeper platform sneakers shoes casual   green,460.0,34.95,Puma Boxing Shoes,,4.7,https://www.amazon.com/puma-womens-cleated-creeper-vanilla/dp/b07693q2l4,2
46,https://www.amazon.com/women-boxing-shoes/s?k=women+boxing+shoes,B007YJYO3Y,$,-10.0,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,181.0,62.74,Puma Boxing Shoes,,4.3,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyo3y,2
79,https://www.amazon.com/women-boxing-shoes/s?k=women+boxing+shoes&page=2&qid=1661366368&ref=sr_pg_1,B09VQ3BG29,$,-5.0,https://m.media-amazon.com/images/I/71Sdi0v0YqL._AC_UL1500_.jpg,,unisex adult elite boxing shoes,508.0,151.53,Puma Boxing Shoes,,4.6,https://www.amazon.com/venum-sports-outdoors-elite-boxing/dp/b09vq3bg29,2
51,https://www.amazon.com/women-boxing-shoes/s?k=women+boxing+shoes,B07C9GFSGM,$,,https://m.media-amazon.com/images/I/71Cn-ol3nzL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.39,Puma Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07c9gfsgm,2
47,https://www.amazon.com/women-boxing-shoes/s?k=women+boxing+shoes,B07JQ28SPD,$,,https://m.media-amazon.com/images/I/61vE-25vLKL._AC_UL1500_.jpg,,pivt low top boxing shoes,223.0,89.99,Puma Boxing Shoes,,4.6,https://www.amazon.com/everlast-pivt-low-boxing-shoes/dp/b07jq28spd,2
