,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
71,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts,B07GVPS8DZ,$,,https://m.media-amazon.com/images/I/61Jzd5xcs1S._AC_UL1500_.jpg,,"jiu jitsu shorts   ibjjf approved no gi fight short   for grappling, mma, wrestling, muay thai & boxing",1238.0,34.95,Short Boxing Shorts,,4.6,https://www.amazon.com/gold-bjj-jiu-jitsu-shorts/dp/b07gvps8dz,1003
100,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts&page=2&qid=1661366440&ref=sr_pg_1,B01G42SCVG,$,,https://m.media-amazon.com/images/I/61GoxYmatdL._AC_UL1500_.jpg,,boxing thai boxing short camo,22.0,29.99,Short Boxing Shorts,,3.5,https://www.amazon.com/adidas-boxing-thai-short-black/dp/b01g42scvg,1003
47,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=2&qid=1661366411&ref=sr_pg_1,B096LFK88Z,$,,https://m.media-amazon.com/images/I/41johgh8JDS._AC_UL1500_.jpg,,mens gym workout boxing shorts running short pants fitted training bodybuilding jogger short,2139.0,17.97,Short Boxing Shorts,,4.2,https://www.amazon.com/everworth-workout-running-training-bodybuilding/dp/b096lfk88z,1003
50,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=2&qid=1661366411&ref=sr_pg_1,B004WWTX6O,$,,https://m.media-amazon.com/images/I/8196SeZvmmL._AC_UL1500_.jpg,,"mma compression shorts, lightweight trunks for kick boxing training cage fighting muay thai bjj grappling and combat sports, base layer short for fitness running exercise bodybuilding workout",221.0,27.99,Short Boxing Shorts,,4.3,https://www.amazon.com/rdx-thermal-compression-training-exercise/dp/b004wwtx6o,1003
25,https://www.amazon.com/s?k=Short+Boxing+Shorts,B07SJ6WXC9,$,,https://m.media-amazon.com/images/I/71DJICcysQL._AC_UL1500_.jpg,,mrx boxing shorts for men training fighting muay thai shorts boxing mma bjj short kickboxing trunks clothing,183.0,18.99,Short Boxing Shorts,,4.4,https://www.amazon.com/mrx-training-fighting-kickboxing-clothing/dp/b07sj6wxc9,1003
60,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=2&qid=1661366411&ref=sr_pg_1,B07FLTNG7V,$,,https://m.media-amazon.com/images/I/91g4tgW7aVL._AC_UL1500_.jpg,,kid muay thai boxing shorts 2 years old   10 years old,180.0,23.9,Short Boxing Shorts,,4.6,https://www.amazon.com/nakarad-muay-boxing-shorts-years/dp/b07fltng7v,3
8,https://www.amazon.com/s?k=Short+Boxing+Shorts,B07SH7VS7F,$,,https://m.media-amazon.com/images/I/71eZ+Lw0nHL._AC_UL1500_.jpg,,men boxing shorts for boxing training fitness gym cage fight mma mauy thai kickboxing trunks clothing,301.0,18.99,Short Boxing Shorts,,4.3,https://www.amazon.com/boxing-training-fitness-kickboxing-clothing/dp/b07sh7vs7f,3
21,https://www.amazon.com/s?k=Short+Boxing+Shorts,B07CHWWRLJ,$,,https://m.media-amazon.com/images/I/91fJ2QevxPL._AC_UL1500_.jpg,,falcon muay thai shorts,210.0,59.0,Short Boxing Shorts,,4.6,https://www.amazon.com/hayabusa-falcon-kickboxing-shorts-medium/dp/b07chwwrlj,3
27,https://www.amazon.com/s?k=Short+Boxing+Shorts,B07VPBK5F5,$,,https://m.media-amazon.com/images/I/61RgtcHxHAL._AC_UL1500_.jpg,,boxing shorts for men training muay thai shorts women kickboxing shorts for kids,250.0,19.0,Short Boxing Shorts,,4.1,https://www.amazon.com/sotf-shorts-elastic-kickboxing-x-large/dp/b07vpbk5f5,3
38,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=2&qid=1661366411&ref=sr_pg_1,B08M3G9ZTR,$,,https://m.media-amazon.com/images/I/61c7M3wMRUL._AC_UL1500_.jpg,,mma shorts for men fight shorts men bjj boxing trunks for men grappling,276.0,24.0,Short Boxing Shorts,,4.3,https://www.amazon.com/suotf-running-trainning-shorts-su0dk2-33-34-6inch/dp/b08m3g9ztr,3
96,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts&page=2&qid=1661366440&ref=sr_pg_1,B0895PQMK5,$,,https://m.media-amazon.com/images/I/61oZ5eb6OjL._AC_UL1500_.jpg,,men breathable running shorts mma boxing fitness sports shorts,306.0,24.0,Short Boxing Shorts,,4.4,https://www.amazon.com/breathable-running-basketball-fitness-shorts-black/dp/b0895pqmk5,3
51,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=2&qid=1661366411&ref=sr_pg_1,B07L2LH17B,$,,https://m.media-amazon.com/images/I/61OL8yBAgxL._AC_UL1500_.jpg,,mma shorts muay thai boxing trunks comfortable kickboxing fight wear,313.0,19.0,Short Boxing Shorts,,4.2,https://www.amazon.com/sotf-shorts-boxing-comfortable-kickboxing/dp/b07l2lh17b,3
22,https://www.amazon.com/s?k=Short+Boxing+Shorts,B07NS1VTRT,$,,https://m.media-amazon.com/images/I/71hB+y4jc3L._AC_UL1500_.jpg,,"muay thai shorts size:xs s m l xl 2xl 3xl 4xl, boxing shorts for men/women/kids with many colors",380.0,26.99,Short Boxing Shorts,,4.4,https://www.amazon.com/fluory-muay-thai-shorts-size/dp/b07ns1vtrt,3
33,https://www.amazon.com/s?k=Short+Boxing+Shorts,B08K97WKWX,$,-33.0,https://m.media-amazon.com/images/I/81KoE8pB+xS._AC_UL1500_.jpg,,"resolute muay thai shorts   kickboxing, thai boxing",421.0,29.99,Short Boxing Shorts,,4.4,https://www.amazon.com/anthem-athletics-resolute-muay-shorts/dp/b08k97wkwx,3
14,https://www.amazon.com/s?k=Short+Boxing+Shorts,B07L8QZW92,$,,https://m.media-amazon.com/images/I/61AjOz64MmL._AC_UL1500_.jpg,,"muay thai shorts for men and women, high grade mma gym boxing kickboxing shorts.",422.0,35.99,Short Boxing Shorts,,4.3,https://www.amazon.com/namazu-kickboxing-training-grappling-clothing/dp/b07l8qzw92,3
62,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=2&qid=1661366411&ref=sr_pg_1,B07421LPRC,$,-14.0,https://m.media-amazon.com/images/I/61luMZkeBRL._AC_UL1500_.jpg,,boxing shorts men muay thai fight shorts mma shorts for men bjj,426.0,19.0,Short Boxing Shorts,,4.1,https://www.amazon.com/sotf-sports-pants-boxing-shorts/dp/b07421lprc,3
12,https://www.amazon.com/s?k=Short+Boxing+Shorts,B099F2W189,$,,https://m.media-amazon.com/images/I/71qQYhM2N2L._AC_UL1500_.jpg,,muay thai shorts boxing shorts for men women high grade martial arts training gym trunks classic boxing shorts.,86.0,18.99,Short Boxing Shorts,,4.3,https://www.amazon.com/flkky-shorts-boxing-women-martial/dp/b099f2w189,3
7,https://www.amazon.com/s?k=Short+Boxing+Shorts,B01CCL2EUI,$,-17.0,https://m.media-amazon.com/images/I/61NrkI4ZTtL._AC_UL1500_.jpg,,pro style kickboxing muay thai mma training gym clothing shorts boxing trunks,64.0,24.99,Short Boxing Shorts,,4.1,https://www.amazon.com/ringside-pro-style-boxing-trunks-medium/dp/b01ccl2eui,3
109,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts&page=3&qid=1661366461&ref=sr_pg_2,B08HZCS1Q6,$,,https://m.media-amazon.com/images/I/71fwBwtJm+L._AC_UL1500_.jpg,,"roar womens mma fight shorts, ufc, bjj, muay thai, wod, nogi, kickboxing, wrestling, mma, workout shorts",65.0,19.99,Short Boxing Shorts,,3.9,https://www.amazon.com/womens-shorts-kickboxing-wrestling-simple-black/dp/b08hzcs1q6,3
16,https://www.amazon.com/s?k=Short+Boxing+Shorts,B075KL6Q1C,$,,https://m.media-amazon.com/images/I/61+sgxRtKqL._AC_UL1500_.jpg,,"50/50 muay thai shorts   kickboxing, thai boxing",482.0,33.99,Short Boxing Shorts,,4.7,https://www.amazon.com/anthem-athletics-muay-thai-shorts/dp/b075kl6q1c,3
46,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=2&qid=1661366411&ref=sr_pg_1,B0B3FB4SZT,$,,https://m.media-amazon.com/images/I/61pD230Qp9L._AC_UL1500_.jpg,,muay thai boxing shorts,160.0,79.0,Short Boxing Shorts,,4.7,https://www.amazon.com/yokkao-smash-boxing-shorts-black-xl/dp/b0b3fb4szt,3
43,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=2&qid=1661366411&ref=sr_pg_1,B09VKMN5F1,$,,https://m.media-amazon.com/images/I/71+5rPiY3GL._AC_UL1500_.jpg,,classic muay thai shorts for men women boxing kickboxing high grade mma fight clothing training workout trunk,159.0,23.99,Short Boxing Shorts,,4.5,https://www.amazon.com/siamkick-classic-kickboxing-clothing-training/dp/b09vkmn5f1,3
93,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=3&qid=1661366437&ref=sr_pg_2,B01JYO6TE8,$,,https://m.media-amazon.com/images/I/71VNWbnTP6L._AC_UL1500_.jpg,,kid muay thai boxing shorts kick boxing trunks satin size 2xs m,158.0,19.9,Short Boxing Shorts,,4.2,https://www.amazon.com/lofbaz-muay-boxing-shorts-cream/dp/b01jyo6te8,3
58,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=2&qid=1661366411&ref=sr_pg_1,B09VY7PV88,$,,https://m.media-amazon.com/images/I/81yc7F7PP+L._AC_UL1500_.jpg,,dragon muay thai shorts for men women boxing kickboxing high grade mma fight clothing training workout trunk,68.0,24.99,Short Boxing Shorts,,4.4,https://www.amazon.com/siamkick-kickboxing-clothing-training-workout/dp/b09vy7pv88,3
70,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts,B084G7B7FW,$,,https://m.media-amazon.com/images/I/71l2ME+YWzL._AC_UL1500_.jpg,,muay thai shorts mens fight shorts mma grapplig kick boxing training fitness trunks martial arts,150.0,19.99,Short Boxing Shorts,,4.3,https://www.amazon.com/roar-grapplig-training-fitness-martial/dp/b084g7b7fw,3
85,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=3&qid=1661366437&ref=sr_pg_2,B01MDOYEQL,$,,https://m.media-amazon.com/images/I/81npQavBugL._AC_UL1500_.jpg,,"boxing shorts – boxing trunks for training punching, sparring fitness gym kickboxing shorts men & women",147.0,27.99,Short Boxing Shorts,,4.5,https://www.amazon.com/farabi-training-punching-kickboxing-equipment/dp/b01mdoyeql,3
108,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts&page=3&qid=1661366461&ref=sr_pg_2,B085HZPNBM,$,,https://m.media-amazon.com/images/I/61y54FIeLoL._AC_UL1500_.jpg,,arrow kickboxing shorts,142.0,49.0,Short Boxing Shorts,,4.8,https://www.amazon.com/hayabusa-arrow-kickboxing-shorts-black/dp/b085hzpnbm,3
13,https://www.amazon.com/s?k=Short+Boxing+Shorts,B083QH2GBB,$,,https://m.media-amazon.com/images/I/718da2wk6jL._AC_UL1500_.jpg,,"mma shorts for training & kickboxing – fighting shorts for martial arts, cage fight, muay thai, bjj, boxing, grappling & combat sports – workout clothing for bodybuilding, gym exercise & running",69.0,34.99,Short Boxing Shorts,,4.7,https://www.amazon.com/rdx-mma-shorts-training-kickboxing/dp/b083qh2gbb,3
115,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts&page=3&qid=1661366461&ref=sr_pg_2,B07423HGMF,$,,https://m.media-amazon.com/images/I/61xwDT12PNL._AC_UL1500_.jpg,,mma shorts men fight shorts men bjj muay thai shorts kickboxing,128.0,19.0,Short Boxing Shorts,,4.0,https://www.amazon.com/suotf-boxing-cotton-training-kickboxing/dp/b07423hgmf,3
102,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts&page=2&qid=1661366440&ref=sr_pg_1,B081PTVC43,$,,https://m.media-amazon.com/images/I/71fhFmoihfL._AC_UL1500_.jpg,,boxing muay thai shorts trunks mma martial arts kickboxing fight sport clothing,123.0,25.99,Short Boxing Shorts,,4.5,https://www.amazon.com/kurop-boxing-martial-kickboxing-clothing/dp/b081ptvc43,3
69,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts,B09B1TR5B2,$,,https://m.media-amazon.com/images/I/71UTdvoQIwL._AC_UL1500_.jpg,,youth muay thai shorts for kids (4 years   10 years) boxing kickboxing mma training trunk for boys and girls,78.0,19.99,Short Boxing Shorts,,4.6,https://www.amazon.com/siamkick-youth-muay-shorts-years/dp/b09b1tr5b2,3
45,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=2&qid=1661366411&ref=sr_pg_1,B089M8HMZV,$,,https://m.media-amazon.com/images/I/71tAsW-jkwL._AC_UL1500_.jpg,,roar muay thai shorts mma gym boxing fighting ufc trunks kick martial arts gear,100.0,19.99,Short Boxing Shorts,,4.1,https://www.amazon.com/shorts-boxing-fighting-trunks-martial/dp/b089m8hmzv,3
79,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=3&qid=1661366437&ref=sr_pg_2,B082Q6BGMG,$,,https://m.media-amazon.com/images/I/51UeaWVcGgL._AC_UL1500_.jpg,,mma bjj unisex training ufc cage fighting grappling martial arts boxing muay thai wrestling shorts.,84.0,19.99,Short Boxing Shorts,,4.2,https://www.amazon.com/training-fighting-grappling-martial-wrestling/dp/b082q6bgmg,3
63,https://www.amazon.com/Muay-Shorts-boxing-Boxing-Training/dp/B00Q34TMCY,B00Q34TMCY,$,,"https://m.media-amazon.com/images/I/51kHn88PejL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/51RUsp2WgNL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/51igqTd+BuL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/51ADPk58uZL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/51tbvC7IgbL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/5143UGee5uL._AC_UL1500_.jpg",,muay thai shorts kickboxing shorts mma boxing training,473.0,35.99,Short Boxing Shorts,,4.4,https://www.amazon.com/muay-shorts-boxing-boxing-training/dp/b00q34tmcy,3
11,https://www.amazon.com/s?k=Short+Boxing+Shorts,B01GBMKY4M,$,,https://m.media-amazon.com/images/I/81sho7YFGgL._AC_UL1500_.jpg,,kids boxing uniform set top & shorts 2 pcs top shorts boxing clothes for kids boys/girls for 03 to 14 years,446.0,21.99,Short Boxing Shorts,,4.3,https://www.amazon.com/prime-sports-boxing-shorts-fabric/dp/b01gbmky4m,3
66,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts,B09BZW6ZYW,$,,https://m.media-amazon.com/images/I/81tqalSIPML._AC_UL1500_.jpg,,"muay thai shorts   boxing shorts, mma shorts, ufc shorts, fight shorts, kickboxing shorts, thai shorts retro",98.0,35.97,Short Boxing Shorts,,4.2,https://www.amazon.com/raja-boxing-muay-thai-shorts/dp/b09bzw6zyw,3
2,https://www.amazon.com/s?k=Short+Boxing+Shorts,B07S3DK5YN,$,,https://m.media-amazon.com/images/I/61OeWYsZp1L._AC_UL1500_.jpg,,"infinity muay thai shorts   kickboxing, thai boxing, striking",933.0,33.99,Short Boxing Shorts,,4.5,https://www.amazon.com/anthem-athletics-infinity-muay-shorts/dp/b07s3dk5yn,3
64,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts,B09DCD26M2,$,,https://m.media-amazon.com/images/I/61E0wWwkSAL._AC_UL1500_.jpg,,muay thai shorts simple stylish boxing shorts soft smooth nylon fighting frapple workout shorts,27.0,25.99,Short Boxing Shorts,,3.9,https://www.amazon.com/fluory-stylish-fighting-grapple-navyblue/dp/b09dcd26m2,3
65,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts,B08R9SZCZM,$,,https://m.media-amazon.com/images/I/71YQ2Bns1AL._AC_UL1500_.jpg,,wolf skull muay thai shorts combat fight mma boxer boxing trunks,26.0,19.99,Short Boxing Shorts,,4.4,https://www.amazon.com/o2tee-stretch-clothing-elastic-waistband/dp/b08r9szczm,3
86,https://www.amazon.com/s?k=Short+Boxing+Shorts&page=3&qid=1661366437&ref=sr_pg_2,B078LPJ1R5,$,,https://m.media-amazon.com/images/I/51ss5Tr1GXL._AC_UL1500_.jpg,,kids muay thai boxing shorts kick boxing trunks satin,28.0,21.99,Short Boxing Shorts,,4.3,https://www.amazon.com/asmanjune-boxing-shorts-trunks-satin/dp/b078lpj1r5,3
99,https://www.amazon.com/muay-thai-shorts/s?k=muay+thai+shorts&page=2&qid=1661366440&ref=sr_pg_1,B078Y6ZZY3,$,,https://m.media-amazon.com/images/I/71BPSkDigfL._AC_UL1500_.jpg,,jeet kune do jkd wing chun tsun kung fu dragon boxing trunks kickboxing thaiboxing mma,29.0,49.9,Short Boxing Shorts,,4.4,https://www.amazon.com/muay-thai-shorts-kickboxing-thaiboxing/dp/b078y6zzy3,3
