,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
1,https://www.amazon.com/s?k=Title+Boxing+Shoes,B08G9M3KS7,$,,https://m.media-amazon.com/images/I/31gC4VAqp1L._AC_UL1500_.jpg,,total balance boxing shoe,253.0,119.99,Title Boxing Shoes,,4.7,https://www.amazon.com/title-boxing-total-balance-black/dp/b08g9m3ks7,1003
22,https://www.amazon.com/Title-Boxing-Total-Balance-Shoe/dp/B08G9W1HMW,B08G9W1HMW,$,,"https://m.media-amazon.com/images/I/31gC4VAqp1L._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/41U2veW28gL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/31L9pcbFWgL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/411MqDKuRqL._AC_UL1500_.jpg,https://m.media-amazon.com/images/I/516IArh9NiL._AC_UL1500_.jpg",,title boxing total balance boxing shoe,253.0,36.47,Title Boxing Shoes,,4.7,https://www.amazon.com/title-boxing-total-balance-shoe/dp/b08g9w1hmw,1003
4,https://www.amazon.com/s?k=Title+Boxing+Shoes,B01NCPYQO5,$,,https://m.media-amazon.com/images/I/711BDTxAPnL._AC_UL1500_.jpg,,"title boxing speed flex encore mid boxing shoes, black/white, 10",21.0,54.99,Title Boxing Shoes,,4.5,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpyqo5,3
2,https://www.amazon.com/s?k=Title+Boxing+Shoes,B08VD3XH6F,$,,https://m.media-amazon.com/images/I/31MpwmD-f1L._AC_UL1500_.jpg,,title charged boxing shoes,65.0,79.99,Title Boxing Shoes,,4.4,https://www.amazon.com/title-boxing-charged-shoes/dp/b08vd3xh6f,3
28,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=2&qid=1661366412&ref=sr_pg_1,B07QGFS4Y6,$,-50.0,https://m.media-amazon.com/images/I/615Gw66Wd0L._AC_UL1500_.jpg,,ring freak boxing shoes,22.0,39.99,Title Boxing Shoes,,4.2,https://www.amazon.com/title-boxing-freak-shoes-black/dp/b07qgfs4y6,3
10,https://www.amazon.com/s?k=Title+Boxing+Shoes,B01NCPZ7CX,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 9 black,23.0,54.99,Title Boxing Shoes,,4.4,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz7cx,3
19,https://www.amazon.com/s?k=Title+Boxing+Shoes,B01MS17S6F,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 13 black,24.0,54.99,Title Boxing Shoes,,4.6,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ms17s6f,3
12,https://www.amazon.com/s?k=Title+Boxing+Shoes,B01NAN0EM3,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title boxing speed flex encore mid boxing shoes, black, 13",25.0,54.99,Title Boxing Shoes,,4.3,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01nan0em3,3
7,https://www.amazon.com/s?k=Title+Boxing+Shoes,B01NGZW4US,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 12 black,26.0,54.99,Title Boxing Shoes,,4.7,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ngzw4us,3
15,https://www.amazon.com/s?k=Title+Boxing+Shoes,B01N7M1EMU,$,,https://m.media-amazon.com/images/I/71ARTI6iWQL._AC_UL1500_.jpg,,"title boxing speed flex encore mid boxing shoes, red/black, 10",28.0,54.99,Title Boxing Shoes,,4.6,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n7m1emu,3
9,https://www.amazon.com/s?k=Title+Boxing+Shoes,B01N1W6H34,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 11 black,33.0,54.99,Title Boxing Shoes,,4.4,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n1w6h34,3
6,https://www.amazon.com/s?k=Title+Boxing+Shoes,B01N6KOR8C,$,,https://m.media-amazon.com/images/I/61MQ-Cd0-rL._AC_UL1500_.jpg,,title speed flex encore tall boxing shoes size 10 black,37.0,54.99,Title Boxing Shoes,,4.7,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01n6kor8c,3
3,https://www.amazon.com/s?k=Title+Boxing+Shoes,B01NCPZ2VQ,$,,https://m.media-amazon.com/images/I/71RIj29PWuL._AC_UL1500_.jpg,,"title speed flex encore mid boxing shoes, black, 8",56.0,54.99,Title Boxing Shoes,,4.2,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpz2vq,3
21,https://www.amazon.com/s?k=Title+Boxing+Shoes,B0843JZMBG,$,,https://m.media-amazon.com/images/I/41RgtZbqksL._AC_UL1500_.jpg,,fighting superior boxing shoes,37.0,99.99,Title Boxing Shoes,,4.6,https://www.amazon.com/fighting-superior-boxing-shoes-black/dp/b0843jzmbg,2
20,https://www.amazon.com/s?k=Title+Boxing+Shoes,B091Z9Y69J,$,,https://m.media-amazon.com/images/I/81J+GMAv1VL._AC_UL1500_.jpg,,unisex adult hog 3 boxing shoe,45.0,97.41,Title Boxing Shoes,,4.7,https://www.amazon.com/adidas-unisex-boxing-shadow-white/dp/b091z9y69j,2
23,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=2&qid=1661366412&ref=sr_pg_1,B07N33655P,$,,https://m.media-amazon.com/images/I/61io3HZ3gDL._AC_UL1500_.jpg,,apex elite boxing shoes,56.0,115.18,Title Boxing Shoes,,4.0,https://www.amazon.com/ringside-elite-boxing-shoes/dp/b07n33655p,2
8,https://www.amazon.com/s?k=Title+Boxing+Shoes,B09DG1L329,$,-5.0,https://m.media-amazon.com/images/I/71N3urU993L._AC_UL1500_.jpg,,fistrage leather kick boxing shoes fighting sports master training mesh unisex pro mens and youth genuine boot light weight | black color boxing shoes for adults,198.0,41.99,Title Boxing Shoes,,4.2,https://www.amazon.com/fistrage-leather-fighting-training-genuine/dp/b09dg1l329,2
16,https://www.amazon.com/s?k=Title+Boxing+Shoes,B007YJYM54,$,-19.0,https://m.media-amazon.com/images/I/61m8w721sUL._AC_UL1500_.jpg,,undefeated wrestling boxing shoes,410.0,64.99,Title Boxing Shoes,,4.5,https://www.amazon.com/ringside-high-boxing-shoe-white/dp/b007yjym54,2
13,https://www.amazon.com/s?k=Title+Boxing+Shoes,B007YJYNY4,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,219.0,69.99,Title Boxing Shoes,,4.1,https://www.amazon.com/ringside-top-boxing-shoe-black/dp/b007yjyny4,2
14,https://www.amazon.com/s?k=Title+Boxing+Shoes,B082QJ81SL,$,,https://m.media-amazon.com/images/I/81SpHr1cQ4L._AC_UL1500_.jpg,,unisex adult speedex 18 boxing shoe,282.0,150.0,Title Boxing Shoes,,4.6,https://www.amazon.com/adidas-speedex-boxing-signal-copper/dp/b082qj81sl,2
26,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=2&qid=1661366412&ref=sr_pg_1,B08MQX2RY8,$,,https://m.media-amazon.com/images/I/61WaDsjhAdL._AC_UL1500_.jpg,,pro boxing shoe for men & women,631.0,119.0,Title Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-pro-boxing-shoe-women/dp/b08mqx2ry8,2
5,https://www.amazon.com/s?k=Title+Boxing+Shoes,B07BS4CB81,$,,https://m.media-amazon.com/images/I/71sGwokyEHL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.79,Title Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07bs4cb81,2
11,https://www.amazon.com/s?k=Title+Boxing+Shoes,B09JL628ZB,$,,https://m.media-amazon.com/images/I/713VmDiVY0L._AC_UL1500_.jpg,,unisex adult elite boxing shoes,508.0,154.99,Title Boxing Shoes,,4.6,https://www.amazon.com/venum-elite-boxing-shoes-dark/dp/b09jl628zb,2
24,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=2&qid=1661366412&ref=sr_pg_1,B07ZGVHDXN,$,,https://m.media-amazon.com/images/I/91XFB7ZCgoL._AC_UL1500_.jpg,,mens tech fall 2.0 wrestling shoe,416.0,109.99,Title Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-signal-black-copper/dp/b07zgvhdxn,1
33,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=3&qid=1661366435&ref=sr_pg_2,B07PYYJ5NJ,$,-20.0,https://m.media-amazon.com/images/I/71M3nEbsiPL._AC_UL1500_.jpg,,womens highlight ace 2.0 volleyball shoe,1544.0,100.43,Title Boxing Shoes,,4.5,https://www.amazon.com/under-armour-womens-highlight-volleyball/dp/b07pyyj5nj,1
29,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=2&qid=1661366412&ref=sr_pg_1,B07NQPHHLS,$,,https://m.media-amazon.com/images/I/61BzowbVQfL._AC_UL1500_.jpg,,mens mat hog 2.0 wrestling shoe,1009.0,89.95,Title Boxing Shoes,,4.5,https://www.amazon.com/adidas-mens-wrestling-shoes-black/dp/b07nqphhls,1
17,https://www.amazon.com/s?k=Title+Boxing+Shoes,B07JWKGN6S,$,,https://m.media-amazon.com/images/I/71HaZGsP9YL._AC_UL1500_.jpg,,mens matcontrol wrestling shoes,660.0,119.95,Title Boxing Shoes,,4.6,https://www.amazon.com/asics-matcontrol-wrestling-performance-black/dp/b07jwkgn6s,1
35,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=3&qid=1661366435&ref=sr_pg_2,B08CS1ZBLL,$,,https://m.media-amazon.com/images/I/61cZUHiYDnL._AC_UL1500_.jpg,,mens jb elite iv wrestling shoes,1619.0,125.95,Title Boxing Shoes,,4.7,https://www.amazon.com/asics-elite-wrestling-shoes-white/dp/b08cs1zbll,1
27,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=2&qid=1661366412&ref=sr_pg_1,B01BPL5WVE,$,-13.0,https://m.media-amazon.com/images/I/61TaebYLZyL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 12.5",109.0,52.47,Title Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5wve,1
32,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=3&qid=1661366435&ref=sr_pg_2,B08N8TJSSW,$,-20.0,https://m.media-amazon.com/images/I/81vIHZqsAcS._AC_UL1500_.jpg,,unisex adult box hog 3 sneaker,381.0,80.0,Title Boxing Shoes,,4.6,https://www.amazon.com/adidas-unisex-boxing-royal-collegiate/dp/b08n8tjssw,1
30,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=2&qid=1661366412&ref=sr_pg_1,B06Y3JH2WX,$,,https://m.media-amazon.com/images/I/81x8YmGTQ2L._AC_UL1500_.jpg,,impact red diggital wrestling shoes (ac7491),360.0,109.99,Title Boxing Shoes,,4.5,https://www.amazon.com/adidas-impact-wrestling-shoes-print/dp/b06y3jh2wx,1
25,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=2&qid=1661366412&ref=sr_pg_1,B07BHZRD5F,$,,https://m.media-amazon.com/images/I/81b-hi9i4eL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, grey/grey/grey, 8.5",61.0,65.95,Title Boxing Shoes,,4.5,https://www.amazon.com/adidas-wrestling-ankle-strap-light/dp/b07bhzrd5f,1
34,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=3&qid=1661366435&ref=sr_pg_2,B01BPL5XRM,$,-13.0,https://m.media-amazon.com/images/I/61TaebYLZyL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 13",216.0,52.48,Title Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5xrm,1
31,https://www.amazon.com/s?k=Title+Boxing+Shoes&page=2&qid=1661366412&ref=sr_pg_1,B07NQLS87R,$,-5.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 8.5 us",67.0,56.94,Title Boxing Shoes,,4.3,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqls87r,1
