,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
2,https://www.amazon.com/s?k=White+Boxing+Shoes,B007YJYLLO,$,-17.0,https://m.media-amazon.com/images/I/61m8w721sUL._AC_UL1500_.jpg,,undefeated wrestling boxing shoes,410.0,66.44,White Boxing Shoes,,4.5,https://www.amazon.com/ringside-high-boxing-shoe-white/dp/b007yjyllo,1003
11,https://www.amazon.com/s?k=White+Boxing+Shoes,B09HJWSTRZ,$,,https://m.media-amazon.com/images/I/71xlrPoQOoL._AC_UL1500_.jpg,,unisex adult speedex 18 boxing shoe,282.0,149.95,White Boxing Shoes,,4.6,https://www.amazon.com/adidas-unisex-speedex-boxing-white/dp/b09hjwstrz,1003
1,https://www.amazon.com/s?k=White+Boxing+Shoes,B007YJYV6E,$,-13.0,https://m.media-amazon.com/images/I/61kAJfA0oIL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,51.0,69.99,White Boxing Shoes,,4.2,https://www.amazon.com/ringside-top-boxing-shoe-white/dp/b007yjyv6e,1003
15,https://www.amazon.com/s?k=White+Boxing+Shoes,B091Z9QFGQ,$,-20.0,https://m.media-amazon.com/images/I/71loLmtImGL._AC_UL1500_.jpg,,unisex adult hog 3 boxing shoe,30.0,80.17,White Boxing Shoes,,4.5,https://www.amazon.com/adidas-unisex-boxing-white-shadow/dp/b091z9qfgq,1003
47,https://www.amazon.com/s?k=White+Boxing+Shoes&page=2&qid=1661366437&ref=sr_pg_1,B01NCPYQO5,$,,https://m.media-amazon.com/images/I/711BDTxAPnL._AC_UL1500_.jpg,,"title boxing speed flex encore mid boxing shoes, black/white, 10",21.0,54.99,White Boxing Shoes,,4.5,https://www.amazon.com/title-speed-flex-encore-boxing-shoes/dp/b01ncpyqo5,3
50,https://www.amazon.com/s?k=White+Boxing+Shoes&page=2&qid=1661366437&ref=sr_pg_1,B07NQLS87R,$,-8.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 8.5 us",67.0,55.48,White Boxing Shoes,,4.3,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqls87r,2
29,https://www.amazon.com/s?k=White+Boxing+Shoes,B07NQGLGCG,$,,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 11.5",71.0,56.46,White Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqglgcg,2
4,https://www.amazon.com/s?k=White+Boxing+Shoes,B07NQM4GNN,$,-5.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 9",74.0,56.94,White Boxing Shoes,,4.4,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqm4gnn,2
12,https://www.amazon.com/s?k=White+Boxing+Shoes,B07NQMZ46N,$,-21.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 11",75.0,47.52,White Boxing Shoes,,4.5,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqmz46n,2
8,https://www.amazon.com/s?k=White+Boxing+Shoes,B07NQNJ3N2,$,-6.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 10.5",83.0,56.68,White Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqnj3n2,2
30,https://www.amazon.com/s?k=White+Boxing+Shoes,B07NQLS5XM,$,-6.0,https://m.media-amazon.com/images/I/91fOhnFADvL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, white/royal/red, 9.5",87.0,56.48,White Boxing Shoes,,4.4,https://www.amazon.com/adidas-wrestling-ankle-strap-white/dp/b07nqls5xm,2
74,https://www.amazon.com/s?k=White+Boxing+Shoes&page=3&qid=1661366459&ref=sr_pg_2,B08X1NM3Q8,$,,https://m.media-amazon.com/images/I/71TLsV3J2OS._AC_UL1500_.jpg,,mens mat hog 2.0 wrestling shoe (red/black/white,61.0,99.99,White Boxing Shoes,,4.6,https://www.amazon.com/adidas-mens-wrestling-black-white/dp/b08x1nm3q8,2
53,https://www.amazon.com/s?k=White+Boxing+Shoes&page=2&qid=1661366437&ref=sr_pg_1,B07887CC1D,$,,https://m.media-amazon.com/images/I/816zD4gKddL._AC_UL1500_.jpg,,mens cael v8.0 wrestling shoe,89.0,87.95,White Boxing Shoes,,4.5,https://www.amazon.com/asics-wrestling-shoes-black-white/dp/b07887cc1d,2
44,https://www.amazon.com/s?k=White+Boxing+Shoes&page=2&qid=1661366437&ref=sr_pg_1,B01BPL5Y9Y,$,,https://m.media-amazon.com/images/I/61vUTY5yA0L._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 14",99.0,64.9,White Boxing Shoes,,4.2,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5y9y,2
33,https://www.amazon.com/s?k=White+Boxing+Shoes&page=2&qid=1661366437&ref=sr_pg_1,B01BPL5WVE,$,-13.0,https://m.media-amazon.com/images/I/61TaebYLZyL._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 12.5",109.0,52.47,White Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5wve,2
3,https://www.amazon.com/s?k=White+Boxing+Shoes,B07NQNVBKZ,$,-27.0,https://m.media-amazon.com/images/I/61vBa205VkL._AC_UL1500_.jpg,,mat wizard hype white/silver wrestling shoes (ef2113),122.0,109.95,White Boxing Shoes,,4.8,https://www.amazon.com/adidas-wizard-wrestling-shoes-silver/dp/b07nqnvbkz,2
24,https://www.amazon.com/s?k=White+Boxing+Shoes,B01BPL5PRK,$,-9.0,https://m.media-amazon.com/images/I/61vUTY5yA0L._AC_UL1500_.jpg,,"mens hvc wrestling shoe, black/white/iron metallic, 6.5",193.0,54.76,White Boxing Shoes,,4.6,https://www.amazon.com/adidas-wrestling-ankle-strap-black/dp/b01bpl5prk,2
45,https://www.amazon.com/s?k=White+Boxing+Shoes&page=2&qid=1661366437&ref=sr_pg_1,B08CYZXQ14,$,-33.0,https://m.media-amazon.com/images/I/81cuTtP+n6L._AC_UL1500_.jpg,,mens lite racer adapt 4.0 running shoe,9007.0,43.53,White Boxing Shoes,,4.6,https://www.amazon.com/adidas-racer-adapt-black-white/dp/b08cyzxq14,2
