,amazon_search_url,asin,currency,discount_pct,image_urls,images,name,num_of_ratings,price,search_term,search_term_id,star_rating,url,asin_score
16,https://www.amazon.com/s?k=Womens+Boxing+Shoes,B08MQZLFF3,$,,https://m.media-amazon.com/images/I/816+RjLAzmL._AC_UL1500_.jpg,,pro boxing shoe for men & women,631.0,119.0,Womens Boxing Shoes,,4.5,https://www.amazon.com/hayabusa-pro-boxing-shoe-women/dp/b08mqzlff3,1003
84,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+women&page=2&qid=1661366453&ref=sr_pg_1,B08R3YLG2Y,$,,https://m.media-amazon.com/images/I/414dP5MAe8L._AC_UL1500_.jpg,,"wrestling shoes for men and women, top combat speed mens weightlifting, powerlifting, workout, mma, boxing boots, lightweight, easy to wear, non slip red and black shoe",96.0,60.0,Womens Boxing Shoes,,4.1,https://www.amazon.com/ninja-viking-weightlifting-powerlifting-lightweight/dp/b08r3ylg2y,3
57,https://www.amazon.com/s?k=Womens+Boxing+Shoes&page=2&qid=1661366446&ref=sr_pg_1,B08S3941PP,$,,https://m.media-amazon.com/images/I/71P1jn7dW0L._AC_UL1500_.jpg,,womens hiking boots leather lace up anti slip work ankle boots outdoor trekking snow winter shoes,678.0,41.99,Womens Boxing Shoes,,4.6,https://www.amazon.com/ax-boxing-leather-anti-slip-numeric_7/dp/b08s3941pp,3
21,https://www.amazon.com/s?k=Womens+Boxing+Shoes,B0719HRCT9,$,-30.0,https://m.media-amazon.com/images/I/81zc8i+8qfL._AC_UL1500_.jpg,,womens cloudfoam pure running shoe,74559.0,49.0,Womens Boxing Shoes,,4.6,https://www.amazon.com/adidas-performance-womens-cloudfoam-running/dp/b0719hrct9,2
15,https://www.amazon.com/s?k=Womens+Boxing+Shoes,B087TNR8NF,$,,https://m.media-amazon.com/images/I/81LbK3dKHYL._AC_UL1500_.jpg,,womens hovr highlight ace volleyball shoe,312.0,125.0,Womens Boxing Shoes,,4.7,https://www.amazon.com/under-armour-womens-highlight-white/dp/b087tnr8nf,2
54,https://www.amazon.com/s?k=Womens+Boxing+Shoes&page=2&qid=1661366446&ref=sr_pg_1,B09B31YBQW,$,-20.0,https://m.media-amazon.com/images/I/71DdMUl4mEL._AC_UL1500_.jpg,,women’s levitate stealthfit 5 neutral running shoe,394.0,119.95,Womens Boxing Shoes,,4.5,https://www.amazon.com/brooks-levitate-stealthfit-black-blue/dp/b09b31ybqw,2
5,https://www.amazon.com/s?k=Womens+Boxing+Shoes,B007YJYM54,$,-19.0,https://m.media-amazon.com/images/I/61m8w721sUL._AC_UL1500_.jpg,,undefeated wrestling boxing shoes,410.0,64.99,Womens Boxing Shoes,,4.5,https://www.amazon.com/ringside-high-boxing-shoe-white/dp/b007yjym54,2
35,https://www.amazon.com/s?k=Womens+Boxing+Shoes,B096FFJGMK,$,,https://m.media-amazon.com/images/I/51--iF1tMKS._AC_UL1500_.jpg,,womens gel renma pickleball shoes,414.0,85.0,Womens Boxing Shoes,,4.3,https://www.amazon.com/asics-womens-gel-renma-pickleball-silver/dp/b096ffjgmk,2
9,https://www.amazon.com/s?k=Womens+Boxing+Shoes,B07KX854RP,$,,https://m.media-amazon.com/images/I/71Cgrid50QL._AC_UL1500_.jpg,,unisex adult elite boxing shoes,508.0,149.99,Womens Boxing Shoes,,4.6,https://www.amazon.com/venum-elite-boxing-shoes-black/dp/b07kx854rp,2
79,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+women&page=2&qid=1661366453&ref=sr_pg_1,B08MVBKQ6F,$,,https://m.media-amazon.com/images/I/61CkxzlxI-L._AC_UL1500_.jpg,,adult resonator mid basketball shoes for men and women,598.0,70.0,Womens Boxing Shoes,,4.5,https://www.amazon.com/reebok-unisex-resonator-sneaker-vector/dp/b08mvbkq6f,2
24,https://www.amazon.com/s?k=Womens+Boxing+Shoes,B07SJHCLLQ,$,-24.0,https://m.media-amazon.com/images/I/61R0LSpaHZL._AC_UL1500_.jpg,,womens fitness shoes,623.0,134.19,Womens Boxing Shoes,,4.6,https://www.amazon.com/nike-metcon-womens-training-black-white-wolf/dp/b07sjhcllq,2
4,https://www.amazon.com/s?k=Womens+Boxing+Shoes,B009BGYTGU,$,,https://m.media-amazon.com/images/I/81jaTXVDymL._AC_UL1500_.jpg,,diablo wrestling boxing shoes,271.0,55.53,Womens Boxing Shoes,,4.1,https://www.amazon.com/ringside-diablo-boxing-shoes-black/dp/b009bgytgu,2
13,https://www.amazon.com/s?k=Womens+Boxing+Shoes,B07BS4CDQV,$,,https://m.media-amazon.com/images/I/71Cn-ol3nzL._AC_UL1500_.jpg,,"new elite high top boxing shoes   black, blue, red",625.0,99.79,Womens Boxing Shoes,,4.7,https://www.amazon.com/everlast-elite-high-boxing-shoes/dp/b07bs4cdqv,2
76,https://www.amazon.com/boxing-shoes-women/s?k=boxing+shoes+women&page=2&qid=1661366453&ref=sr_pg_1,B08PVY8ZWX,$,,https://m.media-amazon.com/images/I/81SDU8gruOL._AC_UL1500_.jpg,,mens training gymnastics shoe,628.0,87.15,Womens Boxing Shoes,,4.5,https://www.amazon.com/adidas-hog-2-boxing-shoes-black/dp/b08pvy8zwx,2
66,https://www.amazon.com/s?k=Womens+Boxing+Shoes&page=2&qid=1661366446&ref=sr_pg_1,B07KX86LHZ,$,-51.0,https://m.media-amazon.com/images/I/71JkexOsCZL._AC_UL1500_.jpg,,womens crazyflight x 3 volleyball shoe,669.0,63.19,Womens Boxing Shoes,,4.6,https://www.amazon.com/adidas-womens-crazyflight-volleyball-black/dp/b07kx86lhz,2
71,https://www.amazon.com/s?k=Womens+Boxing+Shoes&page=2&qid=1661366446&ref=sr_pg_1,B07T9DL311,$,-6.0,https://m.media-amazon.com/images/I/71DwgKUi1QL._AC_UL1500_.jpg,,lite racer adapt shoes womens,676.0,64.95,Womens Boxing Shoes,,4.5,https://www.amazon.com/adidas-womens-racer-adapt-running/dp/b07t9dl311,2
